变量名,range,enemyRange2,enemyRange3,enemyRange1,enemyRange4
默认值,<>,<>,<>,<>,<>
ID,范围,敌人范围2,敌人范围3,敌人范围1,敌人范围4
1,<1;2>,<200%;301%>,<300%;751%>,<100%;201%>,<750%;1201%>
2,<2;3>,<130%;191%>,<200%;501%>,<50%;91%>,<500%;801%>
3,<3;4>,<130%;191%>,<200%;501%>,<30%;91%>,<500%;761%>
4,<4;5>,<130%;201%>,<200%;331%>,<25%;131%>,<330%;611%>
5,<5;6>,<60%;101%>,<120%;301%>,<20%;61%>,<300%;511%>
6,<6;7>,<40%;81%>,<80%;251%>,<1%;41%>,<250%;431%>
7,<7;8>,<50%;81%>,<80%;215%>,<10%;51%>,<215%;383%>
8,<8;9>,<60%;81%>,<80%;188%>,<10%;61%>,<188%;341%>
9,<9;10>,<50%;81%>,<80%;167%>,<10%;51%>,<167%;311%>
10,<10;11>,<50%;91%>,<90%;151%>,<10%;51%>,<150%;281%>
11,<11;12>,<70%;101%>,<100%;155%>,<30%;71%>,<155%;331%>
12,<12;13>,<70%;101%>,<100%;125%>,<30%;71%>,<125%;351%>
13,<13;14>,<70%;101%>,<95%;116%>,<30%;71%>,<116%;371%>
14,<14;15>,<70%;101%>,<157%;186%>,<30%;71%>,<186%;391%>
15,<15;16>,<70%;101%>,<147%;173%>,<30%;71%>,<173%;411%>
16,<16;17>,<70%;101%>,<138%;163%>,<30%;71%>,<163%;411%>
17,<17;18>,<70%;101%>,<129%;153%>,<30%;71%>,<153%;411%>
18,<18;19>,<70%;101%>,<122%;144%>,<30%;71%>,<144%;411%>
19,<19;20>,<70%;101%>,<126%;147%>,<30%;71%>,<147%;411%>
20,<20;21>,<70%;101%>,<115%;135%>,<30%;71%>,<135%;411%>
21,<21;51>,<55%;80%>,<80%;100%>,<40%;55%>,<100%;160%>
22,<51;101>,<60%;80%>,<80%;100%>,<40%;60%>,<100%;140%>
23,<101;201>,<75%;85%>,<85%;100%>,<65%;75%>,<100%;120%>
24,<201;501>,<75%;85%>,<85%;100%>,<65%;75%>,<100%;120%>
25,<501;1001>,<88%;95%>,<95%;100%>,<82%;88%>,<100%;110%>
26,<1001;2001>,<88%;95%>,<95%;100%>,<82%;88%>,<100%;110%>
27,<2001;5001>,<88%;95%>,<95%;100%>,<82%;88%>,<100%;110%>
28,<5001;10001>,<85%;90%>,<90%;95%>,<80%;85%>,<95%;100%>
29,<10001;999999>,<85%;90%>,<90%;95%>,<80%;85%>,<95%;100%>
