变量名,level,fightingPoint,num,daysRange
默认值,1,0,1000,<>
ID,等级,战力,数量,天数范围
1,58,412500,,<0;50>
2,59,412500,,<50;54>
3,60,412500,,<54;58>
4,61,440000,,<58;62>
5,62,467500,,<62;66>
6,63,495000,,<66;70>
7,64,522500,,<70;74>
8,65,550000,,<74;78>
9,66,577500,,<78;82>
10,67,605000,,<82;86>
11,68,632500,,<86;90>
12,69,660000,,<90;94>
13,70,687500,,<94;98>
14,71,715000,,<98;102>
15,72,742500,,<102;106>
16,73,770000,,<106;110>
17,74,797500,,<110;114>
18,75,825000,,<114;118>
19,76,852500,,<118;122>
20,77,880000,,<122;126>
21,78,907500,,<126;130>
22,79,935000,,<130;134>
23,80,962500,,<134;138>
24,81,990000,,<138;142>
25,82,1017500,,<142;146>
26,83,1045000,,<146;150>
27,84,1072500,,<150;154>
28,85,1100000,,<154;158>
29,86,1127500,,<158;162>
30,87,1155000,,<162;166>
31,88,1182500,,<166;170>
32,89,1210000,,<170;174>
33,90,1237500,,<174;178>
34,91,1265000,,<178;182>
35,92,1292500,,<182;186>
36,93,1320000,,<186;200>
37,94,1347500,,<200;500>
38,95,1375000,,<500;1500>
39,96,1450000,,<1500;9999>
