变量名,fightC,range
默认值,1,<>
ID,战力系数,范围
1,1.65,<1;11>
2,1.6,<11;51>
3,1.55,<51;90>
4,1.5,<90;130>
5,1.45,<130;170>
6,1.4,<170;210>
7,1.35,<210;250>
8,1.3,<250;300>
9,1.25,<300;350>
10,1.2,<350;400>
11,1.15,<400;450>
12,1.1,<450;500>
13,1.05,<500;800>
14,1,<800;1100>
15,0.95,<1100;1400>
16,0.9,<1400;1700>
17,0.85,<1700;2000>
18,0.8,<2000;2800>
19,0.75,<2800;3600>
20,0.7,<3600;4400>
21,0.65,<4400;5200>
22,0.6,<5200;6000>
23,0.55,<6000;7000>
24,0.5,<7000;8000>
25,0.45,<8000;9000>
26,0.4,<9000;10000>
27,0.35,<10000;9999999>
