变量名,hpC,skillLevel,starEnd,starStart,advanceEnd,advanceStart,fightEnd,fightStart,level,speedC,specialDefenceC,specialDamageC,defenceC,damageC
默认值,1.1,0,0,0,0,0,0,0,0,1,1.3,1.3,1.3,1.3
ID,HP系数,技能等级,星级结束,星级开始,进阶结束,进阶开始,战力结束,战力开始,等级,速度系数,特防系数,特攻系数,防御系数,攻击系数
1,,50,4,3,4,3,15000,1,50,1,1.3,1.3,1.3,1.3
2,,50,4,3,4,3,20000,15000,50,1,1.3,1.3,1.3,1.3
3,,50,4,3,4,3,25000,20000,50,1,1.3,1.3,1.3,1.3
4,,50,4,3,4,3,30000,25000,50,1,1.3,1.3,1.3,1.3
5,,50,4,3,4,3,35000,30000,50,1,1.3,1.3,1.3,1.3
6,,50,5,4,5,4,40000,35000,50,1,1.3,1.3,1.3,1.3
7,,50,5,4,5,4,45000,40000,50,1,1.3,1.3,1.3,1.3
8,,50,5,4,5,4,50000,45000,50,1,1.3,1.3,1.3,1.3
9,,50,5,4,5,4,55000,50000,50,1,1.3,1.3,1.3,1.3
10,,50,5,4,5,4,60000,55000,50,1,1.3,1.3,1.3,1.3
11,,50,5,4,6,5,65000,60000,50,1,1.3,1.3,1.3,1.3
12,,50,5,4,6,5,70000,65000,50,1,1.3,1.3,1.3,1.3
13,,50,5,4,6,5,75000,70000,50,1,1.3,1.3,1.3,1.3
14,,50,5,4,6,5,80000,75000,50,1,1.3,1.3,1.3,1.3
15,,50,5,4,6,5,85000,80000,50,1,1.3,1.3,1.3,1.3
16,,50,6,5,7,6,90000,85000,50,1,1.3,1.3,1.3,1.3
17,,50,6,5,7,6,95000,90000,50,1,1.3,1.3,1.3,1.3
18,,50,6,5,7,6,100000,95000,50,1,1.3,1.3,1.3,1.3
19,,50,6,5,7,6,105000,100000,50,1,1.3,1.3,1.3,1.3
20,,50,6,5,7,6,110000,105000,50,1,1.3,1.3,1.3,1.3
21,,50,6,5,8,7,115000,110000,50,1,1.3,1.3,1.3,1.3
22,,50,6,5,8,7,120000,115000,50,1,1.3,1.3,1.3,1.3
23,,50,6,5,8,7,125000,120000,50,1,1.3,1.3,1.3,1.3
24,,50,6,5,8,7,130000,125000,50,1,1.3,1.3,1.3,1.3
25,,50,6,5,8,7,135000,130000,50,1,1.3,1.3,1.3,1.3
26,,50,7,6,9,8,140000,135000,50,1,1.3,1.3,1.3,1.3
27,,50,7,6,9,8,145000,140000,50,1,1.3,1.3,1.3,1.3
28,,50,7,6,9,8,150000,145000,50,1,1.3,1.3,1.3,1.3
29,,50,7,6,9,8,155000,150000,50,1,1.3,1.3,1.3,1.3
30,,50,7,6,9,8,160000,155000,50,1,1.3,1.3,1.3,1.3
31,,51,7,6,10,9,180000,160000,51,1,1.3,1.3,1.3,1.3
32,,52,7,6,10,9,200000,180000,52,1,1.3,1.3,1.3,1.3
33,,53,7,6,10,9,220000,200000,53,1,1.3,1.3,1.3,1.3
34,,54,7,6,10,9,240000,220000,54,1,1.3,1.3,1.3,1.3
35,,55,7,6,10,9,260000,240000,55,1,1.3,1.3,1.3,1.3
36,,56,8,7,11,10,280000,260000,56,1,1.3,1.3,1.3,1.3
37,,57,8,7,11,10,300000,280000,57,1,1.3,1.3,1.3,1.3
38,,58,8,7,11,10,320000,300000,58,1,1.3,1.3,1.3,1.3
39,,59,8,7,11,10,340000,320000,59,1,1.3,1.3,1.3,1.3
40,,60,8,7,11,10,360000,340000,60,1,1.3,1.3,1.3,1.3
41,,61,8,7,12,11,380000,360000,61,1,1.3,1.3,1.3,1.3
42,,62,8,7,12,11,400000,380000,62,1,1.3,1.3,1.3,1.3
43,,63,8,7,12,11,420000,400000,63,1,1.3,1.3,1.3,1.3
44,,64,8,7,12,11,440000,420000,64,1,1.3,1.3,1.3,1.3
45,,65,8,7,12,11,460000,440000,65,1,1.3,1.3,1.3,1.3
46,,66,9,8,13,12,480000,460000,66,1,1.3,1.3,1.3,1.3
47,,67,9,8,13,12,500000,480000,67,1,1.3,1.3,1.3,1.3
48,,68,9,8,13,12,520000,500000,68,1,1.3,1.3,1.3,1.3
