变量名,desc,weight,type,name,scene,troopNum,deployType,skillIDs,validRarity,validNature,validSpecial
默认值,"""""",100,1,"""""",csv.stage.element,1,1,<>,<>,<>,<>
ID,描述,权重,类型,名称,场景,部队数量,部署类型,技能ID列表,有效稀有度,有效性格,有效特性
1,,100,1,无垠灼枫,csv.stage.element,1,1,<84001;84002>,,,
2,,100,1,遁影幽怨,csv.stage.element,1,1,<84003;84004>,,,
3,,100,1,闪断绵雨,csv.stage.element,1,1,<84005;84006>,,,
4,,100,1,尘沙坠石,csv.stage.element,1,1,<84007;84008>,,,
5,,100,1,颤锻寒魂,csv.stage.element,1,1,<84009;84010>,,,
6,,0,1,奇念幻灵,csv.stage.element,1,1,<84011;84012>,,,
7,,0,1,凛空瞰望,csv.stage.element,1,1,<84013;84014>,,,
8,,0,1,无华霸劲,csv.stage.element,1,1,<84015;84016>,,,
9,,0,1,蛊毒疫瘴,csv.stage.element,1,1,<84017;84018>,,,
10,分段起伏的乐谱，紊乱的乐章--同一场比赛中，精灵分成三组上阵，每一组分别为1只2只3只，一方精灵阵亡后换下一组，一方已经获得两次胜利后对战结束,0,2,分节段奏,csv.stage.ranks,3,5,,,,<{troopMax=1};{troopMax=2};{troopMax=3}>
11,悦居高位的乐谱，震撼的乐章--队伍仅允许上阵史诗或神话精灵，没有其余限制,100,2,诸神之战,csv.stage.ranks,1,1,,<{6=<<4;5>>}>,,
12,复合杂糅的乐谱，调和的乐章--队伍仅允许上阵至少4只双属性精灵，没有其余限制,100,2,属性混奏,csv.stage.ranks,1,1,,,,<{twin=4}>
13,规律严谨的乐谱，秩序的乐章--对于属性的有严苛的挑剔，需上阵2只冰系或龙系的精灵，另外还需上阵1只水系的精灵,100,2,属性分奏,csv.stage.ranks,1,1,,,<<<<3>>;<<6;15>>>>,
14,规律严谨的乐谱，秩序的乐章--对于属性的有严苛的挑剔，需上阵3只虫系或妖精系的精灵，另外还需上阵2只火系或草系的精灵,0,2,属性分奏,csv.stage.ranks,1,1,,,<{1=<<2;4>>;3=<<12;18>>}>,
15,单一不染的乐谱，柔和的乐章--队伍仅允许上阵单属性精灵，没有其余限制,100,2,属性单奏,csv.stage.ranks,1,1,,,,<{single=6;onlySingle=TRUE}>
16,,100,3,渐近的死亡,csv.stage.acrobatics,1,1,<84101>,,,
17,,100,3,不灭的意志,csv.stage.acrobatics,1,1,<84102>,,,
18,,100,3,刺痛的枷锁,csv.stage.acrobatics,1,1,<84103>,,,
19,,100,3,浴血的希冀,csv.stage.acrobatics,1,1,<84104>,,,
20,,100,3,无尽的拳影,csv.stage.acrobatics,1,1,<84105>,,,
21,,0,3,戏弄的欢愉,csv.stage.acrobatics,1,1,<84106>,,,
22,,0,3,堕落的审判,csv.stage.acrobatics,1,1,<84107>,,,
