变量名,failRatio,winRatio,betRatio,extRatio,cost,__version
默认值,0.1,1,2,3,<100;200;500;1000;2000>,
ID,failRatio,winRatio,betRatio,extRatio,cost,__version
1,,,,2.5,<100;300;500>,
2,,,2.2,2.8,<100;300;500>,
3,,,2.5,,<100;300;500>,
4,,,2.8,3.5,<100;300;500>,
5,,,3,4,<100;300;500>,
101,,,,2.5,<200;500;800>,
102,,,2.2,2.8,<200;500;800>,
103,,,2.5,,<200;500;800>,
104,,,2.8,3.5,<200;500;800>,
105,,,3,4,<200;500;800>,
201,,,,2.5,<200;700;1200>,
202,,,2.2,2.8,<200;700;1200>,
203,,,2.5,,<200;700;1200>,
204,,,2.8,3.5,<200;700;1200>,
205,,,3,4,<200;700;1200>,
