变量名,exchangeLimit,goods,cost,__version,shopID
默认值,1,{},{},,
ID,exchangeLimit,goods,cost,__version,shopID
1,10,{20331=3},{543=300},,1
2,10,{21501=3},{543=300},,1
3,10,{21811=3},{543=300},,1
4,10,{21921=3},{543=400},,1
5,10,{21931=3},{543=400},,1
6,10,{21911=3},{543=400},,1
7,10,{20971=3},{543=600},,1
8,10,{20861=3},{543=600},,1
9,10,{5000=10},{543=200},,1
10,10,{930=10},{543=200},,1
11,3,{502=1},{543=800},,1
12,,{501=1},{543=1200},,1
13,3,{519=1},{543=400},,1
14,3,{503=1},{543=400},,1
15,3,{520=1},{543=400},,1
16,5,{talent_point=1},{543=500},,1
17,5,{902=5},{543=300},,1
18,10,{851=10},{543=200},,1
19,10,{850=20},{543=200},,1
20,30,{gold=100000},{543=200},,1
101,10,{59002=1},{543=250},,101
102,10,{21291=3},{543=200},,101
103,10,{21251=3},{543=200},,101
104,10,{21071=3},{543=200},,101
105,10,{21311=3},{543=200},,101
106,10,{22241=3},{543=250},,101
107,10,{21891=3},{543=250},,101
108,10,{27001=3},{543=250},,101
109,10,{23681=3},{543=250},,101
110,10,{20501=3},{543=250},,101
111,10,{22411=3},{543=350},,101
112,10,{23201=3},{543=350},,101
113,10,{23191=3},{543=350},,101
114,10,{23231=3},{543=350},,101
115,10,{23961=3},{543=350},,101
116,,{card={id=9002}},{543=2500},,101
117,5,{6117=1},{543=800},,101
118,5,{59003=1},{543=600},,101
119,10,{5000=10},{543=120},,101
120,10,{930=10},{543=120},,101
121,5,{502=1},{543=400},,101
122,2,{501=1},{543=750},,101
123,10,{6115=1},{543=250},,101
124,5,{talent_point=1},{543=300},,101
125,10,{902=5},{543=200},,101
126,20,{529=200},{543=200},,101
127,10,{123=2},{543=100},,101
128,10,{124=1},{543=120},,101
129,30,{gold=100000},{543=100},,101
201,10,{59002=1},{543=250},,102
202,10,{20881=3},{543=200},,102
203,10,{21171=3},{543=200},,102
204,10,{22821=3},{543=200},,102
205,10,{23151=3},{543=200},,102
206,10,{20561=3},{543=250},,102
207,10,{20321=3},{543=250},,102
208,10,{22491=3},{543=250},,102
209,10,{20251=3},{543=250},,102
210,10,{20441=3},{543=250},,102
211,10,{22411=3},{543=350},,102
212,10,{24081=3},{543=350},,102
213,10,{24071=3},{543=350},,102
214,10,{22371=3},{543=350},,102
215,10,{24151=3},{543=350},,102
216,,{card={id=9002}},{543=2500},,102
217,5,{6117=1},{543=800},,102
218,5,{59003=1},{543=600},,102
219,10,{5000=10},{543=120},,102
220,10,{930=10},{543=120},,102
221,5,{502=1},{543=400},,102
222,2,{501=1},{543=750},,102
223,10,{6115=1},{543=250},,102
224,5,{talent_point=1},{543=300},,102
225,10,{902=5},{543=200},,102
226,20,{529=200},{543=200},,102
227,10,{123=2},{543=100},,102
228,10,{124=1},{543=120},,102
229,30,{gold=100000},{543=100},,102
301,10,{59002=1},{543=250},,103
302,10,{23021=3},{543=200},,103
303,10,{21921=3},{543=200},,103
304,10,{22031=3},{543=200},,103
305,10,{23541=3},{543=200},,103
306,10,{22131=3},{543=250},,103
307,10,{24431=3},{543=250},,103
308,10,{22491=3},{543=250},,103
309,10,{20251=3},{543=250},,103
310,10,{24191=3},{543=250},,103
311,10,{24031=3},{543=350},,103
312,10,{24141=3},{543=350},,103
313,10,{24061=3},{543=350},,103
314,10,{20991=3},{543=350},,103
315,10,{24051=3},{543=350},,103
