变量名,levelMax,card1,levelC1,star1,advance1,damageC1,specialDamageC1,defenceC1,specialDefenceC1,hpC1,card2,levelC2,star2,advance2,damageC2,specialDamageC2,defenceC2,specialDefenceC2,hpC2,card3,levelC3,star3,advance3,damageC3,specialDamageC3,defenceC3,specialDefenceC3,hpC3,card4,levelC4,star4,advance4,damageC4,specialDamageC4,defenceC4,specialDefenceC4,hpC4,card5,levelC5,star5,advance5,damageC5,specialDamageC5,defenceC5,specialDefenceC5,hpC5,card6,levelC6,star6,advance6,damageC6,specialDamageC6,defenceC6,specialDefenceC6,hpC6,card7,levelC7,star7,advance7,damageC7,specialDamageC7,defenceC7,specialDefenceC7,hpC7,card8,levelC8,star8,advance8,damageC8,specialDamageC8,defenceC8,specialDefenceC8,hpC8,card9,levelC9,star9,advance9,damageC9,specialDamageC9,defenceC9,specialDefenceC9,hpC9,card10,levelC10,star10,advance10,damageC10,specialDamageC10,defenceC10,specialDefenceC10,hpC10,card11,levelC11,star11,advance11,damageC11,specialDamageC11,defenceC11,specialDefenceC11,hpC11,card12,levelC12,star12,advance12,damageC12,specialDamageC12,defenceC12,specialDefenceC12,hpC12
默认值,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,角色等级,卡牌id1,卡牌等级修正区间1,星级区间1,进阶区间1,物攻修正区间1,特攻修正区间1,物防修正区间1,特防修正区间1,血量修正区间1,卡牌id2,卡牌等级修正区间2,星级区间2,进阶区间2,物攻修正区间2,特攻修正区间2,物防修正区间2,特防修正区间2,血量修正区间2,卡牌id3,卡牌等级修正区间3,星级区间3,进阶区间3,物攻修正区间3,特攻修正区间3,物防修正区间3,特防修正区间3,血量修正区间3,卡牌id4,卡牌等级修正区间4,星级区间4,进阶区间4,物攻修正区间4,特攻修正区间4,物防修正区间4,特防修正区间4,血量修正区间4,卡牌id5,卡牌等级修正区间5,星级区间5,进阶区间5,物攻修正区间5,特攻修正区间5,物防修正区间5,特防修正区间5,血量修正区间5,卡牌id6,卡牌等级修正区间6,星级区间6,进阶区间6,物攻修正区间6,特攻修正区间6,物防修正区间6,特防修正区间6,血量修正区间6,卡牌id7,卡牌等级修正区间7,星级区间7,进阶区间7,物攻修正区间7,特攻修正区间7,物防修正区间7,特防修正区间7,血量修正区间7,卡牌id8,卡牌等级修正区间8,星级区间8,进阶区间8,物攻修正区间8,特攻修正区间8,物防修正区间8,特防修正区间8,血量修正区间8,卡牌id9,卡牌等级修正区间9,星级区间9,进阶区间9,物攻修正区间9,特攻修正区间9,物防修正区间9,特防修正区间9,血量修正区间9,卡牌id10,卡牌等级修正区间10,星级区间10,进阶区间10,物攻修正区间10,特攻修正区间10,物防修正区间10,特防修正区间10,血量修正区间10,卡牌id11,卡牌等级修正区间11,星级区间11,进阶区间11,物攻修正区间11,特攻修正区间11,物防修正区间11,特防修正区间11,血量修正区间11,卡牌id12,卡牌等级修正区间12,星级区间12,进阶区间12,物攻修正区间12,特攻修正区间12,物防修正区间12,特防修正区间12,血量修正区间12
1,51,1241,<0.8;1>,<3;4>,<7;10>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,1313,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,731,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,771,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3413,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1221,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2233,<0.6;0.8>,<3;4>,<6;8>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,3143,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,3303,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1231,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,603,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1172,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
2,51,1241,<0.8;1>,<3;4>,<7;10>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,721,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,753,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,631,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1082,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,771,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2233,<0.6;0.8>,<3;4>,<6;8>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,712,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1841,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1903,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,3021,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,603,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
3,51,3353,<0.8;1>,<3;4>,<7;10>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,741,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1231,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1423,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3413,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1503,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,242,<0.6;0.8>,<3;4>,<6;8>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,3543,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1082,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1813,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,2822,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,3003,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
4,51,263,<0.8;1>,<3;4>,<7;10>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,393,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3413,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2233,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1423,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1172,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1813,<0.6;0.8>,<3;4>,<6;8>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,603,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,721,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1303,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,2683,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,333,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
5,51,393,<0.8;1>,<3;4>,<7;10>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,2723,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1393,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,2683,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,731,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3592,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,603,<0.6;0.8>,<3;4>,<6;8>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,3303,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,3003,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,883,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1172,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1253,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
6,51,1071,<0.8;1>,<3;4>,<7;10>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,3592,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1423,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3003,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,333,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1903,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,771,<0.6;0.8>,<3;4>,<6;8>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,731,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,263,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,3021,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,712,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,2822,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
7,51,753,<0.8;1>,<3;4>,<7;10>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,3021,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,603,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,721,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3303,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1903,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,393,<0.6;0.8>,<3;4>,<6;8>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,2633,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,572,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,263,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1423,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,493,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
8,51,3021,<0.8;1>,<3;4>,<7;10>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,493,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3303,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1394,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,263,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,572,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1172,<0.6;0.8>,<3;4>,<6;8>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,1241,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,3003,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,771,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,3143,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1423,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
9,51,741,<0.8;1>,<3;4>,<7;10>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,1813,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1393,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1172,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,712,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,263,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,464,<0.6;0.8>,<3;4>,<6;8>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,1423,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,3413,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,3592,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1893,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1253,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
10,51,2633,<0.8;1>,<3;4>,<7;10>,<1.8;2.5>,<1.2;1.8>,<1.3;1.6>,<1;1.3>,<1.8;2.5>,712,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,3592,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,1841,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,883,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,631,<0.7;0.9>,<3;4>,<7;9>,<1.5;2.2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.5;2.2>,721,<0.6;0.8>,<3;4>,<6;8>,<1.2;2>,<1.2;1.8>,<1.2;1.5>,<1;1.3>,<1.2;2>,1241,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,3003,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,2683,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,2233,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>,1253,<0.6;0.8>,<3;4>,<6;8>,<1.2;1.8>,<1.2;1.8>,<1;1.3>,<1;1.3>,<1.2;1.8>
