变量名,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,languages
默认值,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,<cn>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,vip等级限制,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
101,铁哑铃,{21901=2},{coin8=1200},,,,,,<150;150>,,,,<cn;en;tw;kr>
102,牙牙,{23001=2},{coin8=1200},,,,,,<150;150>,,,,<cn;en;tw;kr>
103,单首龙,{23141=2},{coin8=800},,,,,,<150;150>,,,,<cn;en;tw;kr>
104,独剑鞘,{23411=2},{coin8=800},,,,,,<150;150>,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
201,铁哑铃,{21901=2},{coin8=1200},,,,,,,,,,<cn;en;tw;kr>
211,牙牙,{23001=2},{coin8=1200},,,,,,,,,,<cn;en;tw;kr>
221,圆陆鲨,{22231=2},{coin8=1200},,,,,,,,,,<cn;en;tw;kr>
231,单首龙,{23141=2},{coin8=800},,,,,,,,,,<cn;en;tw;kr>
241,独剑鞘,{23411=2},{coin8=800},,,,,,,,,,<cn;en;tw;kr>
251,波加曼,{22031=2},{coin8=800},,,,,,,,,,<cn>
,,,,,,,,,,,,,
111,铁哑铃,{21901=2},{coin9=1500},,,,,,<150;150>,,,,<cn;en;tw;kr>
112,牙牙,{23001=2},{coin9=1500},,,,,,<150;150>,,,,<cn;en;tw;kr>
113,单首龙,{23141=2},{coin9=1000},,,,,,<150;150>,,,,<cn;en;tw;kr>
114,独剑鞘,{23411=2},{coin9=1000},,,,,,<150;150>,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
600,经验药水,{15=2},{coin8=200},,,,,,,,,,<cn;en;tw;kr>
610,金币,{514=30},{coin8=500},,,,,,,,,,<cn;en;tw;kr>
620,能量药剂,{5000=40},{coin8=1000},,,,,,,,,,<cn;en;tw;kr>
630,符石精华,{529=100},{coin8=300},,,,,,,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
1001,指定紫色印记箱子,{992=1},{coin8=3600},,,,,,,3,2,,<cn;en;tw;kr>
1002,指定橙色印记箱子,{993=1},{coin8=10000},,,,,,,3,1,,<cn;en;tw;kr>
,指定红色印记箱子,{973=1},{coin8=30000},,,,,,<150;150>,3,1,,<cn;en;tw;kr>
1011,固拉多,{21971=1},{coin8=1500},,,,,,,3,20,,<cn>
,,,,,,,,,,,,,
1101,紫罗兰,{2208=1},{coin8=24000},,,,,,,4,1,,<cn;en;tw;kr>
