变量名,name,name_tw,name_en,name_vn,name_kr,type,group,groupWeight,quality,icon,weight,skillID,desc,desc_tw,desc_en,desc_vn,desc_kr
默认值,"""""","""""","""""","""""","""""",1,,,1,"""""",100,1,"""""","""""","""""","""""",""""""
ID,名称,名称,名称,名称,名称,类型,组别,同组别提升权重,品质-底与标题1.绿.2.黄.3.蓝4.橙.5.粉.6.紫.7.红,图标,随机权重,被动技能ID,描述,描述,描述,描述,描述
1,无双I,無雙I,Warriors I,404,404,101,1,300,7,city/adventure/random_tower/icon/icon_gj.png,,81001,己方全体精灵双攻提升10%，持续全场#L0##C0xFF3D3D#（拥有其他相同系列的效果时，效果额外获得5%）#L0##C0xFF3D3D#,己方全體精靈雙攻提升10%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果額外獲得5%）#L0##C0xFF3D3D#,404,404,404
2,无双II,無雙II,Warriors II,404,404,201,1,200,7,city/adventure/random_tower/icon/icon_gj.png,,81002,己方后排精灵双攻提升15%，持续全场#L0##C0xFF3D3D#（拥有其他相同系列的效果时，效果额外获得8%）#L0##C0xFF3D3D#,己方後排精靈雙攻提升15%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果額外獲得8%）#L0##C0xFF3D3D#,404,404,404
3,无双III,無雙III,Warriors III,404,404,301,1,100,7,city/adventure/random_tower/icon/icon_gj.png,,81003,己方攻击最高的单位双攻提升20%#L0##C0xFF3D3D#（同时拥有无双I、无双II、无双III效果翻倍）#L0##C0xFF3D3D#,己方攻擊最高的單位雙攻提升20%#L0##C0xFF3D3D#（同時擁有無雙I、無雙II、無雙III效果翻倍）#L0##C0xFF3D3D#,404,404,404
4,冷血I,冷血I,Cold Blood I,404,404,201,2,300,4,city/adventure/random_tower/icon/icon_bj.png,,81004,己方后排暴击率提升10%#L0##C0xFF3D3D#（拥有其他同一系列，效果翻倍）#L0##C0xFF3D3D#,己方後排暴擊率提升10%#L0##C0xFF3D3D#（擁有其他同一系列，效果翻倍）#L0##C0xFF3D3D#,404,404,404
5,冷血II,冷血II,Cold Blood II,404,404,301,2,200,4,city/adventure/random_tower/icon/icon_bj.png,,81005,己方后排暴击伤害提升20%#L0##C0xFF3D3D#（拥有其他同一系列，效果翻倍）#L0##C0xFF3D3D#,己方後排暴擊傷害提升20%#L0##C0xFF3D3D#（擁有其他同一系列，效果翻倍）#L0##C0xFF3D3D#,404,404,404
6,嗜血I,嗜血I,Bloodthirsty I,404,404,1201,3,300,7,city/adventure/random_tower/icon/icon_xx.png,,81006,己方后排吸血率提升8%#L0##C0xFF3D3D#（拥有其他同一系列，吸血效果提升4%）#L0##C0xFF3D3D#,己方後排吸血率提升8%#L0##C0xFF3D3D#（擁有其他同一系列，吸血效果提升4%）#L0##C0xFF3D3D#,404,404,404
7,嗜血II,嗜血II,Bloodthirsty II,404,404,1301,3,200,7,city/adventure/random_tower/icon/icon_xx.png,,81007,己方攻击时附带偷取5%双攻，最高可叠加2层#L0##C0xFF3D3D#（拥有其他同一系列，效果翻倍）#L0##C0xFF3D3D#,己方攻擊時附帶偷取5%雙攻，最高可疊加2層#L0##C0xFF3D3D#（擁有其他同一系列，效果翻倍）#L0##C0xFF3D3D#,404,404,404
8,锋芒I,鋒芒I,Edge I,404,404,101,4,300,7,city/adventure/random_tower/icon/icon_sh1.png,,81008,己方全体精灵伤害加成提升10%，持续全场#L0##C0xFF3D3D#（拥有其他相同系列的效果时，效果额外获得5%）#L0##C0xFF3D3D#,己方全體精靈傷害加成提升10%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果額外獲得5%）#L0##C0xFF3D3D#,404,404,404
9,锋芒II,鋒芒II,Edge II,404,404,201,4,200,7,city/adventure/random_tower/icon/icon_sh1.png,,81009,己方后排精灵伤害加成提升15%，持续全场#L0##C0xFF3D3D#（拥有其他相同系列的效果时，效果额外获得8%）#L0##C0xFF3D3D#,己方後排精靈傷害加成提升15%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果額外獲得8%）#L0##C0xFF3D3D#,404,404,404
10,锋芒III,鋒芒III,Edge III,404,404,301,4,100,7,city/adventure/random_tower/icon/icon_sh1.png,,81010,己方攻击最高的单位伤害加成提升15%#L0##C0xFF3D3D#（同时拥有锋芒I、锋芒II、锋芒III效果翻倍）#L0##C0xFF3D3D#,己方攻擊最高的單位傷害加成提升15%#L0##C0xFF3D3D#（同時擁有鋒芒I、鋒芒II、鋒芒III效果翻倍）#L0##C0xFF3D3D#,404,404,404
11,元素之力I,元素之力I,Element Force I,404,404,1001,5,80,3,city/develop/talent/icon_sg.png,,81011,己方火系、斗系提升暴击率20%与伤害加成15%#L0##C0xFF3D3D#（拥有3种以上元素之力时，效果变为全体）#L0##C0xFF3D3D#,己方火系、鬥系提升暴擊率20%與傷害加成15%#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,404,404,404
12,元素之力II,元素之力II,Element Force II,404,404,1001,5,80,3,city/develop/talent/icon_sg.png,,81012,己方地面系、岩石系提升15%伤害加成与15%伤害减免#L0##C0xFF3D3D#（拥有3种以上元素之力时，效果变为全体）#L0##C0xFF3D3D#,己方地面系、岩石系提升15%傷害加成與15%傷害減免#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,404,404,404
13,元素之力III,元素之力III,Element Force III,404,404,1001,5,80,3,city/develop/talent/icon_sg.png,,81013,己方普通系、草系、飞行系20%闪避率与15%速度#L0##C0xFF3D3D#（拥有3种以上元素之力时，效果变为全体）#L0##C0xFF3D3D#,己方普通系、草系、飛行系20%閃避率與15%速度#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,404,404,404
14,元素之力IV,元素之力IV,Element Force IV,404,404,1001,5,80,3,city/develop/talent/icon_sg.png,,81014,己方水系、冰系提升20%暴击抗性与20%暴击率#L0##C0xFF3D3D#（拥有3种以上元素之力时，效果变为全体）#L0##C0xFF3D3D#,己方水系、冰系提升20%暴擊抗性與20%暴擊率#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,404,404,404
15,元素之力V,元素之力V,Element Force V,404,404,1001,5,80,3,city/develop/talent/icon_sg.png,,81015,己方毒系、虫系、钢系提升15%伤害减免与20%暴击伤害#L0##C0xFF3D3D#（拥有3种以上元素之力时，效果变为全体）#L0##C0xFF3D3D#,己方毒系、蟲系、鋼系提升15%傷害減免與20%暴擊傷害#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,404,404,404
16,元素之力VI,元素之力VI,Element Force VI,404,404,1001,5,80,3,city/develop/talent/icon_sg.png,,81016,己方电系、龙系提升15%怒气回复速度与15%伤害加成#L0##C0xFF3D3D#（拥有3种以上元素之力时，效果变为全体）#L0##C0xFF3D3D#,己方電系、龍系提升15%怒氣回復速度與15%傷害加成#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,404,404,404
17,元素之力VII,元素之力VII,Element Force VII,404,404,1001,5,80,3,city/develop/talent/icon_sg.png,,81017,己方幽灵系、恶系提升20%闪避率与15%伤害减免#L0##C0xFF3D3D#（拥有3种以上元素之力时，效果变为全体）#L0##C0xFF3D3D#,己方幽靈系、惡系提升20%閃避率與15%傷害減免#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,404,404,404
18,元素之力VIII,元素之力VIII,Element Force VIII,404,404,1001,5,80,3,city/develop/talent/icon_sg.png,,81018,己方超能系、妖系提升20%暴击抗性与20%暴击伤害#L0##C0xFF3D3D#（拥有3种以上元素之力时，效果变为全体）#L0##C0xFF3D3D#,己方超能系、妖系提升20%暴擊抗性與20%暴擊傷害#L0##C0xFF3D3D#（擁有3種以上元素之力時，效果變為全體）#L0##C0xFF3D3D#,404,404,404
19,灵山I,靈山I,Protection I,404,404,101,6,300,1,city/develop/talent/icon_wf.png,,81019,己方全体精灵双防提升20%，持续全场#L0##C0xFF3D3D#（拥有其他相同系列的效果时，效果系数提升10%）#L0##C0xFF3D3D#,己方全體精靈雙防提升20%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果係數提升10%）#L0##C0xFF3D3D#,404,404,404
20,灵山II,靈山II,Protection II,404,404,201,6,200,1,city/develop/talent/icon_wf.png,,81020,己方前排精灵双防提升30%，持续全场#L0##C0xFF3D3D#（拥有其他相同系列的效果时，效果系数提升15%）#L0##C0xFF3D3D#,己方前排精靈雙防提升30%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果係數提升15%）#L0##C0xFF3D3D#,404,404,404
21,灵山III,靈山III,Protection III,404,404,301,6,100,1,city/develop/talent/icon_wf.png,,81021,己方防御最高的单位双防提升50%#L0##C0xFF3D3D#（同时拥有灵山I、灵山II、灵山III效果翻倍）#L0##C0xFF3D3D#,己方防禦最高的單位雙防提升50%#L0##C0xFF3D3D#（同時擁有靈山I、靈山II、靈山III效果翻倍）#L0##C0xFF3D3D#,404,404,404
22,御守I,禦守I,Block I,404,404,201,7,300,3,city/adventure/random_tower/icon/icon_jh.png,,81022,己方前排抵御率提升20%#L0##C0xFF3D3D#（拥有其他同一系列，效果系数提升10%）#L0##C0xFF3D3D#,己方前排抵禦率提升20%#L0##C0xFF3D3D#（擁有其他同一系列，效果係數提升10%）#L0##C0xFF3D3D#,404,404,404
23,御守II,禦守II,Block II,404,404,301,7,200,3,city/adventure/random_tower/icon/icon_jh.png,,81023,己方前排抵御强度提升30%#L0##C0xFF3D3D#（拥有其他同一系列，效果系数提升15%）#L0##C0xFF3D3D#,己方前排抵禦強度提升30%#L0##C0xFF3D3D#（擁有其他同一系列，效果係數提升15%）#L0##C0xFF3D3D#,404,404,404
24,荆棘I,荊棘I,Thorns I,404,404,1201,8,300,2,city/develop/talent/icon_shjm.png,,81024,己方双攻最高的单位反弹提升20%#L0##C0xFF3D3D#（拥有其他相同系列的效果时，反弹效果翻倍）#L0##C0xFF3D3D#,己方雙攻最高的單位反彈提升20%#L0##C0xFF3D3D#（擁有其他相同系列的效果時，反彈效果翻倍）#L0##C0xFF3D3D#,404,404,404
25,荆棘II,荊棘II,Thorns II,404,404,1301,8,200,2,city/develop/talent/icon_shjm.png,,81025,己方前排单位反弹提升10%#L0##C0xFF3D3D#（拥有其他相同系列的效果时，反弹效果提升5%）#L0##C0xFF3D3D#,己方前排單位反彈提升10%#L0##C0xFF3D3D#（擁有其他相同系列的效果時，反彈效果提升5%）#L0##C0xFF3D3D#,404,404,404
26,光盾I,光盾I,Light Shield I,404,404,1101,9,300,3,city/adventure/random_tower/icon/icon_fy.png,,81026,己方全体精灵入场前获得10%自身最大生命值的的护盾#L0##C0xFF3D3D#（拥有其他相同系列的效果时，护盾系数提升5%）#L0##C0xFF3D3D#,己方全體精靈入場前獲得10%自身最大生命值的的護盾#L0##C0xFF3D3D#（擁有其他相同系列的效果時，護盾係數提升5%）#L0##C0xFF3D3D#,404,404,404
27,光盾II,光盾II,Light Shield II,404,404,301,9,200,3,city/adventure/random_tower/icon/icon_fy.png,,81027,战斗开始己方血量最低的单位获得自身15%最大生命值的护盾#L0##C0xFF3D3D#（拥有其他相同系列的效果时，效果翻倍）#L0##C0xFF3D3D#,戰鬥開始己方血量最低的單位獲得自身15%最大生命值的護盾#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果翻倍）#L0##C0xFF3D3D#,404,404,404
