变量名,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,sortValue,languages
默认值,,{},{},-1,0,0,20990101,0,<1;150>,0,0,TRUE,0,<cn>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,起始VIP等级,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,显示排序小的在前,语言区域
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1001,小智皮卡丘碎片,{27001=3},{coin14=2000},2,24,,,,,,,,,
1002,好坏星碎片,{23771=3},{coin14=2000},2,24,,,,,,,,,
1003,天蝎碎片,{21031=3},{coin14=2000},2,24,,,,<150;150>,,,,,
1004,甜竹竹碎片,{23841=3},{coin14=2000},2,24,,,,,,,,,
1005,达克莱伊碎片,{22431=1},{coin14=5000},,,,,,,3,20,,,
,,,,,,,,,,,,,,
1101,强化药剂,{5000=10},{coin14=2000},2,24,,,,,,,,,
1102,1W金币道具*10,{514=10},{coin14=1200},3,48,,,,,,,,,
1103,1W经验药水*10,{15=5},{coin14=1500},3,24,,,,,,,,,
1104,蓝芯片随机宝箱,{7302=1},{coin14=1000},,,,,,,2,3,,,
1105,紫随机宝箱,{7303=1},{coin14=5000},,,,,,,3,3,,,
1106,橙随机宝箱,{7304=1},{coin14=15000},,,,,,,3,1,,,
1107,洗炼核心,{121=1},{coin14=1500},,,,,,,2,5,,,
1108,绿色晶片,{122=1},{coin14=100},10,12,,,,,,,,,
1109,蓝色晶片,{123=1},{coin14=500},5,24,,,,,,,,,
1110,紫色晶片,{124=1},{coin14=1500},2,48,,,,,,,,,
1111,起源之手,{538=1},{coin14=5000},1,48,,,,<150;150>,1,1,,,
