变量名,specialDefenceC,defenceC,specialDamageC,damageC,servHpC,speedC,__version
默认值,1,1,1,1,1,1,
ID,specialDefenceC,defenceC,specialDamageC,damageC,servHpC,speedC,__version
1,0.1,0.1,0.1,0.1,0.1,0.1,
2,0.1,0.1,0.1,0.1,0.1,0.1,
3,0.1,0.1,0.1,0.1,0.1,0.1,
4,0.1,0.1,0.1,0.1,0.1,0.1,
5,0.1,0.1,0.1,0.1,0.1,0.1,
6,0.1,0.1,0.1,0.1,0.1,0.1,
7,0.1,0.1,0.1,0.1,0.1,0.1,
8,0.1,0.1,0.1,0.1,0.1,0.1,
9,0.1,0.1,0.1,0.1,0.1,0.1,
10,0.1,0.1,0.1,0.1,0.1,0.1,
11,0.1,0.1,0.1,0.1,0.1,0.1,
12,0.1,0.1,0.1,0.1,0.1,0.1,
13,0.1,0.1,0.1,0.1,0.1,0.1,
14,0.1,0.1,0.1,0.1,0.1,0.1,
15,0.1,0.1,0.1,0.1,0.1,0.1,
16,0.1,0.1,0.1,0.1,0.1,0.1,
17,0.1,0.1,0.1,0.1,0.1,0.1,
18,0.1,0.1,0.1,0.1,0.1,0.1,
19,0.1,0.1,0.1,0.1,0.1,0.1,
20,0.1,0.1,0.1,0.1,0.1,0.1,
21,0.105,0.105,0.105,0.105,0.105,0.105,
22,0.11,0.11,0.11,0.11,0.11,0.11,
23,0.115,0.115,0.115,0.115,0.115,0.115,
24,0.12,0.12,0.12,0.12,0.12,0.12,
25,0.125,0.125,0.125,0.125,0.125,0.125,
26,0.13,0.13,0.13,0.13,0.13,0.13,
27,0.135,0.135,0.135,0.135,0.135,0.135,
28,0.14,0.14,0.14,0.14,0.14,0.14,
29,0.145,0.145,0.145,0.145,0.145,0.145,
30,0.15,0.15,0.15,0.15,0.15,0.15,
31,0.155,0.155,0.155,0.155,0.155,0.155,
32,0.16,0.16,0.16,0.16,0.16,0.16,
33,0.165,0.165,0.165,0.165,0.165,0.165,
34,0.17,0.17,0.17,0.17,0.17,0.17,
35,0.175,0.175,0.175,0.175,0.175,0.175,
36,0.18,0.18,0.18,0.18,0.18,0.18,
37,0.185,0.185,0.185,0.185,0.185,0.185,
38,0.19,0.19,0.19,0.19,0.19,0.19,
39,0.195,0.195,0.195,0.195,0.195,0.195,
40,0.2,0.2,0.2,0.2,0.2,0.2,
41,0.21,0.21,0.21,0.21,0.21,0.21,
42,0.22,0.22,0.22,0.22,0.22,0.22,
43,0.23,0.23,0.23,0.23,0.23,0.23,
44,0.24,0.24,0.24,0.24,0.24,0.24,
45,0.25,0.25,0.25,0.25,0.25,0.25,
46,0.26,0.26,0.26,0.26,0.26,0.26,
47,0.27,0.27,0.27,0.27,0.27,0.27,
48,0.28,0.28,0.28,0.28,0.28,0.28,
49,0.29,0.29,0.29,0.29,0.29,0.29,
50,0.3,0.3,0.3,0.3,0.3,0.3,
51,0.31,0.31,0.31,0.31,0.31,0.31,
52,0.32,0.32,0.32,0.32,0.32,0.32,
53,0.33,0.33,0.33,0.33,0.33,0.33,
54,0.34,0.34,0.34,0.34,0.34,0.34,
55,0.35,0.35,0.35,0.35,0.35,0.35,
56,0.36,0.36,0.36,0.36,0.36,0.36,
57,0.37,0.37,0.37,0.37,0.37,0.37,
58,0.38,0.38,0.38,0.38,0.38,0.38,
59,0.39,0.39,0.39,0.39,0.39,0.39,
60,0.4,0.4,0.4,0.4,0.4,0.4,
61,0.41,0.41,0.41,0.41,0.41,0.41,
62,0.42,0.42,0.42,0.42,0.42,0.42,
63,0.43,0.43,0.43,0.43,0.43,0.43,
64,0.44,0.44,0.44,0.44,0.44,0.44,
65,0.45,0.45,0.45,0.45,0.45,0.45,
66,0.46,0.46,0.46,0.46,0.46,0.46,
67,0.47,0.47,0.47,0.47,0.47,0.47,
68,0.48,0.48,0.48,0.48,0.48,0.48,
69,0.49,0.49,0.49,0.49,0.49,0.49,
70,0.5,0.5,0.5,0.5,0.5,0.5,
71,0.52,0.52,0.52,0.52,0.52,0.52,
72,0.54,0.54,0.54,0.54,0.54,0.54,
73,0.56,0.56,0.56,0.56,0.56,0.56,
74,0.58,0.58,0.58,0.58,0.58,0.58,
75,0.6,0.6,0.6,0.6,0.6,0.6,
76,0.62,0.62,0.62,0.62,0.62,0.62,
77,0.64,0.64,0.64,0.64,0.64,0.64,
78,0.66,0.66,0.66,0.66,0.66,0.66,
79,0.68,0.68,0.68,0.68,0.68,0.68,
80,0.7,0.7,0.7,0.7,0.7,0.7,
81,0.71,0.71,0.71,0.71,0.71,0.71,
82,0.72,0.72,0.72,0.72,0.72,0.72,
83,0.73,0.73,0.73,0.73,0.73,0.73,
84,0.74,0.74,0.74,0.74,0.74,0.74,
85,0.75,0.75,0.75,0.75,0.75,0.75,
86,0.76,0.76,0.76,0.76,0.76,0.76,
87,0.77,0.77,0.77,0.77,0.77,0.77,
88,0.78,0.78,0.78,0.78,0.78,0.78,
89,0.79,0.79,0.79,0.79,0.79,0.79,
90,0.8,0.8,0.8,0.8,0.8,0.8,
91,0.81,0.81,0.81,0.81,0.81,0.81,
92,0.82,0.82,0.82,0.82,0.82,0.82,
93,0.83,0.83,0.83,0.83,0.83,0.83,
94,0.84,0.84,0.84,0.84,0.84,0.84,
95,0.85,0.85,0.85,0.85,0.85,0.85,
96,0.86,0.86,0.86,0.86,0.86,0.86,
