变量名,name,type,targetArg,isHidden,desc,targetType,languages,targetArg2,clientTaskArg,award
默认值,"""""",0,9999,FALSE,"""""",0,<cn;tw;en;en_us;en_eu;vn;th;kr>,<>,{},{}
ID,成就名称,成就类型,目标参数,是否隐藏,成就描述,目标类型(1单次/2累计/4训练家/5单训练家),语言区域<lang>,目标参数2<args>,客户端任务参数{配置},奖励{itemID=数量}
1001,,1,1,TRUE,Deal at least 25 damage to an opposing Trainer in a single hit.,,,,{multiMaxDmgR=<25;9999>},{coin19=1000;gold=200000}
1002,,1,100,,Earn 100 wins in total (top 3).,2,,<1;2;3>,,{59002=1;gold=200000}
1003,,1,20,,Win once with each of 20 different Trainers (top 3).,4,,<1;2;3>,,{133=1;gold=200000}
1004,,1,20,TRUE,Take 1st place once with each of 20 different Trainers.,4,,<1>,,{gold=200000;rmb=50}
1005,,1,20,,Earn 20 wins in total (top 3) with any one Trainer.,5,,<<>;<1;2;3>>,,{502=1;gold=200000}
1006,,1,1,TRUE,Take 1st place once without using any active skills.,,,,{multiRankR=<1;1>;multiSkillR=<0;0>},{coin19=1000;gold=200000}
1007,,1,1,,"In a single match, defeat opponents at least 4 times during rounds.",,,,{multiFightResultR=<4;9999;<1>>},{59002=1;gold=200000}
1008,,1,1,TRUE,Take 1st place while winning every round.,,,,{multiFightResultR=<0;0;<2;3>>;multiRankR=<1;1>},{133=1;gold=200000}
1009,,1,1,TRUE,Win a match after losing at least 5 rounds.,,,,{multiFightResultR=<5;9999;<2>>;multiRankR=<1;3>},{gold=200000;rmb=50}
1010,,1,5,,Win 5 matches with a lineup of 6 Normal-type Pokemon.,,,,{multiRankR=<1;3>;natureR=<6;6;<1>>},{502=1;gold=200000}
1011,,1,5,,Win 5 matches with a lineup of 6 Fire-type Pokemon.,,,,{multiRankR=<1;3>;natureR=<6;6;<2>>},{coin19=1000;gold=200000}
1012,,1,5,,Win 5 matches with a lineup of 6 Water-type Pokemon.,,,,{multiRankR=<1;3>;natureR=<6;6;<3>>},{59002=1;gold=200000}
1013,,1,5,,Win 5 matches with a lineup of 6 Grass-type Pokemon.,,,,{multiRankR=<1;3>;natureR=<6;6;<4>>},{133=1;gold=200000}
1014,,1,5,,Win 5 matches with a lineup of 6 Pokemon at 2★ or above.,,,,{multiRankR=<1;3>;starR=<6;6;<2;4>>},{519=1;gold=500000}
1015,,1,1,TRUE,Win 1 match with a lineup of 6 4★ Pokemon.,,,,{multiRankR=<1;3>;starR=<6;6;<4>>},{59002=2;gold=500000}
1016,,1,5,,Win 5 matches with a lineup containing at least 2 1★ Pokemon.,,,,{multiRankR=<1;3>;starR=<2;6;<1>>},{502=3;gold=500000}
1017,,1,1,TRUE,Win 1 match with a lineup of 6 1★ Pokemon.,,,,{multiRankR=<1;3>;starR=<6;6;<1>>},{133=3;gold=500000}
1018,,1,1,,"In a single match, have any Pokemon stat exceed 1000.",,,,{multiAttrMoreE=<1000;<hpMax;attack;defence>>},{gold=500000;rmb=50}
1019,,1,1,TRUE,"During the preparation phase, have a single Pokemon with both Attack and HP at 1000 or higher.",,,,{multiReadyOverAttrMoreE=<1000;<hpMax>>;multiReadyOverAttrMoreE_1=<1000;<attack>>},{519=1;gold=500000}
1020,,1,1,,"In a single match, have a Pokemon deal 1000 or more damage in one hit.",,,,{multiCardDmgMoreE=<1000>},{59002=2;gold=500000}
1021,,1,1,TRUE,"In a single match, raise Pokemon to 4★ at least 6 times.",,,,{riseStarR=<6;9999;<4>>},{502=1;gold=500000}
1022,,1,1,TRUE,Lose once while still having at least 20 Coins remaining.,,,,{coinR=<20;9999>;multiRankR=<4;6>},{133=3;gold=500000}
1023,,1,1,,Spend 100 Coins in a single match.,,,,{useGoldR=<100;9999>},{gold=800000;rmb=100}
1024,,1,1,,Win 1 match while your Trainer has at least 30 HP.,,,,{hpR=<30;9999>;multiRankR=<1;3>},{519=3;gold=800000}
1025,,1,1,,Win 1 match while your Trainer has only 1 HP left.,,,,{hpR=<1;1>;multiRankR=<1;3>},{59003=1;gold=800000}
1026,,1,1,TRUE,Take 1st place while your Trainer has at least 30 HP.,,,,{hpR=<30;9999>;multiRankR=<1;1>},{59002=3;gold=800000}
1027,,1,1,TRUE,Take 1st place while your Trainer has only 1 HP left.,,,,{hpR=<1;1>;multiRankR=<1;1>},{502=2;gold=800000}
1028,,1,1,,"At the end of the season, place in the top 10 on the leaderboard.",6,,<10>,,{gold=800000;rmb=100}
1029,,1,1,,"At the end of the season, place in the top 100 on the leaderboard.",6,,<100>,,{519=3;gold=800000}
1030,,1,1,,"At the end of the season, place in the top 300 on the leaderboard.",6,,<300>,,{59003=1;gold=800000}
1031,,1,1,,"At the end of the season, place in the top 500 on the leaderboard.",6,,<500>,,{59002=3;gold=800000}
1032,,1,3,TRUE,"At the end of the season, place in the top 50 on the leaderboard 3 times in total.",6,,<50>,,{502=3;gold=800000}
1033,,1,2,TRUE,"At the end of the season, place in the top 50 on the leaderboard twice in a row.",7,,<50>,,{gold=800000;rmb=100}
2001,,2,20,,Play 20 Normal-type Pokemon cards in total.,,,,{multiPlayCardN=<3;<1>>;sum=TRUE},{133=2;gold=100000;rmb=10}
2002,,2,20,,Play 20 Fire-type Pokemon cards in total.,,,,{multiPlayCardN=<3;<2>>;sum=TRUE},{133=2;gold=100000;rmb=10}
2003,,2,20,,Play 20 Water-type Pokemon cards in total.,,,,{multiPlayCardN=<3;<3>>;sum=TRUE},{133=2;gold=100000;rmb=10}
