变量名,name
默认值,野生训练家
ID,机器人随机名称
1,皮卡丘的闪电
2,喷火龙之怒
3,水箭龟的海洋
4,妙蛙种子的成长
5,伊布的进化梦
6,梦幻的追寻者
7,龙骑士盖欧卡
8,暴鲤龙的飞跃
9,耿鬼的恶作剧
10,草系大师
11,电光一闪雷丘
12,冰霜女皇
13,岩石之力
14,火焰鸡的舞步
15,钢翼巨龙
16,虫鸣蟋蟀
17,暗影球的守护
18,沙漠蜻蜓之翼
19,太阳精灵之歌
20,月亮能量露奈雅拉
21,闪电之翼
22,火焰舞者
23,水域守护
24,草野探险家
25,伊布幻想
26,幻域行者
27,龙之翼影
28,暴鲤风暴
29,冰霜之心
30,电光石火
31,神秘之森
32,暗影使者
33,火焰之誓
34,钢铁之志
35,虫鸣之音
36,蜻蜓之舞
37,沙漠之风
38,冰霜之触
39,月亮之泪
40,太阳之辉
41,精灵球收藏家
42,宝可梦训练师
43,皮卡丘的伙伴
44,喷火龙的烈焰
45,水箭龟的波涛
46,妙蛙花的绿叶
47,阿柏蛇的狡猾
48,皮卡丘的电力
49,伊布的百变
50,梦幻的传说
51,超梦的幻影
52,耿鬼的恶作剧
53,胡地的心灵感应
54,快龙的疾风
55,卡比兽的午睡
56,化石翼龙的飞翔
57,宝石海星的光辉
58,火焰鸟的炽热
59,闪电鸟的风暴
60,急冻鸟的寒冰
61,雷公的雷霆
62,炎帝的火焰
63,水君的波涛
64,路卡利欧的正义
65,风速狗的忠诚
66,沙奈朵的优雅
67,暴飞龙的狂野
68,巨金怪的力量
69,烈咬陆鲨的迅猛
70,洛托姆的形态
71,鬼盆栽的谜团
72,帝牙卢卡的时间
73,帕路奇亚的空间
74,骑拉帝纳的暗影
75,阿尔宙斯的创造
76,比克提尼的光辉
77,黑龙的咆哮
78,白龙的纯洁
79,龙卷云的风暴
80,雷电云的怒吼
81,土地云的宁静
82,火焰鸡的热舞
83,巨沼怪的泥潭
84,电击魔的火花
85,巨钳螳螂的利刃
86,喷火驼的沙漠
87,冰鬼护的冰川
88,太阳精灵的光明
89,月精灵的幽暗
90,叶精灵的森林
91,冰精灵的霜冻
92,仙子精灵的魔法
93,炎武王的斗志
94,甲贺忍蛙的隐秘
95,砰头小丑的欢乐
96,卡璞·鸣鸣的电波
97,卡璞·蝶蝶的幻象
98,卡璞·哞哞的大地
99,卡璞·鳍鳍的海洋
100,索尔迦雷欧的太阳
101,露奈雅拉的月亮
102,虚吾伊德的虚空
103,爆肌蚊的强壮
104,谜拟Q的模仿
105,纸御剑的锋利
106,铁火辉夜的星辰
107,垒磊石的坚硬
108,电束木的电流
109,焰后蜥的火焰
110,托戈德玛尔的守护
111,谜拟Q的戏法
112,磨牙彩皮鱼的咬合
113,好坏星的诡计
114,砰头小丑的惊喜
115,费洛美螂的优雅
116,电束木的活力
117,恶食大王的食欲
118,纸御剑的切割
119,垒磊石的坚固
120,焰后蜥的炽热
121,托戈德玛尔的警戒
122,谜拟Q的变身
123,磨牙彩皮鱼的攻击
124,好坏星的翻转
125,砰头小丑的爆炸
126,费洛美螂的舞蹈
127,电束木的充电
128,恶食大王的吞噬
129,纸御剑的斩击
130,垒磊石的防御
131,焰后蜥的烈焰
132,托戈德玛尔的保护
133,谜拟Q的戏耍
134,磨牙彩皮鱼的捕食
135,好坏星的策略
136,砰头小丑的表演
137,费洛美螂的华丽
138,电束木的放电
139,恶食大王的饱食
140,纸御剑的剑舞
