变量名,range,award
默认值,0,{}
ID,排名(前N名),赛季排名奖励{itemID=数量}
1,1,{59003=15;coin19=40000;gold=7000000;rmb=1000}
2,2,{59003=13;coin19=38000;gold=6500000;rmb=900}
3,3,{59003=11;coin19=36000;gold=6000000;rmb=800}
4,4,{59003=10;coin19=35000;gold=5750000;rmb=750}
5,5,{59003=9;coin19=34000;gold=5500000;rmb=700}
6,6,{59003=8;coin19=33000;gold=5250000;rmb=650}
7,7,{59003=8;coin19=32000;gold=5000000;rmb=600}
8,8,{59003=8;coin19=31000;gold=4750000;rmb=550}
9,9,{59003=7;coin19=30000;gold=4500000;rmb=500}
10,10,{59003=7;coin19=29000;gold=4250000;rmb=480}
11,12,{59003=7;coin19=28000;gold=4000000;rmb=460}
12,15,{59003=6;coin19=27000;gold=3750000;rmb=440}
13,20,{59003=6;coin19=26000;gold=3500000;rmb=420}
14,30,{59003=6;coin19=25000;gold=3250000;rmb=400}
15,40,{59003=5;coin19=24000;gold=3000000;rmb=380}
16,50,{59003=5;coin19=23000;gold=2750000;rmb=360}
17,70,{59003=5;coin19=22000;gold=2500000;rmb=340}
18,100,{59003=4;coin19=21000;gold=2250000;rmb=320}
19,150,{59003=4;coin19=20000;gold=2000000;rmb=300}
20,200,{59003=4;coin19=19000;gold=1900000;rmb=290}
21,300,{59003=4;coin19=18000;gold=1800000;rmb=280}
22,400,{59003=4;coin19=17000;gold=1700000;rmb=270}
23,500,{59003=4;coin19=16000;gold=1600000;rmb=260}
24,700,{59003=3;coin19=15000;gold=1500000;rmb=250}
25,1000,{59003=3;coin19=14000;gold=1400000;rmb=240}
26,2000,{59003=3;coin19=13000;gold=1300000;rmb=230}
27,3000,{59003=3;coin19=12000;gold=1200000;rmb=220}
28,5000,{59003=3;coin19=11000;gold=1100000;rmb=210}
29,10000,{59003=3;coin19=10000;gold=1000000;rmb=200}
30,999999,{coin19=9000;gold=900000;rmb=190}
