变量名,name,hp,gold,pvpShowInHandBook,figureID,offset1,offset2,skill
默认值,"""""",30,0,TRUE,0,{x=0;y=0},{x=0;y=5},
ID,训练家名称,生命值,初始金币,PVP是否显示在图鉴,立绘ID,偏移1{x;y},偏移2{x;y},技能ID
1,Ash,,,,1,{x=-20;y=0},{x=-30;y=5},90001
2,Misty,,,,2,,,90002
3,Rapp,,,,3,,,90003
4,Plumeria,,,,4,,,90004
5,Morgan,,,,5,,{x=0;y=15},90005
6,Meray,,,,6,{x=10;y=0},{x=10;y=5},90006
7,Alexa,,,,7,{x=17;y=0},{x=17;y=5},90007
8,Viola,,,,8,,,90008
9,Marlon,,,,9,,,90009
10,Roxanne,,,,10,,,90010
11,Colress,,,,11,{x=-40;y=0},{x=-53;y=5},90011
12,Flannery,,,,12,,{x=0;y=60},90012
13,Hugh,,,,13,{x=10;y=0},{x=10;y=5},90013
14,Roxie,,,,14,{x=-50;y=53},{x=-40;y=126},90014
15,Bianca,,,,15,{x=20;y=0},{x=20;y=5},90015
16,Korrina,,,,16,{x=-30;y=30},{x=-30;y=50},90016
17,Dana,,,,17,{x=40;y=20},{x=50;y=78},90017
18,Evelyn,,,,18,{x=-20;y=40},{x=-30;y=80},90018
19,Nita,,,,19,{x=40;y=36},{x=30;y=70},90019
20,Lenora,,,,20,{x=30;y=0},{x=25;y=25},90020
21,Hilda,,,,21,,,90021
22,Brock,,,,27,,,90022
23,Professor Oak,,,,32,,,90023
24,Rosa,,,,22,,{x=30;y=0},90024
25,Millis,,,,23,,{x=60;y=0},90025
26,Phoebe,,,,24,{x=-40;y=0},{x=-70;y=10},90026
27,Lana,,,,25,{x=-40;y=40},{x=-40;y=80},90027
28,Green,,,,26,,{x=20;y=56},90028
29,Wicke,,,,28,,,90029
30,Tupp,,,,29,,,90030
31,Kukui,,,,30,,,90031
32,Alain,,,,31,{x=0;y=30},{x=0;y=30},90032
33,Elio,,,,33,,,90033
34,Selene,,,,34,{x=-25;y=0},{x=-20;y=10},90034
1001,Beginner Trainer,10,,FALSE,1,,,1001
1002,Training Robot,1,,FALSE,206,,,1002
1003,Training Robot,1,,FALSE,201,,,1002
1004,Training Robot,1,,FALSE,205,,,1002
