变量名,_name,_rarity,level,advance,star,skillLevels,abilities,nvalue,fetters,equipAdvance,equipStar,equipLevel,equipAwake,speedRate,languages,hp,damage,specialDamage,defence,specialDefence,strikeLevel,strikeDamage,strikeResistance,blockLevel,breakBlockLevel,blockPower,damageAdd,damageSub,mainSkillAdd,mainSkillSub,block,breakBlock,cardID,strike
默认值,"""""",,80,17,12,<80;80;80;80;80;80>,<20;20;20;20;20;20;20;20;20;20>,{defence=31;specialDamage=31;speed=31;specialDefence=31;damage=31;hp=31},TRUE,16,5,90,5,0,<cn;kr;tw;en;en_us;en_eu>,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",0,""""""
ID,名字,修正稀有度,等级,阶数,星数,技能等级,潜能等级,个体值,羁绊,饰品阶数,饰品星级,饰品等级,饰品觉醒等级,速度值继承比例,语言区域,血量,物攻,特攻,物防,特防,暴击等级,暴击伤害,暴击抗性,格挡等级,破格挡等级,格挡强度,伤害加成,伤害减免,大招伤害加成,大招伤害抗性,block,breakBlock,cardID,strike
1001,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,3,
1002,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,13,
1003,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,23,
1004,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,53,
1005,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,93,
1006,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,133,
1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,
1008,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,222,
1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,
1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,
1011,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,273,
1012,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,283,
1013,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,303,
1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,
1015,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,341,
1016,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,372,
1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,
1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,
1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,
1020,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,462,
1021,,,,,,,,,,,,,,,,110%,110%,110%,110%,110%,,,,,,,,,,,,,463,
