变量名,rankMax,award,award_kr,award_en,award_tw,version
默认值,,{},{},{},{},0
ID,最大排名,赛季结算奖励,赛季结算奖励,赛季结算奖励,赛季结算奖励,奖励版本
1,1,{521=15;coin12=420000;gold=7500000;rmb=2000},,,,
2,2,{521=13;coin12=400000;gold=6875000;rmb=1750},,,,
3,3,{521=11;coin12=380000;gold=6250000;rmb=1500},,,,
4,4,{521=10;coin12=370000;gold=6000000;rmb=1300},,,,
5,5,{521=9;coin12=360000;gold=5750000;rmb=1200},,,,
6,6,{521=8;coin12=350000;gold=5500000;rmb=1100},,,,
7,7,{521=7;coin12=340000;gold=5250000;rmb=1000},,,,
8,8,{521=6;coin12=330000;gold=5000000;rmb=900},,,,
9,9,{521=5;coin12=320000;gold=4750000;rmb=850},,,,
10,10,{521=5;coin12=310000;gold=4500000;rmb=800},,,,
11,12,{coin12=300000;gold=4250000;rmb=780},,,,
13,15,{coin12=290000;gold=4000000;rmb=760},,,,
16,20,{coin12=280000;gold=3750000;rmb=740},,,,
21,30,{coin12=270000;gold=3500000;rmb=720},,,,
31,40,{coin12=260000;gold=3250000;rmb=700},,,,
41,50,{coin12=250000;gold=3000000;rmb=680},,,,
51,70,{coin12=240000;gold=2750000;rmb=660},,,,
71,100,{coin12=230000;gold=2500000;rmb=640},,,,
101,150,{coin12=220000;gold=2375000;rmb=620},,,,
151,200,{coin12=210000;gold=2250000;rmb=600},,,,
201,300,{coin12=200000;gold=2125000;rmb=580},,,,
301,400,{coin12=190000;gold=2000000;rmb=560},,,,
401,500,{coin12=180000;gold=1875000;rmb=540},,,,
501,700,{coin12=170000;gold=1750000;rmb=520},,,,
701,1000,{coin12=160000;gold=1625000;rmb=500},,,,
1001,2000,{coin12=150000;gold=1500000;rmb=480},,,,
2001,3000,{coin12=140000;gold=1375000;rmb=460},,,,
3001,5000,{coin12=130000;gold=1250000;rmb=440},,,,
5001,10000,{coin12=120000;gold=1125000;rmb=420},,,,
10001,999999,{coin12=110000;gold=1000000;rmb=400},,,,
