变量名,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,topScore,limitType,limitTimes,showUnable,languages
默认值,,{},{},-1,0,0,20990101,0,<1;150>,0,0,0,FALSE,<cn>
ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,起始VIP等级,等级限制,历史最高积分限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
201,,{21901=5},{coin12=1000},,,,,,<150;150>,500,,,,<cn;en;en_us;en_eu;tw;kr>
211,,{23001=5},{coin12=1000},,,,,,<150;150>,500,,,,<cn;en;en_us;en_eu;tw;kr>
221,,{22231=5},{coin12=1000},,,,,,<150;150>,500,,,,<cn;en;en_us;en_eu;tw;kr>
231,,{23141=5},{coin12=800},,,,,,<150;150>,,,,,<cn;en;en_us;en_eu;tw;kr>
241,,{23411=5},{coin12=800},,,,,,<150;150>,,,,,<cn;en;en_us;en_eu;tw;kr>
600,,{15=2},{coin12=200},,,,,,<150;150>,,,,,<cn;en;en_us;en_eu;tw;kr>
610,,{514=30},{coin12=500},,,,,,<150;150>,,,,,<cn;en;en_us;en_eu;tw;kr>
620,,{5000=40},{coin12=1000},,,,,,<150;150>,,,,,<cn;en;en_us;en_eu;tw;kr>
630,,{529=100},{coin12=300},,,,,,<150;150>,,,,,<cn;en;en_us;en_eu;tw;kr>
701,,{6059=1},{coin12=360000},,,,,,<1;150>,1200,3,1,,<cn;en;en_us;en_eu;tw;kr>
711,,{993=1},{coin12=80000},,,,,,<1;150>,1200,3,1,,<cn;en;en_us;en_eu;tw;kr>
715,,{23631=1},{coin12=6000},,,,,,<1;150>,800,3,30,,<cn;en;en_us;en_eu;tw;kr>
721,,{501=1},{coin12=15000},,,,,,<1;150>,600,3,4,,<cn;en;en_us;en_eu;tw;kr>
731,,{2152=1},{coin12=36000},,,,,,<1;150>,600,3,1,,<cn;en;en_us;en_eu;tw;kr>
741,,{962=1},{coin12=24000},,,,,,<1;150>,600,3,3,,<cn;en;en_us;en_eu;tw;kr>
747,,{93661=3},{coin12=10000},,,,,,<85;150>,600,3,50,,<cn;en_us;tw>
749,,{91241=3},{coin12=10000},,,,,,<85;150>,600,3,50,,<cn;en_us;tw>
751,,{502=1},{coin12=8000},,,,,,<1;150>,400,3,15,,<cn;en;en_us;en_eu;tw;kr>
755,,{20641=3},{coin12=10000},,,,,,<1;150>,400,3,50,,<cn;en;en_us;en_eu;tw;kr>
761,,{22241=3},{coin12=8000},,,,,,<1;150>,200,3,50,,<cn;en;en_us;en_eu;tw;kr>
771,,{22401=3},{coin12=8000},,,,,,<1;150>,200,3,50,,<cn;en;en_us;en_eu;tw;kr>
775,,{22471=3},{coin12=8000},,,,,,<1;150>,200,3,50,,<cn;en;en_us;en_eu;tw;kr>
777,,{21771=3},{coin12=8000},,,,,,<1;150>,200,3,50,,<cn;en;en_us;en_eu;tw;kr>
779,,{24151=3},{coin12=8000},,,,,,<1;150>,200,3,50,,<cn;en;en_us;en_eu;tw;kr>
781,,{gold=200000},{coin12=3600},,,,,,<1;150>,,3,20,,<cn;en;en_us;en_eu;tw;kr>
791,,{15=10},{coin12=3000},,,,,,<1;150>,,3,20,,<cn;en;en_us;en_eu;tw;kr>
801,,{4000=50},{coin12=1500},,,,,,<1;150>,,3,20,,<cn;en;en_us;en_eu;tw;kr>
811,,{452=20},{coin12=1000},,,,,,<1;150>,,3,20,,<cn;en;en_us;en_eu;tw;kr>
821,,{850=80},{coin12=1000},,,,,,<1;150>,,3,20,,<cn;en;en_us;en_eu;tw;kr>
831,,{851=40},{coin12=1000},,,,,,<1;150>,,3,20,,<cn;en;en_us;en_eu;tw;kr>
1101,,{2217=1},{coin12=100000},,,,,,<1;150>,1000,4,1,,<cn;en;en_us;en_eu;tw;kr>
1111,,{2218=1},{coin12=100000},,,,,,<1;150>,2000,4,1,,<cn;en;en_us;en_eu;tw;kr>
1121,,{30318=1},{coin12=150000},,,,,,<1;150>,1000,4,1,,<cn;en;en_us;en_eu;tw;kr>
