变量名,_beizhu,addType,natureType,attrType,attrNum
默认值,"""""",,,,""""""
ID,说明,加成类型(1-前排;2-后排;3-全体;4-指定自然属性),针对4和5加成类型元素属性类型1-18针对6场景类型,属性类型,属性数值
1,,3,,1,2000
2,,3,,13,100
3,,3,,7,500
4,,3,,8,500
5,,3,,9,280
6,,3,,10,280
7,,1,,1,10.00%
8,,2,,7,10.00%
9,,2,,8,10.00%
10,,2,,22,1000
11,,1,,23,1000
12,,3,,1,5.00%
13,,3,,9,5.00%
14,,3,,10,5.00%
15,,3,,16,500
16,,3,,7,5.00%
17,,3,,8,5.00%
18,,3,,14,500
19,,3,,23,500
20,,3,,22,500
21,,3,,13,5.00%
22,,4,1,1,5.00%
23,,3,,36,1000
24,,3,,54,1000
25,,4,2,1,5.00%
26,,3,,37,1000
27,,3,,55,1000
28,,4,3,1,5.00%
29,,3,,38,1000
30,,3,,56,1000
31,,4,4,1,5.00%
32,,3,,39,1000
33,,3,,57,1000
34,,4,5,1,5.00%
35,,3,,40,1000
36,,3,,58,1000
37,,4,6,1,5.00%
38,,3,,41,1000
39,,3,,59,1000
40,,4,7,1,5.00%
41,,3,,42,1000
42,,3,,60,1000
43,,4,8,1,5.00%
44,,3,,43,1000
45,,3,,61,1000
46,,4,9,1,5.00%
47,,3,,44,1000
48,,3,,62,1000
49,,4,10,1,5.00%
50,,3,,45,1000
51,,3,,63,1000
52,,4,11,1,5.00%
53,,3,,46,1000
54,,3,,64,1000
55,,4,12,1,5.00%
56,,3,,47,1000
57,,3,,65,1000
58,,4,13,1,5.00%
59,,3,,48,1000
60,,3,,66,1000
61,,4,14,1,5.00%
62,,3,,49,1000
63,,3,,67,1000
64,,4,15,1,5.00%
65,,3,,50,1000
66,,3,,68,1000
67,,4,16,1,5.00%
68,,3,,51,1000
69,,3,,69,1000
70,,4,17,1,5.00%
71,,3,,52,1000
72,,3,,70,1000
73,,4,18,1,5.00%
74,,3,,53,1000
75,,3,,71,1000
