变量名,_relative,_linked,day,theme,invalidMarkIDs,invalidMegaCardIDs,invalidMarkIDs_kr,invalidMegaCardIDs_kr,invalidMarkIDs_tw,invalidMegaCardIDs_tw,invalidMarkIDs_en,invalidMegaCardIDs_en
默认值,,,0,0,<>,{},<>,<>,<>,<>,<>,<>
ID,相对时间,关联（1-表示在开战时间，0-表示无）,本期战斗天数,主题,非限制赛禁用markID（不包含Mega）,非限制赛禁用Meag卡的card_id,非限制赛禁用markID（不包含Mega）,非限制赛禁用Meag卡的card_id,非限制赛禁用markID（不包含Mega）,非限制赛禁用Meag卡的card_id,非限制赛禁用markID（不包含Mega）,非限制赛禁用Meag卡的card_id
101,,,1,,<3191;3201;3231>,,,,,,,
102,,,2,,<3191;3201;3231>,,,,,,,
103,,,3,,<3191;3201;3231>,,,,,,,
104,,,4,,<3191;3201;3231>,,,,,,,
105,,,5,,<3191;3201;3231>,,,,,,,
106,,,6,,<3191;3201;3231>,,,,,,,
107,,,7,,<3191;3201;3231>,,,,,,,
108,,,8,4,<3191;3201;3231>,,,,,,,
109,,,9,4,<3191;3201;3231>,,,,,,,
110,,,10,,<3191;3201;3231>,,,,,,,
111,,,11,,<3191;3201;3231>,,,,,,,
112,,,12,,<3191;3201;3231>,,,,,,,
113,,,13,,<3191;3201;3231>,,,,,,,
114,,,14,,<3191;3201;3231>,,,,,,,
115,,,15,3,<3191;3201;3231>,,,,,,,
116,,,16,3,<3191;3201;3231>,,,,,,,
117,,,17,,<3191;3201;3231>,,,,,,,
118,,,18,,<3191;3201;3231>,,,,,,,
119,,,19,,<3191;3201;3231>,,,,,,,
120,,,20,,<3191;3201;3231>,,,,,,,
121,,,21,,<3191;3201;3231>,,,,,,,
122,,,22,2,<3191;3201;3231>,,,,,,,
123,,,23,2,<3191;3201;3231>,,,,,,,
124,,,24,,<3191;3201;3231>,,,,,,,
125,,,25,,<3191;3201;3231>,,,,,,,
126,,,26,,<3191;3201;3231>,,,,,,,
127,,,27,,<3191;3201;3231>,,,,,,,
128,,,28,,<3191;3201;3231>,,,,,,,
129,,,29,1,<3191;3201;3231>,,,,,,,
130,,,30,1,<3191;3201;3231>,,,,,,,
131,,,31,,<3191;3201;3231>,,,,,,,
132,,,32,,<3191;3201;3231>,,,,,,,
133,,,33,,<3191;3201;3231>,,,,,,,
134,,,34,,<3191;3201;3231>,,,,,,,
135,,,35,,<3191;3201;3231>,,,,,,,
136,,,36,2,<3191;3201;3231>,,,,,,,
137,,,37,2,<3191;3201;3231>,,,,,,,
138,,,38,,<3191;3201;3231>,,,,,,,
139,,,39,,<3191;3201;3231>,,,,,,,
140,,,40,,<3191;3201;3231>,,,,,,,
141,,,41,,<3191;3201;3231>,,,,,,,
142,,,42,,<3191;3201;3231>,,,,,,,
143,,,43,3,<3191;3201;3231>,,,,,,,
144,,,44,3,<3191;3201;3231>,,,,,,,
