变量名,score,minuteRes,growResLimit,battleWinScore,battleWinScoreRatio,battleFailScoreRatio,failAddScore,battleWinAward,battleFailAward,seasonAward,nextSeasonGrade,openRobot,icon,stageLevel,stageName,stagePinyin
默认值,0,{},{},,,,0,{},{},{},,0,“”,"""""","""""",""""""
ID,段位所需积分,每分钟产出资源,产出资源上限,战斗胜利获得积分,战斗胜利获得积分系数,战斗失败损失积分系数,失败鼓励积分,战斗胜利奖励,战斗失败奖励,赛季结算奖励,次赛季继承段位等级,机器人开关,icon,stageLevel,stageName,stagePinyin
1,2800,{coin15=20;gold=300},{coin15=28800;gold=432000},50,1.1,1,,{coin15=3000;gold=100000},{coin15=1500;gold=50000},{501=10;coin15=100000;gold=2000000},11,,common/icon/rank_stage/supremacy/icon_wz.png,K,King,wangzhe
2,2500,{coin15=18;gold=270},{coin15=25920;gold=388800},50,1.1,0.95,,{coin15=3000;gold=100000},{coin15=1500;gold=50000},{501=9;coin15=95000;gold=1900000},11,,common/icon/rank_stage/supremacy/icon_ds.png,K,Master,dashi
3,2250,{coin15=16;gold=240},{coin15=23040;gold=345600},50,1.15,0.85,,{coin15=3000;gold=100000},{coin15=1500;gold=50000},{501=9;coin15=90000;gold=1800000},12,,common/icon/rank_stage/supremacy/icon_4_1.png,I,Diamond I,zuanshi
4,2000,{coin15=14;gold=210},{coin15=20160;gold=302400},50,1.15,0.75,,{coin15=3000;gold=100000},{coin15=1500;gold=50000},{501=8;coin15=85000;gold=1700000},12,,common/icon/rank_stage/supremacy/icon_4_2.png,II,Diamond II,zuanshi
5,1750,{coin15=12;gold=180},{coin15=17280;gold=259200},50,1.15,0.75,,{coin15=3000;gold=100000},{coin15=1500;gold=50000},{501=8;coin15=80000;gold=1600000},13,,common/icon/rank_stage/supremacy/icon_4_3.png,III,Diamond III,zuanshi
6,1550,{coin15=10;gold=150},{coin15=14400;gold=216000},50,1.15,0.65,,{coin15=3000;gold=100000},{coin15=1500;gold=50000},{501=8;coin15=75000;gold=1500000},13,,common/icon/rank_stage/supremacy/icon_4_4.png,IV,Diamond IV,zuanshi
7,1350,{coin15=9;gold=135},{coin15=12960;gold=194400},50,1.15,0.65,,{coin15=3000;gold=100000},{coin15=1500;gold=50000},{501=7;coin15=70000;gold=1400000},14,1,common/icon/rank_stage/supremacy/icon_3_1.png,I,Platinum I,bojin
8,1150,{coin15=8;gold=120},{coin15=11520;gold=172800},50,1.2,0.5,,{coin15=3000;gold=100000},{coin15=1500;gold=50000},{501=7;coin15=65000;gold=1300000},14,1,common/icon/rank_stage/supremacy/icon_3_2.png,II,Platinum II,bojin
9,1000,{coin15=7;gold=105},{coin15=10080;gold=151200},50,1.2,0.5,,{coin15=3000;gold=100000},{coin15=1500;gold=50000},{501=7;coin15=60000;gold=1200000},15,1,common/icon/rank_stage/supremacy/icon_3_3.png,III,Platinum III,bojin
10,850,{coin15=6;gold=90},{coin15=8640;gold=129600},50,1.2,0.5,,{coin15=3000;gold=100000},{coin15=1500;gold=50000},{501=6;coin15=55000;gold=1100000},15,1,common/icon/rank_stage/supremacy/icon_3_4.png,IV,Platinum IV,bojin
11,700,{coin15=5;gold=75},{coin15=7200;gold=108000},50,1.25,0.5,,{coin15=3000;gold=100000},{coin15=1500;gold=50000},{501=6;coin15=50000;gold=1000000},16,1,common/icon/rank_stage/supremacy/icon_7_1.png,I,Gold I,huangjin
12,600,{coin15=4.5;gold=67.5},{coin15=6480;gold=97200},50,1.25,0.5,,{coin15=3000;gold=100000},{coin15=1500;gold=50000},{501=6;coin15=47500;gold=950000},16,1,common/icon/rank_stage/supremacy/icon_7_2.png,II,Gold II,huangjin
13,500,{coin15=4;gold=60},{coin15=5760;gold=86400},50,1.25,0.5,,{coin15=3000;gold=100000},{coin15=1500;gold=50000},{501=5;coin15=45000;gold=900000},17,1,common/icon/rank_stage/supremacy/icon_7_3.png,III,Gold III,huangjin
14,400,{coin15=3.5;gold=52.5},{coin15=5040;gold=75600},50,1,0,,{coin15=3000;gold=100000},{coin15=1500;gold=50000},{501=5;coin15=42500;gold=850000},17,1,common/icon/rank_stage/supremacy/icon_2_1.png,I,Silver I,baiyin
15,300,{coin15=3;gold=45},{coin15=4320;gold=64800},50,1,0,,{coin15=3000;gold=100000},{coin15=1500;gold=50000},{501=5;coin15=40000;gold=800000},18,1,common/icon/rank_stage/supremacy/icon_2_2.png,II,Silver II,baiyin
16,200,{coin15=2.5;gold=37.5},{coin15=3600;gold=54000},50,1,0,,{coin15=3000;gold=100000},{coin15=1500;gold=50000},{501=4;coin15=37500;gold=750000},18,1,common/icon/rank_stage/supremacy/icon_2_3.png,III,Silver III,baiyin
17,100,{coin15=2;gold=30},{coin15=2880;gold=43200},50,1,0,25,{coin15=3000;gold=100000},{coin15=1500;gold=50000},{501=4;coin15=35000;gold=700000},19,1,common/icon/rank_stage/supremacy/icon_1_1.png,I,Bronze I,qingtong
18,50,{coin15=1.5;gold=22.5},{coin15=2160;gold=32400},50,1,0,25,{coin15=3000;gold=100000},{coin15=1500;gold=50000},{501=4;coin15=32500;gold=650000},19,1,common/icon/rank_stage/supremacy/icon_1_2.png,II,Bronze II,qingtong
19,,{coin15=1;gold=15},{coin15=1440;gold=21600},50,1,0,25,{coin15=3000;gold=100000},{coin15=1500;gold=50000},{501=3;coin15=30000;gold=600000},19,1,common/icon/rank_stage/supremacy/icon_1_3.png,III,Bronze III,qingtong
