变量名,range,award,flag,version
默认值,0,{},0,0
ID,最大排名,结算奖励,1-全服 0-战区,奖励版本
1,1,{3061=1;coin15=400000;gold=6000000;rmb=2000},1,
2,2,{3061=1;coin15=390000;gold=5800000;rmb=1800},1,
3,3,{3061=1;coin15=380000;gold=5600000;rmb=1700},1,
4,4,{3061=1;coin15=370000;gold=5400000;rmb=1600},1,
5,5,{3061=1;coin15=360000;gold=5200000;rmb=1500},1,
6,6,{3061=1;coin15=350000;gold=5000000;rmb=1400},1,
7,7,{3061=1;coin15=340000;gold=4800000;rmb=1300},1,
8,8,{3061=1;coin15=330000;gold=4600000;rmb=1200},1,
9,9,{3061=1;coin15=320000;gold=4400000;rmb=1100},1,
10,10,{3061=1;coin15=310000;gold=4200000;rmb=1000},1,
11,12,{3062=1;coin15=300000;gold=4000000;rmb=950},1,
12,15,{3062=1;coin15=290000;gold=3800000;rmb=900},1,
13,20,{3062=1;coin15=280000;gold=3600000;rmb=850},1,
14,30,{3062=1;coin15=270000;gold=3400000;rmb=800},1,
15,40,{3062=1;coin15=260000;gold=3200000;rmb=750},1,
16,50,{3062=1;coin15=250000;gold=3000000;rmb=700},1,
17,70,{3063=1;coin15=240000;gold=2800000;rmb=650},1,
18,100,{3063=1;coin15=230000;gold=2600000;rmb=600},1,
19,150,{3063=1;coin15=220000;gold=2500000;rmb=550},1,
20,200,{3063=1;coin15=210000;gold=2400000;rmb=500},1,
21,300,{coin15=200000;gold=2300000;rmb=480},1,
22,400,{coin15=190000;gold=2200000;rmb=460},1,
23,500,{coin15=180000;gold=2100000;rmb=440},1,
24,700,{coin15=170000;gold=2000000;rmb=420},1,
25,1000,{coin15=160000;gold=1900000;rmb=400},1,
26,2000,{coin15=150000;gold=1800000;rmb=380},1,
27,3000,{coin15=140000;gold=1700000;rmb=360},1,
28,4000,{coin15=130000;gold=1600000;rmb=340},1,
29,5000,{coin15=120000;gold=1500000;rmb=320},1,
30,7000,{coin15=110000;gold=1400000;rmb=300},1,
31,10000,{coin15=100000;gold=1300000;rmb=290},1,
32,999999,{coin15=90000;gold=1200000;rmb=260},1,
101,1,{gold=10000},,
102,2,{gold=10000},,
103,3,{gold=10000},,
104,4,{gold=10000},,
105,5,{gold=10000},,
106,6,{gold=10000},,
107,7,{gold=10000},,
108,8,{gold=10000},,
109,9,{gold=10000},,
110,10,{gold=10000},,
111,12,{gold=10000},,
112,15,{gold=10000},,
113,20,{gold=10000},,
114,30,{gold=10000},,
115,40,{gold=10000},,
116,50,{gold=10000},,
117,70,{gold=10000},,
118,100,{gold=10000},,
119,150,{gold=10000},,
120,200,{gold=10000},,
121,300,{gold=10000},,
122,400,{gold=10000},,
123,500,{gold=10000},,
124,700,{gold=10000},,
125,1000,{gold=10000},,
126,2000,{gold=10000},,
127,3000,{gold=10000},,
128,4000,{gold=10000},,
129,5000,{gold=10000},,
130,7000,{gold=10000},,
131,10000,{gold=10000},,
132,999999,{gold=10000},,
1001,1,{3064=1;coin15=400000;gold=6000000;rmb=2000},1,2
1002,2,{3064=1;coin15=390000;gold=5800000;rmb=1800},1,2
1003,3,{3064=1;coin15=380000;gold=5600000;rmb=1700},1,2
