变量名,level_start,level_end,monsterIDs1,monsterIDs2,monsterIDs3,weight,fightgo_val_start,fightgo_val_end,grade,eliteCards,advanceEnd,advanceStart,attrFix,cards1,cards2,cards3,levelEnd,levelStart,starEnd,starStart
默认值,,,,,,0,,,0,<193;343;163;353;133>,0,0,1,<>,<>,<>,0,0,0,0
ID,等级下限,等级上限,队伍1,队伍2,队伍3,随机权重,先手值上限,先手值下限,段位,精英卡牌,advanceEnd,advanceStart,attrFix,cards1,cards2,cards3,levelEnd,levelStart,starEnd,starStart
1,,,,,,10,,,19,<>,4,3,,<462;3283;2633;464;153;463>,<273;3;222;33;3012;482>,<2303;1802;1612;1863;783;341>,72,70,4,3
2,,,,,,10,,,19,<>,4,3,,<93;2843;3342;173;1802;113>,<273;232;2303;2073;41;472>,<783;1612;542;3;352;2924>,72,70,4,3
3,,,,,,10,,,19,<>,4,3,,<3502;2633;2923;2073;463;3562>,<464;1353;1863;803;72;3012>,<452;472;2612;2272;153;2683>,72,70,4,3
4,,,,,,10,,,19,<>,4,3,,<462;2303;3283;2891;542;133>,<452;2923;2593;552;803;372>,<44;1443;153;13;1353;2873>,72,70,4,3
5,,,,,,10,,,19,<>,4,3,,<3511;2013;1612;2302;3293;303>,<3012;482;222;3012;2683;2963>,<3012;542;472;173;2073;1852>,72,70,4,3
6,,,,,,10,,,19,<>,5,4,,<1353;53;173;3283;463;41>,<1612;341;2963;1852;2923;3012>,<2843;44;783;893;283;2612>,72,70,5,4
7,,,,,,10,,,19,<>,5,4,,<372;2924;3;2923;1612;53>,<1852;2302;3012;113;3012;482>,<2963;3012;462;2483;2073;72>,72,70,5,4
8,,,,,,10,,,19,<>,5,4,,<23;2873;283;113;341;93>,<372;13;3012;2303;53;893>,<3012;2073;2013;2272;3012;3012>,72,70,5,4
9,,,,,,10,,,19,<>,5,4,,<452;2612;2683;482;3012;552>,<2073;1863;102;273;2924;542>,<192;3012;2923;803;41;2483>,72,70,5,4
10,,,,,,10,,,19,<>,5,4,,<803;692;2633;3012;283;1802>,<341;3012;123;893;44;552>,<1853;2963;3012;352;464;3012>,72,70,5,4
11,,,,,,10,,,19,<>,6,5,,<552;82;1863;222;102;793>,<1353;283;113;341;1853;1612>,<13;452;472;2013;53;93>,72,70,5,4
12,,,,,,10,,,19,<>,6,5,,<803;3012;793;72;692;2891>,<552;2073;133;113;893;783>,<542;2303;341;2683;53;3012>,72,70,5,4
13,,,,,,10,,,19,<>,6,5,,<2873;783;372;133;3012;222>,<482;3012;803;2593;552;102>,<472;2272;173;2073;3012;192>,72,70,5,4
14,,,,,,10,,,19,<>,6,5,,<3502;44;102;2683;2013;542>,<2612;2302;2303;1852;93;783>,<1612;153;232;2873;482;1443>,72,70,5,4
15,,,,,,10,,,19,<>,6,5,,<93;482;3283;44;53;222>,<13;2593;3012;2073;173;123>,<3012;1443;341;1853;3012;153>,72,70,5,4
16,,,,,,10,,,19,<>,7,6,,<2013;53;173;2302;3012;113>,<372;3012;3012;2303;2483;1612>,<3562;2633;283;303;3;133>,72,70,6,5
17,,,,,,10,,,19,<>,7,6,,<3562;462;1353;3012;352;2483>,<2272;2873;2891;13;2612;2013>,<133;1853;2924;452;41;3012>,72,70,6,5
18,,,,,,10,,,19,<>,7,6,,<552;803;123;2612;2843;2891>,<1853;3012;692;464;1863;44>,<283;452;3012;173;113;2924>,72,70,6,5
19,,,,,,10,,,19,<>,7,6,,<2302;1853;3;62;93;463>,<341;123;23;3012;2073;3012>,<1852;2612;482;452;2843;692>,72,70,6,5
20,,,,,,10,,,19,<>,7,6,,<793;893;3562;3012;2303;2633>,<1802;341;3012;552;372;102>,<3012;283;464;2483;192;1612>,72,70,6,5
21,,,,,,10,,,19,<>,8,7,,<1612;482;3012;93;2013;692>,<462;3012;452;463;2924;793>,<41;472;1353;3012;1802;352>,72,70,6,5
22,,,,,,10,,,19,<>,8,7,,<3293;1852;1443;2302;13;153>,<82;2843;793;692;3012;273>,<1802;3012;352;192;2013;1612>,72,70,6,5
23,,,,,,10,,,19,<>,8,7,,<783;2963;793;3283;2924;1353>,<2891;1863;893;3012;3562;3012>,<2873;2303;462;341;2013;273>,72,70,6,5
24,,,,,,10,,,19,<>,8,7,,<3472;102;3562;153;2923;3012>,<1802;2612;3012;53;3012;3>,<62;44;2302;463;1863;1443>,72,70,6,5
25,,,,,,10,,,19,<>,8,7,,<3;13;3283;44;2633;1853>,<232;303;472;2013;2891;2963>,<1443;133;352;552;803;463>,72,70,6,5
26,,,,,,10,,,19,<>,9,8,,<153;232;102;1353;133;303>,<123;452;3012;2272;2924;3012>,<2073;3012;2873;3562;113;2483>,72,70,7,6
27,,,,,,10,,,19,<>,9,8,,<793;273;803;2891;552;692>,<464;102;1802;2013;352;13>,<1853;113;1612;3562;153;222>,72,70,7,6
28,,,,,,10,,,19,<>,9,8,,<1853;482;3012;372;62;3562>,<464;2593;3012;2073;123;173>,<2612;793;3012;2302;463;2272>,72,70,7,6
29,,,,,,10,,,19,<>,9,8,,<3432;2013;273;893;1802;372>,<2593;3012;232;2483;1853;452>,<173;472;1863;62;3012;3012>,72,70,7,6
30,,,,,,10,,,19,<>,9,8,,<464;352;173;62;372;803>,<273;82;2303;1443;153;482>,<2272;3012;2612;283;44;93>,72,70,7,6
31,,,,,,10,,,19,<>,10,9,,<803;2612;13;41;1353;1443>,<3;1853;464;133;93;783>,<2683;2593;82;222;2891;23>,72,70,7,6
32,,,,,,10,,,19,<>,10,9,,<2924;793;472;482;3562;2683>,<803;3012;303;2303;173;3012>,<1853;3012;222;3012;341;133>,72,70,7,6
33,,,,,,10,,,19,<>,10,9,,<62;2593;372;153;803;93>,<2483;192;303;2891;893;41>,<3012;462;82;3012;273;23>,72,70,7,6
34,,,,,,10,,,19,<>,10,9,,<2923;3012;2073;3562;3283;273>,<783;3012;793;153;23;482>,<3;1443;542;2593;133;33>,72,70,7,6
35,,,,,,10,,,19,<>,10,9,,<3472;552;2013;472;44;62>,<452;2073;303;113;783;1443>,<1853;222;13;102;2873;803>,72,70,7,6
36,,,,,,10,,,19,<>,11,10,,<3432;463;341;352;283;2483>,<2963;133;3012;41;783;452>,<1612;2272;2013;3012;2612;472>,72,70,8,7
37,,,,,,10,,,19,<>,11,10,,<2612;2683;153;44;783;452>,<2923;3;123;2302;2873;893>,<93;2891;472;3012;2272;1443>,72,70,8,7
38,,,,,,10,,,19,<>,11,10,,<2873;1802;2963;13;3012;2924>,<53;2683;1852;113;3;552>,<2483;542;1863;192;893;3012>,72,70,8,7
39,,,,,,10,,,19,<>,11,10,,<462;2891;3342;123;803;3562>,<41;3012;222;2963;173;53>,<1863;3012;2923;2073;2633;2483>,72,70,8,7
40,,,,,,10,,,19,<>,11,10,,<2593;3502;2891;2272;33;2923>,<2483;1443;2633;23;462;113>,<303;2303;3012;41;2013;482>,72,70,8,7
41,,,,,,10,,,19,<>,12,11,,<3342;3012;41;2483;1852;3012>,<113;462;53;102;2633;173>,<2272;3012;542;1353;44;3562>,72,70,8,7
42,,,,,,10,,,19,<>,12,11,,<1802;341;542;44;2923;3293>,<113;133;2683;33;192;3012>,<2013;1863;2483;2924;303;2843>,72,70,8,7
43,,,,,,10,,,19,<>,12,11,,<62;2303;341;2013;2923;3012>,<803;273;133;23;303;2873>,<1443;2593;2924;93;2272;113>,72,70,8,7
44,,,,,,10,,,19,<>,12,11,,<783;53;3293;803;82;552>,<133;1853;2483;3012;1802;2873>,<2963;33;3012;3012;1443;2923>,72,70,8,7
45,,,,,,10,,,19,<>,12,11,,<1612;53;173;222;2633;1853>,<464;893;692;2923;3012;472>,<3;3012;2303;102;93;3012>,72,70,8,7
46,,,,,,10,,,19,<>,13,12,,<462;222;472;793;542;133>,<482;893;44;2593;153;463>,<2272;3012;3012;2923;13;464>,72,70,9,8
47,,,,,,10,,,19,<>,13,12,,<452;102;2891;464;3293;2073>,<472;1852;352;3012;462;692>,<803;1443;783;1853;13;2683>,72,70,9,8
48,,,,,,10,,,19,<>,13,12,,<53;2843;1802;2302;192;2924>,<692;462;102;3012;1353;372>,<1863;1612;3012;123;1443;3012>,72,70,9,8
49,,,,,,10,,,19,<>,13,12,,<222;23;72;3562;133;53>,<2633;102;692;462;2272;2612>,<482;2073;793;173;153;2483>,72,70,9,8
50,,,,,,10,,,19,<>,13,12,,<1852;2843;692;82;2073;341>,<232;2683;3012;192;273;23>,<542;3012;463;153;2924;3>,72,70,9,8
51,,,,,,10,,,18,<>,14,13,,<542;1852;3;72;273;482>,<803;2302;303;372;552;93>,<462;2013;1853;2073;341;2683>,74,72,9,8
52,,,,,,10,,,18,<>,14,13,,<222;1853;2013;2683;3012;3012>,<53;1852;133;283;472;552>,<3012;692;2891;372;2923;123>,74,72,9,8
53,,,,,,10,,,18,<>,14,13,,<123;41;93;552;222;13>,<1443;803;1852;793;783;192>,<72;3012;2924;133;3012;1853>,74,72,9,8
54,,,,,,10,,,18,<>,14,13,,<341;3562;2923;1443;783;102>,<552;192;2683;153;462;2302>,<3012;2633;72;273;2963;62>,74,72,9,8
55,,,,,,10,,,18,<>,14,13,,<552;41;372;133;33;23>,<72;2272;113;2843;3012;2483>,<783;192;2963;3012;2073;82>,74,72,9,8
56,,,,,,10,,,18,<>,15,14,,<352;893;552;803;2612;133>,<232;2891;692;472;173;72>,<1443;1863;222;2683;3012;2873>,74,72,10,9
57,,,,,,10,,,18,<>,15,14,,<82;3432;2073;2633;1852;3012>,<463;102;23;2891;1353;783>,<552;793;3012;3562;1863;93>,74,72,10,9
58,,,,,,10,,,18,<>,15,14,,<3511;783;1863;2843;793;192>,<2633;482;102;3;2302;72>,<2683;803;692;1443;463;1802>,74,72,10,9
59,,,,,,10,,,18,<>,15,14,,<3511;2873;2923;2963;1852;3012>,<2593;2633;2272;222;303;3562>,<23;173;803;552;102;352>,74,72,10,9
60,,,,,,10,,,18,<>,15,14,,<1863;1612;542;464;3012;2303>,<463;783;13;1852;482;2272>,<33;2633;93;3012;123;102>,74,72,10,9
61,,,,,,10,,,18,<>,16,15,,<3562;33;1863;232;462;3012>,<23;2924;2873;552;3012;464>,<123;1802;82;153;372;303>,74,72,10,9
62,,,,,,10,,,18,<>,16,15,,<102;23;2963;1802;133;2272>,<1853;2303;2683;2633;2302;1353>,<3012;542;472;341;3562;53>,74,72,10,9
63,,,,,,10,,,18,<>,16,15,,<2612;283;2633;482;463;3>,<2873;542;3012;62;452;2593>,<102;3012;3012;1863;2891;303>,74,72,10,9
64,,,,,,10,,,18,<>,16,15,,<2303;552;13;793;93;153>,<1443;222;44;2891;173;2272>,<232;372;1853;2873;1863;482>,74,72,10,9
65,,,,,,10,,,18,<>,16,15,,<2683;192;3342;3432;2843;3012>,<283;482;452;692;72;352>,<222;44;113;2303;3;3012>,74,72,10,9
66,,,,,,10,,,18,<>,17,16,,<2633;2923;41;113;352;3293>,<72;1863;303;542;793;2272>,<2303;192;3012;552;93;3012>,74,72,11,10
67,,,,,,10,,,18,<>,17,16,,<2924;222;2891;3012;3293;352>,<462;552;482;472;82;3012>,<341;1853;793;113;283;2073>,74,72,11,10
68,,,,,,10,,,18,<>,17,16,,<2683;33;303;1443;283;783>,<23;2303;542;3012;3;2873>,<472;3012;1612;2843;452;482>,74,72,11,10
