变量名,speedDebuff,prepareTime,hpBuff,vertexRoleToBase,rebirthNum,vertexNum,addResourceBuff,timer,speedBuff,radius,speed,weight,type,time,ghostHpBuff,edgeNum,outcomeRule
默认值,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<1;2>
ID,速度减益,准备时间,血量Buff,关键点角色到基地,复活次数,关键点数量,增加资源Buff,计时器,速度Buff,半径,速度,权重,类型,时间,幽灵血量Buff,边缘数量,结局规则
1,,,,,,,,300,1.2,50,100,100,1,30,,,
2,,,,,,3,0.5,300,,50,100,100,1,12,,,<1;4>
3,,,,,3,,,300,,50,100,,1,,,,
4,,,,1,,1,,300,,50,100,,1,,,,
11,,5,-0.4,,,2,,240,,50,120,100,2,35,,,
21,,8,-0.6,,,3,,240,,,,100,3,,,,
31,-0.5,5,,,,,,240,1,,,100,4,30,,3,
41,,3,,,,,,240,,,,100,5,,-0.0007,,
51,,,,,,,,240,-1,,,100,6,30,,,
61,,,,,,,,120,,,,100,7,60,,,
