变量名,name,type,resScale,wholeRes,x,scene,adjoin,radius,res,oneMinuteAddHP,simpleRes,oneMinuteAddResource,y,adjoinSpeedUp,oneMinuteAddResourceSpecial,enemyOccupyTimeBuff,teamAttrFix,attrFix,dy,desc,dx,adjoinZ,buffRes
默认值,据点名,0,1,"""""",0,0,<>,0,"""""",0,"""""",0,0,<>,0,0,{},{},0,这是描述,0,<>,""""""
ID,名称,类型,资源缩放,整体资源,X坐标,场景ID,邻接列表,半径,资源路径,每分钟增加HP,简易资源,每分钟增加资源,Y坐标,邻接加速列表,每分钟增加特殊资源,敌人占领时间Buff,团队属性修正,属性修正,DY偏移,描述,DX偏移,邻接Z列表,Buff资源
1,左基地,1,2,city/union/cross_union_adventure/map/icon_dabenying_b1.png,-1700,-1,<3;4;5>,300,city/union/cross_union_adventure/map/img_dabenying1.png,0.65,city/union/cross_union_adventure/map/icon_dabenying_s1.png,,,,,,,,,,,,
2,右基地,2,2,city/union/cross_union_adventure/map/icon_dabenying_b2.png,1700,-1,<6;7;8>,300,city/union/cross_union_adventure/map/img_dabenying2.png,0.65,city/union/cross_union_adventure/map/icon_dabenying_s2.png,,,,,,,,,,,,
3,左上据点,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-800,-1,<1;4;6>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,30,550,<6>,,,,,,,,,
4,左中据点,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-800,-1,<1;3;5;7>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,50,,,80,0.5,{1=0.1},{1=0.1},,,,,
5,左下据点,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-800,-1,<1;4;8>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,70,-550,,,,,,,,,,
6,右上据点,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,800,-1,<2;7;3>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,30,550,,,,,,,,,,
7,右中据点,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,800,-1,<2;6;8;4>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,50,,,80,0.5,{1=0.1},{1=0.1},,,,,
8,右下据点,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,800,-1,<2;7;5>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,70,-550,<5>,,,,,,,,,
101,小匙镇,1,2,city/union/cross_union_adventure/map/icon_dabenying_b1.png,-3000,1,<104;112;113>,160,city/union/cross_union_adventure/map/img_dabenying1.png,0.65,city/union/cross_union_adventure/map/icon_dabenying_s1.png,,,,,,,,80,在两队精灵全部力竭时，营地可提供复活，但复活需要时间,-150,,
102,渍沁镇,2,2,city/union/cross_union_adventure/map/icon_dabenying_b2.png,3000,1,<107;110;111>,160,city/union/cross_union_adventure/map/img_dabenying2.png,0.65,city/union/cross_union_adventure/map/icon_dabenying_s2.png,,,,,,,,80,在两队精灵全部力竭时，营地可提供复活，但复活需要时间,150,,
103,结晶祠,3,2.3,city/union/cross_union_adventure/map/icon_judian_b.png,,1,<105;106;108;109>,130,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,,,,160,,,{13=20%;22=2000},55,特殊据点：该据点被占领后，将为占领方产出高额的资源量,,,city/union/cross_union_adventure/map/img_ziyuanup.png
104,小匙小径,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-2050,1,<101;105>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,30,,,,,,{7=20%;8=20%},55,在据点内的驻守玩家，精灵的双攻将获得提升,,,city/union/cross_union_adventure/map/img_shuanggong.png
105,霜抹山,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,-1090,1,<104;103;108;109>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,50,,,,,,{7=20%;8=20%},55,在据点内的驻守玩家，精灵的双攻将获得提升,,,city/union/cross_union_adventure/map/img_shuanggong.png
106,锅巴林道,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,1090,1,<107;103;108;109>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,70,,,,,,{7=20%;8=20%},55,在据点内的驻守玩家，精灵的双攻将获得提升,,,city/union/cross_union_adventure/map/img_shuanggong.png
107,锦穴山道,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,2050,1,<106;102>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,30,,,,,,{7=20%;8=20%},55,在据点内的驻守玩家，精灵的双攻将获得提升,,,city/union/cross_union_adventure/map/img_shuanggong.png
108,焙固空洞,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,,1,<112;110;103;106;105>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,50,975,,,,,{9=60%;10=60%;23=2000},55,在据点内的驻守玩家，精灵的双防将获得提升,,,city/union/cross_union_adventure/map/img_shuangfang.png
109,印记森林园,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,,1,<113;111;103;105;106>,100,city/union/cross_union_adventure/map/img_judian.png,,city/union/cross_union_adventure/map/icon_judian_s.png,70,-975,,,,,{9=60%;10=60%;23=2000},55,在据点内的驻守玩家，精灵的双防将获得提升,,,city/union/cross_union_adventure/map/img_shuangfang.png
110,海湾洞穴,3,1.8,city/union/cross_union_adventure/map/icon_judian_b.png,2050,1,<114;102;108>,100,city/union/cross_union_adventure/map/img_judian.png,0.65,city/union/cross_union_adventure/map/icon_judian_s.png,20,975,,,,,,55,在据点内驻守的玩家，当前使用队伍中未力竭的精灵将获得生命恢复,,,city/union/cross_union_adventure/map/img_huifu.png
