变量名,version,award,rank
默认值,0,{},0
ID,版本,奖励,排名
1,,{59003=10;coin21=36000;gold=8000000},1
2,,{59003=9;coin21=33000;gold=7000000},2
3,,{59003=8;coin21=30000;gold=6000000},3
4,,{59003=8;coin21=27000;gold=5500000},4
5,,{59003=7;coin21=24000;gold=5000000},8
6,,{59003=7;coin21=21000;gold=4500000},16
7,,{59003=6;coin21=18000;gold=4000000},32
8,,{59003=6;coin21=16000;gold=3500000},64
9,,{59003=5;coin21=14000;gold=3000000},100
10,,{59003=5;coin21=12000;gold=2700000},200
11,,{59003=4;coin21=10000;gold=2400000},300
12,,{59003=4;coin21=9000;gold=2100000},500
13,,{59003=3;coin21=8000;gold=1800000},1000
14,,{59003=3;coin21=7000;gold=1500000},2000
15,,{59003=3;coin21=6000;gold=1200000},99999
