变量名,simpleMapScale,tmx,sceneScale,weight,outcomeRule,wholeMapScale,simpleMapRes,map,edgeRes,events,sceneSize,name,languages
默认值,0.06,caodi.tmx,1.6,0,1,0.4,city/union/cross_union_adventure/map/img_luxian_d.png,0,city/union/cross_union_adventure/map/img_lumian.png,<>,{height=3800;width=8200},,<cn;tw;en;en_us;kr>
ID,简易地图缩放,tmx地图文件,场景缩放,权重,结局规则,整体地图缩放,简易地图资源,地图ID,边缘资源,事件列表,场景尺寸,名称,languages
-2,,,,,2,,,-1,,,,Development Theme,
-1,0.1,,,,,0.2,,-1,,,,Development Theme,
1,,caodi.tmx,1.2,100,,0.297,,1,,<1>,{height=5100;width=8200},Ancient Forest,
2,,caodi.tmx,1.5,100,2,,,2,,<1;3>,,Thunderfall Realm,
3,,caodi.tmx,1.3,100,2,0.368,,3,,<1;4>,,Rainbow-Sundering Rain,
4,,fenzhuo.tmx,1.2,100,,0.297,city/union/cross_union_adventure/map/img_luxian_d1.png,4,city/union/cross_union_adventure/map/img_fenzhuolumian.png,<1;2>,{height=5100;width=8200},Emberblaze Inferno,
5,,shuangxue.tmx,1,100,,0.299,city/union/cross_union_adventure/map/img_luxian_d2.png,5,,<1;6>,{height=5100;width=8200},Final Winter,
6,,guizhou.tmx,0.95,100,2,0.298,city/union/cross_union_adventure/map/img_luxian_d3.png,6,city/union/cross_union_adventure/map/img_guizhoulumian.png,<1;5>,{height=5100;width=8200},Wraithshadow Nether,
7,,miwu.tmx,0.87,100,2,0.298,city/union/cross_union_adventure/map/img_luxian_d4.png,7,,<1;7>,{height=5100;width=8200},Mistbound Voyage,<cn;tw;en_us>
