变量名,rangeType,rate,range,args,formulaType,type
默认值,1,1,<>,<>,,
ID,默认值,默认值,默认值,默认值,默认值,默认值
1,2,,<0;0.24>,,1,2
2,2,,<0.6;99>,,1,2
3,2,0.78,<0.24;0.3>,<0.6>,2,2
4,2,0.72,<0.3;0.35>,<0.6>,2,2
5,2,0.66,<0.35;0.4>,<0.6>,2,2
6,2,0.6,<0.4;0.45>,<0.6>,2,2
7,2,0.55,<0.45;0.5>,<0.6>,2,2
8,2,0.5,<0.5;0.55>,<0.6>,2,2
9,2,0.4,<0.55;0.6>,<0.6>,2,2
99,2,0.08,<-99;0>,,5,1
100,,,<0.5;0.6>,,1,1
101,,,<0.6;0.7>,,1,1
102,,,<0.7;0.8>,,1,1
103,,,<0.8;0.9>,,1,1
104,,,<0.9;1>,,1,1
105,,,<1;1.1>,,1,1
106,,,<1.1;1.2>,,1,1
107,,,<1.2;1.3>,,1,1
108,,,<1.3;1.4>,,1,1
109,,,<1.4;1.5>,,1,1
110,,,<1.5;1.6>,,1,1
111,,,<1.6;1.7>,,1,1
112,,0.6,<0;0.1>,<0.55>,2,1
113,,0.5,<0.1;0.2>,<0.55>,2,1
114,,0.4,<0.2;0.3>,<0.55>,2,1
115,,0.3,<0.3;0.4>,<0.55>,2,1
116,,0.2,<0.4;0.5>,<0.55>,2,1
117,,0.6,<1.5;1.6>,<1.5>,3,1
118,,0.6,<1.6;1.7>,<1.5>,3,1
119,,0.65,<1.7;1.8>,<1.5>,3,1
120,,0.7,<1.8;1.9>,<1.5>,3,1
121,,0.7,<1.9;2>,<1.5>,3,1
122,,0.7,<2;2.1>,<1.5>,3,1
123,,0.7,<2.1;2.2>,<1.5>,3,1
124,,0.7,<2.2;2.3>,<1.5>,3,1
125,,0.7,<2.3;2.4>,<1.5>,3,1
126,,0.7,<2.4;2.5>,<1.5>,3,1
127,,0.7,<2.5;2.6>,<1.5>,3,1
128,,0.7,<2.6;2.7>,<1.5>,3,1
129,,0.68,<2.7;2.8>,<1.5>,3,1
130,,0.65,<2.8;2.9>,<1.5>,3,1
131,,0.65,<2.9;3>,<1.5>,3,1
132,,0.65,<3;3.1>,<1.5>,3,1
133,,0.65,<3.1;3.2>,<1.5>,3,1
134,,0.65,<3.2;3.3>,<1.5>,3,1
135,,0.65,<3.3;3.4>,<1.5>,3,1
136,,0.62,<3.4;3.5>,<1.5>,3,1
137,,0.6,<3.5;3.6>,<1.5>,3,1
138,,0.6,<3.6;3.7>,<1.5>,3,1
139,,0.58,<3.7;3.8>,<1.5>,3,1
140,,0.58,<3.8;3.9>,<1.5>,3,1
141,,0.55,<3.9;4>,<1.5>,3,1
142,,0.5,<4;4.1>,<1.5>,3,1
143,,0.5,<4.1;99>,<1.5>,3,1
200,2,,<0.2;0.5>,<1>,4,3
201,2,,<0.9;99>,<1>,4,3
202,2,,<0;0.1>,<1.3;1.25;1.21>,4,3
203,2,,<0.1;0.2>,<1.25;1.21;1.18>,4,3
204,2,,<0.5;0.6>,<0.87;0.91;0.94>,4,3
205,2,,<0.6;0.7>,<0.83;0.87;0.91>,4,3
206,2,,<0.7;0.8>,<0.79;0.83;0.88>,4,3
207,2,,<0.8;0.9>,<0.75;0.79;0.85>,4,3
