变量名,name,desc,quality,weight,duration,levelRange,award,extraAward,fightinPoints,cardNums,cardNatures,cardNatureRate,condition1,condition1Arg,rate1
默认值,"""""","""""",1,1,1,<1;100>,{},{},<1.0;1.5>,5,<>,50,0,{1=2},50
序号,任务名字,任务描述,品质,权值,时长(分钟),等级范围(左闭右闭),基础奖励,额外奖励,战力范围修正,上阵卡牌数量,卡牌元素类型,卡牌元素类型成功率,额外条件1 (1-星级;2-阶数;3-资质),额外条件1参数 ({星级/阶数/资质=数量}),成功率加成几率1
1,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,100,60,<30;34>,{gold=5000;2101=1},{2101=1;930=1},<0.4;0.6>,3,<3;8;4>,70,1,{2=1},30
2,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,100,60,<30;34>,{gold=5000;2101=1},{2101=1;gold=6000},<0.4;0.6>,3,<3;4;2>,70,2,{2=1},30
3,Waste sorting,Let's sort the waste in order to protect our environment.,1,100,60,<30;34>,{gold=5000;2101=1},{2101=1;12=5},<0.4;0.6>,3,<8;4;15>,70,3,{1=1},30
4,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,100,120,<30;34>,{gold=6250;2101=2},{2101=2;930=2},<0.5;0.7>,3,<8;9;1>,70,1,{2=1},30
5,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,100,120,<30;34>,{gold=6250;2101=2},{2101=2;gold=10000},<0.5;0.7>,3,<4;9;1>,70,2,{2=1},30
6,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,100,120,<30;34>,{gold=6250;2101=2},{2101=2;12=7},<0.5;0.7>,3,<4;15;7>,70,3,{1=1},30
7,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,100,180,<30;34>,{gold=7500;2102=1},{2102=1;930=3},<0.6;0.8>,3,<9;2;7>,70,1,{2=1},30
8,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,100,180,<30;34>,{gold=7500;2102=1},{2102=1;gold=16000},<0.6;0.8>,3,<3;7;17>,70,2,{2=2},30
9,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,100,180,<30;34>,{gold=7500;2102=1},{2102=1;12=10},<0.6;0.8>,3,<4;7;15>,70,3,{2=2},30
10,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,100,240,<30;34>,{gold=10000;2102=2},{2102=2;930=4},<0.9;1.1>,4,<9;1;10>,70,1,{2=2},30
11,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,100,240,<30;34>,{gold=10000;2102=2},{2102=2;gold=20000},<0.9;1.1>,4,<2;15;7>,70,2,{2=2},30
12,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,100,240,<30;34>,{gold=10000;2102=2},{2102=2;12=12},<0.9;1.1>,4,<6;11;13>,70,3,{2=2},30
13,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,100,300,<30;34>,{gold=12500;2103=1},{2103=1;930=5},<1.1;1.3>,4,<1;10;13>,70,1,{2=2},30
14,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,100,300,<30;34>,{gold=12500;2103=1},{2103=1;gold=30000},<1.1;1.3>,4,<1;8;15>,70,2,{2=2},30
15,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,100,300,<30;34>,{gold=12500;2103=1},{2103=1;12=15},<1.1;1.3>,4,<2;1;10>,70,3,{2=2},30
16,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,100,60,<35;39>,{gold=7000;2101=1},{2101=1;930=1},<0.4;0.6>,3,<15;1;13>,70,1,{2=1},30
17,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,100,60,<35;39>,{gold=7000;2101=1},{2101=1;gold=6000},<0.4;0.6>,3,<15;7;17>,70,2,{3=1},30
18,Waste sorting,Let's sort the waste in order to protect our environment.,1,100,60,<35;39>,{gold=7000;2101=1},{2101=1;12=5},<0.4;0.6>,3,<4;12;18>,70,3,{1=1},30
19,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,100,120,<35;39>,{gold=8750;2101=2},{2101=2;930=2},<0.5;0.7>,3,<6;12;18>,70,1,{2=1},30
20,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,100,120,<35;39>,{gold=8750;2101=2},{2101=2;gold=10000},<0.5;0.7>,3,<4;9;14>,70,2,{3=1},30
21,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,100,120,<35;39>,{gold=8750;2101=2},{2101=2;12=7},<0.5;0.7>,3,<1;10;13>,70,3,{1=1},30
22,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,100,180,<35;39>,{gold=10500;2102=1},{2102=1;930=3},<0.6;0.8>,3,<1;17;5>,70,1,{2=1},30
23,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,100,180,<35;39>,{gold=10500;2102=1},{2102=1;gold=16000},<0.6;0.8>,3,<7;10;17>,70,2,{3=2},30
24,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,100,180,<35;39>,{gold=10500;2102=1},{2102=1;12=10},<0.6;0.8>,3,<7;13;5>,70,3,{2=2},30
25,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,100,240,<35;39>,{gold=14000;2102=2},{2102=2;930=4},<0.9;1.1>,4,<1;11;15>,70,1,{2=2},30
26,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,100,240,<35;39>,{gold=14000;2102=2},{2102=2;gold=20000},<0.9;1.1>,4,<5;7;17>,70,2,{3=2},30
27,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,100,240,<35;39>,{gold=14000;2102=2},{2102=2;12=12},<0.9;1.1>,4,<3;8;18>,70,3,{2=2},30
28,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,100,300,<35;39>,{gold=17500;2103=1},{2103=1;930=5},<1.1;1.3>,4,<10;13;17>,70,1,{2=2},30
29,Soothe the Pokémon,Soothe the Pokémons that hinders the citizens from traveling around in this city.,5,100,300,<35;39>,{gold=17500;2103=1},{2103=1;gold=30000},<1.1;1.3>,4,<10;17;5>,70,2,{3=2},30
30,Kiwifruit,Form a team of Pokémons to explore the forest and find kiwifruits.,5,100,300,<35;39>,{gold=17500;2103=1},{2103=1;12=15},<1.1;1.3>,4,<13;17;5>,70,3,{2=2},30
31,Eliminate pests,There's a pest infestation in the forest recently and there's a need for trainers to clear them with their Pokémons,1,100,60,<40;44>,{gold=9000;2101=1},{2101=1;930=1},<0.4;0.6>,3,<2;8;16>,70,1,{3=1},30
32,Pick berries,It's the season of berries again! Organize an outing with the Pokémons to pick the berries!,1,100,60,<40;44>,{gold=9000;2101=1},{2101=1;gold=6000},<0.4;0.6>,3,<2;11;17>,70,2,{3=1},30
33,Waste sorting,Let's sort the waste in order to protect our environment.,1,100,60,<40;44>,{gold=9000;2101=1},{2101=1;12=5},<0.4;0.6>,3,<4;10;15>,70,3,{1=1},30
34,Missing Pokémon,The trainer in town has lost his Pokémon. Help him find it.,2,100,120,<40;44>,{gold=11250;2101=2},{2101=2;930=2},<0.5;0.7>,3,<13;5;11>,70,1,{3=1},30
35,Spiritual Mentor,Use Pokémons to comfort the lost villagers and relief the depressing mood.,2,100,120,<40;44>,{gold=11250;2101=2},{2101=2;gold=10000},<0.5;0.7>,3,<17;5;14>,70,2,{3=1},30
36,Help to find Pokémon,Help rookie trainers train their Pokémons.,2,100,120,<40;44>,{gold=11250;2101=2},{2101=2;12=7},<0.5;0.7>,3,<17;11;6>,70,3,{1=1},30
37,Catch the criminal,The police have found a Pokémon thief who has been wanted for years. Assist the police in their arrest!,3,100,180,<40;44>,{gold=13500;2102=1},{2102=1;930=3},<0.6;0.8>,3,<1;11;17>,70,1,{3=1},30
38,Protect the villagers,The wild Pokémons have often attacked the villagers in the town. Go and protect the villagers!,3,100,180,<40;44>,{gold=13500;2102=1},{2102=1;gold=16000},<0.6;0.8>,3,<6;11;16>,70,2,{3=2},30
39,Follow the target,The police asked the trainer to assist in tracking the targets and reporting their whereabouts.,3,100,180,<40;44>,{gold=13500;2102=1},{2102=1;12=10},<0.6;0.8>,3,<5;11;14>,70,3,{2=2},30
40,Escort the Professor,The professor has requested the Trainers Association to protect him and ensure his safe arrival at the destination.,4,100,240,<40;44>,{gold=18000;2102=2},{2102=2;930=4},<0.9;1.1>,4,<5;14;12>,70,1,{3=2},30
41,Escort the Document,The mysterious organization requested for a trainer to protect and deliver the confidential documents.,4,100,240,<40;44>,{gold=18000;2102=2},{2102=2;gold=20000},<0.9;1.1>,4,<11;6;12>,70,2,{3=2},30
42,Private Investigator,The villagers privately requested help from the trainers to investigate the whereabouts of their missing partners.,4,100,240,<40;44>,{gold=18000;2102=2},{2102=2;12=12},<0.9;1.1>,4,<5;7;13>,70,3,{2=2},30
43,Alola Investigation,Dispatch Pokémons to Alola region and find out whether there are wild Mews in the area.,5,100,300,<40;44>,{gold=22500;2103=1},{2103=1;930=5},<1.1;1.3>,4,<2;8;13>,70,1,{3=2},30
