变量名,drawType,_comment,drawTriggerType,drawTriggerTimes,weightStart,weightEnd,effectLimit,startCount,probInit,probStep,probLimit,probMiniTimes,probEffectInterval,lotteryType1,lotteryWeight1,lotteryType2,lotteryWeight2,lotteryType3,lotteryWeight3,lotteryType4,lotteryWeight4,lotteryType5,lotteryWeight5,lotteryType6,lotteryWeight6,lotteryType7,lotteryWeight7,lotteryType8,lotteryWeight8,lotteryType9,lotteryWeight9,lotteryType10,lotteryWeight10
默认值,,,2,0,0,0,0,0,0,0.01,0.2,30,50,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
ID,抽取类型,类型注释,抽取触发类型(0从X次开始;1权值累加;2概率触发;3每X次;4第X次),抽取次数条件,权值上限,权值下限,生效次数上限,开始次数,概率初值,概率递增,概率上限,概率保底次数,概率生效间隔,产出类型1,产出类型1权重,产出类型2,产出类型2权重,产出类型3,产出类型3权重,产出类型4,产出类型4权重,产出类型5,产出类型5权重,产出类型6,产出类型6权重,产出类型7,产出类型7权重,产出类型8,产出类型8权重,产出类型9,产出类型9权重,产出类型10,产出类型10权重
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,gold1,金币单抽,0,1,,,,,,,,,,{220=1},45,{221=1},25,{222=1},30,,0,,0,,0,,0,,0,,0,,0
2,gold10,金币10连抽,0,1,,,,,,,,,,{220=4;221=3;222=3},100,{220=3;221=3;222=4},80,{220=5;221=3;222=2},120,{220=5;221=2;222=3},120,{220=4;221=2;222=4},100,{220=5;221=2;222=3},120,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,rmb1,系统引导首抽,4,1,,,,,,,,,,{203=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
12,rmb1,钻石单抽-第5次得S资质卡牌,4,5,,,,,,,,,,{207=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
13,rmb1,后续每20连得S级卡（概率）,2,6,,,,10,0.05,0.02,0.3,15,20,{201=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
14,rmb1,钻石付费单抽,0,2,,,,,,,,,,{205=1},50,{206=1},50,,0,,0,,0,,0,,0,,0,,0,,0
15,rmb1,钻石付费单抽-必出A级卡,4,2,,,,,,,,,,{204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
16,rmb1,后续每80连额外得S级卡（概率）,2,6,,,,30,0.02,0.006,0.5,30,80,{201=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,rmb10,首次十连-单张S,4,1,,,,,,,,,,{207=1;205=3;206=6},100,{207=1;205=4;206=5},100,,0,,0,,0,,0,,0,,0,,0,,0
22,rmb10,10连抽-第4~5次2张S,2,2,,,1,4,0.5,0.5,1,2,999999,{201=1;205=3;206=6},0,{201=1;205=4;206=5},0,{201=1;205=5;206=4},0,{201=2;205=3;206=5},20,{201=2;205=4;206=4},20,{201=2;205=5;206=3},20,{201=3;205=2;206=5},0,{201=3;205=3;206=4},0,{201=3;205=4;206=3},0,,0
23,rmb10,10连抽-低几率3张S（）,2,2,,,1,10,0.01,0.005,0.5,40,50,{201=1;205=3;206=6},0,{201=1;205=4;206=5},0,{201=1;205=5;206=4},0,{201=2;205=3;206=5},0,{201=2;205=4;206=4},0,{201=2;205=5;206=3},0,{201=3;205=2;206=5},20,{201=3;205=3;206=4},20,{201=3;205=4;206=3},20,,0
24,rmb10,10连抽-常规产出（最多2个）,0,2,,,,,,,,,,{201=1;205=3;206=6},150,{201=1;205=4;206=5},100,{201=1;205=5;206=4},50,{201=2;205=3;206=5},30,{201=2;205=4;206=4},20,{201=2;205=5;206=3},10,{201=3;205=2;206=5},0,{201=3;205=3;206=4},0,{201=3;205=4;206=3},0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,limit_up_rmb1_81,钻石付费单抽-火系,0,2,,,,,,,,,,{205=1},50,{206=1},50,,0,,0,,0,,0,,0,,0,,0,,0
52,limit_up_rmb1_81,钻石付费单抽-必出A级卡-火系,4,1,,,,,,,,,,{204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
53,limit_up_rmb1_81,钻石单抽-第5~10次得S资质卡牌UP-火系,2,5,,,1,5,0.17,0.06,0.5,6,999999,{1204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
54,limit_up_rmb1_81,后续每15连额外得S级卡（概率）UP-火系,2,6,,,10,10,0.05,0.015,0.5,15,15,{1204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
55,limit_up_rmb1_81,（10次后为泛卡池）后续每15连额外得S级卡（概率）UP-火系,2,160,,,,160,0.05,0.015,0.5,15,15,{1204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,limit_up_rmb10_81,首次十连-单张S-火系,4,1,,,,,,,,,,{1204=1;205=3;206=6},100,{1204=1;205=4;206=5},100,,0,,0,,0,,0,,0,,0,,0,,0
62,limit_up_rmb10_81,10连抽-常规产出（最多2个）-火系,0,2,,,20,,,,,,,{1204=1;205=3;206=6},150,{1204=1;205=4;206=5},100,{1204=1;205=5;206=4},50,{1204=2;205=3;206=5},30,{1204=2;205=4;206=4},20,{1204=2;205=5;206=3},10,{1204=3;205=2;206=5},0,{1204=3;205=3;206=4},0,{1204=3;205=4;206=3},0,,0
