变量名,drawType,_comment,drawTriggerType,drawTriggerTimes,weightStart,weightEnd,effectLimit,startCount,probInit,probStep,probLimit,probMiniTimes,probEffectInterval,lotteryType1,lotteryWeight1,lotteryType2,lotteryWeight2,lotteryType3,lotteryWeight3,lotteryType4,lotteryWeight4,lotteryType5,lotteryWeight5,lotteryType6,lotteryWeight6,lotteryType7,lotteryWeight7,lotteryType8,lotteryWeight8,lotteryType9,lotteryWeight9,lotteryType10,lotteryWeight10
默认值,"""""","""""",2,0,0,0,0,0,0,0.01,0.2,30,50,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
ID,抽取类型,类型注释,抽取触发类型(0从X次开始;1权值累加;2概率触发;3每X次;4第X次),抽取次数条件,权值上限,权值下限,生效次数上限,开始次数,概率初值,概率递增,概率上限,概率保底次数,概率生效间隔,产出类型1,产出类型1权重,产出类型2,产出类型2权重,产出类型3,产出类型3权重,产出类型4,产出类型4权重,产出类型5,产出类型5权重,产出类型6,产出类型6权重,产出类型7,产出类型7权重,产出类型8,产出类型8权重,产出类型9,产出类型9权重,产出类型10,产出类型10权重
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,item1,道具单抽-固定概率出橙色60次左右,1,20,0.015,0.022,,20,,,,,,{22504=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
102,item1,道具单抽-20次左右必出橙色保底,1,10,0.06,0.14,1,10,,,,,,{22504=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
103,item1,道具单抽-首次出紫色,3,1,,,1,,,,,,,{22503=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
104,item1,道具单抽-常规产出,0,1,,,,,,,,,,{22501=1},55,{22502=1},20,{22503=1},10,{22506=1},15,,0,,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,item10,道具10连抽-后续固定橙色6次十连左右,1,2,0.15,0.2,,2,,,,,,{22501=5;22502=2;22504=1;22506=2;},100,{22501=4;22502=3;22504=1;22506=2;},100,{22501=4;22502=2;22504=1;22506=3;},100,{22501=3;22502=3;22504=1;22506=3;},100,{22501=4;22502=3;22504=1;22506=1;22503=1},30,{22501=3;22502=3;22504=1;22506=2;22503=1},30,,0,,0,,,,
202,item10,道具10连抽-首抽必出橙色,3,1,,,1,,,,,,,{22501=5;22502=2;22504=1;22506=2;},100,{22501=4;22502=3;22504=1;22506=2;},100,{22501=4;22502=2;22504=1;22506=3;},100,{22501=3;22502=3;22504=1;22506=3;},100,{22501=4;22502=3;22504=1;22506=1;22503=1},30,{22501=3;22502=3;22504=1;22506=2;22503=1},30,,0,,0,,,,
203,item10,道具10连抽-常规产出,0,1,,,,,,,,,,{22501=5;22502=2;22503=1;22506=2},100,{22501=4;22502=3;22503=1;22506=2},100,{22501=4;22502=2;22503=1;22506=3},100,{22501=3;22502=3;22503=1;22506=3},100,{22501=4;22502=3;22503=2;22506=1},30,{22501=3;22502=3;22503=2;22506=2},30,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,rmb1,常规单抽-权值出红色平均140次左右,1,60,0.0045,0.0102,,60,,,,,,{22505=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
302,rmb1,常规单抽-60次左右出红色,1,40,0.02,0.08,1,40,,,,,,{22504=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
303,rmb1,常规单抽-权值出橙色平均50次左右,1,20,0.015,0.025,,20,,,,,,{22504=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
304,rmb1,常规单抽-20次左右出橙色,1,10,0.06,0.14,1,10,,,,,,{22504=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
305,rmb1,常规单抽-首次出紫色,3,1,,,1,,,,,,,{22503=1},100,,0,,0,,0,,0,,0,,0,,0,,,,
306,rmb1,常规单抽-常规产出,0,1,,,,,,,,,,{22501=1},50,{22502=1},20,{22503=1},15,{22506=1},15,,,,0,,0,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,rmb10,常规十连-后续权值出红色-平均13次,1,11,0.047,0.113,,10,,,,,,{22501=4;22502=2;22503=1;22505=1;22506=2},100,{22501=3;22502=3;22503=1;22505=1;22506=2},100,{22501=3;22502=2;22503=1;22505=1;22506=3},100,{22501=2;22502=3;22503=1;22505=1;22506=3},100,{22501=3;22502=3;22503=2;22505=1;22506=1},100,{22501=2;22502=3;22503=2;22505=1;22506=2},100,{22501=4;22502=2;22503=1;22504=1;22505=1;22506=1},30,{22501=3;22502=3;22503=1;22504=1;22505=1;22506=1},30,{22501=3;22502=2;22503=1;22504=1;22505=1;22506=2},30,{22501=2;22502=3;22503=1;22504=1;22505=1;22506=2},30
402,rmb10,常规十连-前12次出红色,1,6,0.05,0.35,1,6,,,,,,{22501=4;22502=2;22503=1;22505=1;22506=2},100,{22501=3;22502=3;22503=1;22505=1;22506=2},100,{22501=3;22502=2;22503=1;22505=1;22506=3},100,{22501=2;22502=3;22503=1;22505=1;22506=3},100,{22501=3;22502=3;22503=2;22505=1;22506=1},100,{22501=2;22502=3;22503=2;22505=1;22506=2},100,{22501=4;22502=2;22503=1;22504=1;22505=1;22506=1},30,{22501=3;22502=3;22503=1;22504=1;22505=1;22506=1},30,{22501=3;22502=2;22503=1;22504=1;22505=1;22506=2},30,{22501=2;22502=3;22503=1;22504=1;22505=1;22506=2},30
