±äÁ¿Ãû,_beizhu,count,award,drawType
Ä¬ÈÏÖµ,,0,{},0
ID,±¸×¢,¼ÆÊý,½±Àø,³é¿¨ÀàÐÍ£¨1 »î¶¯ÏÞÖÆµÄ³é¿¨2×êÊ¯³é¿¨3Ð¾Æ¬´ú±Ò¼°×êÊ¯³é¿¨£©
1,×êÊ¯³é¿¨,30,{502=5;20771=5;gold=300000},2
2,×êÊ¯³é¿¨,60,{502=5;20771=5;gold=300000},2
3,×êÊ¯³é¿¨,100,{925=1;20771=10;gold=300000},2
4,×êÊ¯³é¿¨,130,{502=5;20771=5;gold=300000},2
5,×êÊ¯³é¿¨,160,{502=5;20771=5;gold=300000},2
6,×êÊ¯³é¿¨,200,{925=1;20771=10;gold=300000},2
7,×êÊ¯³é¿¨,230,{502=5;20771=5;gold=300000},2
8,×êÊ¯³é¿¨,260,{502=5;20771=5;gold=300000},2
9,×êÊ¯³é¿¨,300,{925=1;20771=10;gold=300000},2
10,×êÊ¯³é¿¨,330,{502=5;20771=5;gold=300000},2
11,×êÊ¯³é¿¨,360,{502=5;20771=5;gold=300000},2
12,×êÊ¯³é¿¨,400,{925=1;20771=10;gold=300000},2
13,×êÊ¯³é¿¨,430,{502=5;20771=5;gold=300000},2
14,×êÊ¯³é¿¨,460,{502=5;20771=5;gold=300000},2
15,×êÊ¯³é¿¨,500,{925=1;20771=10;gold=300000},2
16,×êÊ¯³é¿¨,530,{502=5;20771=5;gold=300000},2
17,×êÊ¯³é¿¨,560,{502=5;20771=5;gold=300000},2
18,×êÊ¯³é¿¨,600,{925=1;20771=10;gold=300000},2
19,×êÊ¯³é¿¨,630,{502=5;20771=5;gold=300000},2
20,×êÊ¯³é¿¨,660,{502=5;20771=5;gold=300000},2
21,×êÊ¯³é¿¨,700,{925=1;20771=10;gold=300000},2
22,×êÊ¯³é¿¨,730,{502=5;20771=5;gold=300000},2
23,×êÊ¯³é¿¨,760,{502=5;20771=5;gold=300000},2
24,×êÊ¯³é¿¨,800,{925=1;20771=10;gold=300000},2
25,×êÊ¯³é¿¨,830,{502=5;20771=5;gold=300000},2
26,×êÊ¯³é¿¨,860,{502=5;20771=5;gold=300000},2
27,×êÊ¯³é¿¨,900,{925=1;20771=10;gold=300000},2
28,×êÊ¯³é¿¨,930,{502=5;20771=5;gold=300000},2
29,×êÊ¯³é¿¨,960,{502=5;20771=5;gold=300000},2
30,×êÊ¯³é¿¨,1000,{925=1;20771=10;gold=300000},2
31,×êÊ¯³é¿¨,1030,{502=5;20771=5;gold=300000},2
32,×êÊ¯³é¿¨,1060,{502=5;20771=5;gold=300000},2
33,×êÊ¯³é¿¨,1100,{925=1;20771=10;gold=300000},2
34,×êÊ¯³é¿¨,1130,{502=5;20771=5;gold=300000},2
35,×êÊ¯³é¿¨,1160,{502=5;20771=5;gold=300000},2
36,×êÊ¯³é¿¨,1200,{925=1;20771=10;gold=300000},2
37,×êÊ¯³é¿¨,1230,{502=5;20771=5;gold=300000},2
38,×êÊ¯³é¿¨,1260,{502=5;20771=5;gold=300000},2
39,×êÊ¯³é¿¨,1300,{925=1;20771=10;gold=300000},2
40,×êÊ¯³é¿¨,1330,{502=5;20771=5;gold=300000},2
41,×êÊ¯³é¿¨,1360,{502=5;20771=5;gold=300000},2
