变量名,probLimit,lotteryWeight3,lotteryWeight2,effectLimit,lotteryWeight1,startCount,weightEnd,weightStart,drawTriggerTimes,drawTriggerType,probMiniTimes,drawType,probStep,probInit,probEffectInterval,lotteryWeight10,lotteryWeight9,lotteryWeight8,lotteryWeight7,lotteryWeight6,lotteryWeight5,lotteryWeight4,lotteryType1,lotteryType2,lotteryType3,lotteryType4,lotteryType5,lotteryType6,lotteryType7,lotteryType8,lotteryType9,lotteryType10,__version
默认值,0.2,0,0,0,0,0,0,0,0,2,30,"""""",0.01,0,50,0,0,0,0,0,0,0,{},{},{},{},{},{},{},{},{},{},
ID,probLimit,lotteryWeight3,lotteryWeight2,effectLimit,lotteryWeight1,startCount,weightEnd,weightStart,drawTriggerTimes,drawTriggerType,probMiniTimes,drawType,probStep,probInit,probEffectInterval,lotteryWeight10,lotteryWeight9,lotteryWeight8,lotteryWeight7,lotteryWeight6,lotteryWeight5,lotteryWeight4,lotteryType1,lotteryType2,lotteryType3,lotteryType4,lotteryType5,lotteryType6,lotteryType7,lotteryType8,lotteryType9,lotteryType10,__version
301,,,,,100,50,0.02,0.009,50,1,,rmb1,,,,,,,,,,,{22831=1},,,,,,,,,,
302,,,,1,100,30,0.08,0.02,30,1,,rmb1,,,,,,,,,,,{22831=1},,,,,,,,,,
303,,,,,100,10,0.05,0.03,10,1,,rmb1,,,,,,,,,,,{22804=1},,,,,,,,,,
304,,,,1,100,10,0.28,0.12,5,1,,rmb1,,,,,,,,,,,{22804=1},,,,,,,,,,
305,,,,1,100,,,,1,3,,rmb1,,,,,,,,,,,{22803=1},,,,,,,,,,
306,,15,25,,60,,,,1,0,,rmb1,,,,,,,,,,,{22801=1},{22802=1},{22803=1},,,,,,,,
401,,100,100,,100,10,0.113,0.047,11,1,,rmb5,,,,30,30,30,30,100,100,100,{22801=2;22802=1;22803=1;22831=1},{22801=2;22802=1;22803=1;22831=1},{22801=2;22802=1;22803=1;22831=1},{22801=1;22802=2;22803=1;22831=1},{22801=2;22802=1;22803=2;22831=1},{22801=1;22802=2;22803=1;22831=1},{22801=2;22802=1;22804=1;22831=1},{22801=2;22802=1;22803=1;22831=1},{22801=2;22802=1;22804=1;22831=1},{22801=1;22802=2;22803=1;22831=1},
402,,100,100,1,100,6,0.35,0.05,6,1,,rmb5,,,,30,30,30,30,100,100,100,{22801=2;22802=1;22803=1;22831=1},{22801=2;22802=1;22803=1;22831=1},{22801=2;22802=1;22803=1;22831=1},{22801=1;22802=2;22803=1;22831=1},{22801=2;22802=1;22803=2;22831=1},{22801=1;22802=2;22803=1;22831=1},{22801=2;22802=1;22804=1;22831=1},{22801=2;22802=1;22803=1;22831=1},{22801=2;22802=1;22804=1;22831=1},{22801=1;22802=2;22803=1;22831=1},
403,,100,100,1,100,1,0.4,0.3,1,1,,rmb5,,,,30,30,30,30,100,100,100,{22801=2;22802=1;22803=1;22831=1},{22801=2;22802=1;22803=1;22831=1},{22801=2;22802=1;22803=1;22831=1},{22801=1;22802=2;22803=1;22831=1},{22801=2;22802=1;22803=2;22831=1},{22801=1;22802=2;22803=1;22831=1},{22801=2;22802=1;22804=1;22831=1},{22801=2;22802=1;22803=1;22831=1},{22801=2;22802=1;22804=1;22831=1},{22801=1;22802=2;22803=1;22831=1},
404,,100,100,,100,1,0.53,0.013,1,1,,rmb5,,,,,,,,50,50,100,{22801=2;22802=1;22803=1;22804=1},{22801=2;22802=1;22803=1;22804=1},{22801=2;22802=1;22803=1;22804=1},{22801=1;22802=2;22803=1;22804=1},{22801=2;22802=1;22803=2;22804=1},{22801=1;22802=2;22803=1;22804=1},,,,,
405,,100,100,1,100,,,,1,3,,rmb5,,,,,,,,100,100,100,{22801=2;22802=1;22803=1;22804=1},{22801=2;22802=1;22803=1;22804=1},{22801=2;22802=1;22803=1;22804=1},{22801=1;22802=2;22803=1;22804=1},{22801=2;22802=1;22803=2;22804=1},{22801=1;22802=2;22803=1;22804=1},{22801=2;22802=1;22803=1;22804=1},{22801=2;22802=1;22803=1;22804=1},{22801=2;22802=1;22803=1;22804=1},{22801=1;22802=2;22803=1;22804=1},
406,,100,100,,100,,,,1,0,,rmb5,,,,,,,,100,100,100,{22801=3;22802=1;22803=1},{22801=2;22802=2;22803=1},{22801=3;22802=1;22803=1},{22801=2;22802=2;22803=1},{22801=3;22802=1;22803=1},{22801=2;22802=1;22803=2},,,,,
