变量名,_beizhu1,resPath,tintBlack,standbyTinblack
默认值,,,FALSE,FALSE
ID,功能说明,资源路径,是否开启tintBlack,默认值
1,,buff/laixilamu_buff/laixilamu_buff.skel,TRUE,
2,,koudai_leijiqikasi/hero_leijiqikasi.skel,TRUE,
3,,koudai_paluqiya/hero_paluqiya.skel,TRUE,
4,,koudai_laixilamu/hero_laixilamu.skel,TRUE,
5,,koudai_jihexuehua_shengdanpifu/hero_jihexuehua_shengdanpifu.skel,TRUE,
6,,koudai_dianxi_shengdanpifu/hero_dianxi_shengdanpifu.skel,TRUE,
7,,koudai_qiladina/hero_qiladina.skel,TRUE,
8,,koudai_fengwang/hero_fengwang.skel,TRUE,
9,,koudai_chaomeng/hero_chaomeng.skel,TRUE,
10,,koudai_guladuo/hero_guladuo.skel,TRUE,
11,,koudai_jidongniao/hero_jidongniao.skel,TRUE,
12,,koudai_shandianniao/hero_shandianniao.skel,TRUE,
13,,koudai_huoyanniao/hero_huoyanniao.skel,TRUE,
14,,koudai_leigong/hero_leigong.skel,TRUE,
15,,koudai_yandi/hero_yandi.skel,TRUE,
16,,koudai_shuijun/hero_shuijun.skel,,
17,,koudai_ranshaochong/hero_ranshaochong.skel,TRUE,
18,,koudai_huoshene/hero_huoshene.skel,TRUE,
19,,koudai_dubeibi/hero_dubeibi.skel,TRUE,
20,,koudai_siezhenlong/hero_siezhenlong.skel,TRUE,
21,,koudai_huashiyilong/hero_huashiyilong.skel,TRUE,
22,,buff/qiuleimu_buff/qlm_effect.skel,TRUE,
23,,koudai_xiaozhibanpikaqiu/hero_xiaozhibanpikaqiu.skel,TRUE,
24,,koudai_goupaluweng/hero_goupaluweng.skel,TRUE,
25,,koudai_liekongzuo_mega/hero_liekongzuo_mega.skel,TRUE,
26,,koudai_huanghuangban/hero_huanghuangban.skel,TRUE,
27,,koudai_lukaliou_pifu/hero_lukaliou_pifu.skel,TRUE,
28,,koudai_lieyanhou/hero_lieyanhou.skel,TRUE,
29,,koudai_jielaaola/hero_jielaaola.skel,TRUE,
30,,koudai_longjuanyun/hero_longjuanyun.skel,TRUE,
31,,koudai_biketini/hero_biketini.skel,TRUE,
32,,koudai_heilujiamega/hero_heilujiamega.skel,TRUE,TRUE
33,,buff/zheerniyasi_buff/zheerniyasi_buff.skel,TRUE,
34,,koudai_zheerniyasi_jsl/hero_zheerniyasi_jsl.skel,TRUE,
35,,koudai_jigeerde3/hero_jigeerde.skel,TRUE,TRUE
36,,koudai_jigeerde10/hero_jigeerde10.skel,TRUE,TRUE
37,,koudai_jigeerde50/hero_jigeerde50.skel,TRUE,
38,,koudai_beijing/sudu_bj.skel,TRUE,TRUE
39,,koudai_beijing/moren_bj.skel,TRUE,TRUE
40,,koudai_beijing/tiankong.skel,TRUE,TRUE
41,,koudai_beijing/huangtu.skel,TRUE,TRUE
42,,koudai_beijing/huahai.skel,TRUE,TRUE
43,,koudai_beijing/dizhen.skel,TRUE,TRUE
44,,koudai_beijing/tiankong_x.skel,TRUE,TRUE
45,,koudai_beijing/sudu_bj_guang.skel,TRUE,TRUE
46,,koudai_beijing/senlin.skel,TRUE,TRUE
47,,koudai_beijing/shandi.skel,TRUE,TRUE
48,,koudai_beijing/jitan.skel,TRUE,TRUE
49,,koudai_beijing/yewan.skel,TRUE,TRUE
50,,koudai_beijing/wutai3.skel,TRUE,TRUE
51,,koudai_beijing/yinghua.skel,TRUE,TRUE
52,,koudai_beijing/haian.skel,TRUE,TRUE
53,,koudai_beijing/diqiuchengshi.skel,TRUE,TRUE
54,,koudai_beijing/shengdanshu.skel,TRUE,TRUE
55,,koudai_beijing/paodong.skel,TRUE,TRUE
56,,koudai_beijing/shamo.skel,TRUE,TRUE
57,,koudai_beijing/yuzhou.skel,TRUE,TRUE
58,,koudai_beijing/gezi.skel,TRUE,TRUE
59,,koudai_beijing/shuijing.skel,TRUE,TRUE
60,,koudai_beijing/shuimian.skel,TRUE,TRUE
