变量名,mainSkillSub,mainSkillAdd,damageSub,damageAdd,blockPower,breakBlock,block,strikeResistance,strikeDamage,strike,speedRate,equipAwake,equipLevel,equipStar,equipAdvance,fetters,specialDefence,specialDamage,hp,defence,damage,star,advance,level,theme,cardID,starUnlock,starAddAttributes,zawake,zawakeUnlock,zawakeAddAttributes,skillLevels,abilities,nvalue,languages
默认值,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",0,5,105,5,16,TRUE,"""""","""""","""""","""""","""""",4,17,100,0,0,<5;6;7;8;9;10;11;12>,<10%;30%;50%;80%;100%;130%;150%;180%>,<0;0;0;0;0;0;0;0>,<108;208;308;408;508;608;708;808>,<20%;40%;60%;80%;100%;120%;140%;160%>,<100;100;100;100;100;100>,<20;20;20;20;20;20;20;20;20;20>,{damage=31;specialDamage=31;specialDefence=31;speed=31;defence=31;hp=31},<cn;kr;tw;en;en_us;en_eu>
ID,主技能减伤,主技能加伤,伤害减免,伤害加成,格挡强度,破格挡,格挡率,抗暴率,暴击伤害,暴击率,速度系数,饰品觉醒,饰品等级,饰品星级,饰品进阶,羁绊开关,特防,特攻,生命值,防御,攻击,星级,进阶,等级,主题ID,精灵cardID,星级解锁<星级>,星级加成属性<百分比>,Z觉醒等级,Z觉醒解锁<等级>,Z觉醒加成属性<百分比>,技能等级<skill1;skill2...>,特性<ID>,N值{attr=value},语言区域
1001,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
1002,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
1003,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,
1004,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,
1005,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,
1006,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,
1007,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,
1008,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,
1009,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,
1010,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,
1011,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,
1012,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,
1013,,,,,,,,,,,,,,,,,,,,,,,,,,222,,,,,,,,,
1014,,,,,,,,,,,,,,,,,,,,,,,,,,242,,,,,,,,,
1015,,,,,,,,,,,,,,,,,,,,,,,,,,263,,,,,,,,,
1016,,,,,,,,,,,,,,,,,,,,,,,,,,264,,,,,,,,,
1017,,,,,,,,,,,,,,,,,,,,,,,,,,273,,,,,,,,,
1018,,,,,,,,,,,,,,,,,,,,,,,,,,283,,,,,,,,,
1019,,,,,,,,,,,,,,,,,,,,,,,,,,303,,,,,,,,,
1020,,,,,,,,,,,,,,,,,,,,,,,,,,333,,,,,,,,,
1021,,,,,,,,,,,,,,,,,,,,,,,,,,341,,,,,,,,,
1022,,,,,,,,,,,,,,,,,,,,,,,,,,372,,,,,,,,,
1023,,,,,,,,,,,,,,,,,,,,,,,,,,382,,,,,,,,,
1024,,,,,,,,,,,,,,,,,,,,,,,,,,393,,,,,,,,,
1025,,,,,,,,,,,,,,,,,,,,,,,,,,394,,,,,,,,,
