变量名,version,award,needPoint
默认值,0,{},
ID,奖励版本号,奖励内容{itemID=数量},需要积分
1,1,{544=2;gold=50000},500
2,1,{544=2;gold=50000},1000
3,1,{59002=3;gold=60000},2000
4,1,{544=2;gold=60000},3000
5,1,{544=2;gold=70000},4000
6,1,{59002=3;gold=70000},5000
7,1,{544=2;gold=80000},6500
8,1,{544=2;gold=80000},8000
9,1,{59002=3;gold=90000},9500
10,1,{544=2;gold=90000},11000
11,1,{544=2;gold=100000},12500
12,1,{59002=3;gold=100000},14000
13,1,{544=2;gold=110000},16000
14,1,{544=2;gold=110000},18000
15,1,{59002=3;gold=120000},20000
16,1,{59002=5;gold=120000},22000
111,2,{544=2;gold=50000},500
112,2,{544=2;gold=50000},1000
113,2,{59002=3;gold=60000},2000
114,2,{544=2;gold=60000},3000
115,2,{544=2;gold=70000},4000
116,2,{59002=3;gold=70000},5000
117,2,{544=2;gold=80000},6500
118,2,{544=2;gold=80000},8000
119,2,{59002=3;gold=90000},9500
120,2,{544=2;gold=90000},11000
121,2,{544=2;gold=100000},12500
122,2,{59002=3;gold=100000},14000
123,2,{544=2;gold=110000},16000
124,2,{544=2;gold=110000},18000
125,2,{59002=3;gold=120000},20000
126,2,{59002=5;gold=120000},22000
1001,101,{544=3;930=10;gold=50000},500
1002,101,{544=3;5000=10;gold=50000},1000
1003,101,{930=10;59002=3;gold=60000},2000
1004,101,{544=3;5000=10;gold=60000},3000
1005,101,{544=3;930=10;gold=70000},4000
1006,101,{5000=10;59002=3;gold=70000},5000
1007,101,{544=3;930=15;gold=80000},6500
1008,101,{544=3;5000=15;gold=80000},8000
1009,101,{925=1;930=15;gold=90000},9500
1010,101,{544=3;5000=15;gold=90000},11000
1011,101,{544=3;930=15;gold=100000},12500
1012,101,{5000=15;59002=3;gold=100000},14000
1013,101,{544=3;930=20;gold=110000},16000
1014,101,{544=3;5000=20;gold=110000},18000
1015,101,{930=20;59002=3;gold=120000},20000
1016,101,{502=10;5000=20;gold=120000},22000
2001,102,{544=3;930=10;gold=50000},500
2002,102,{544=3;5000=10;gold=50000},1000
2003,102,{930=10;59002=3;gold=60000},2000
2004,102,{544=3;5000=10;gold=60000},3000
2005,102,{544=3;930=10;gold=70000},4000
2006,102,{5000=10;59002=3;gold=70000},5000
2007,102,{544=3;930=15;gold=80000},6500
2008,102,{544=3;5000=15;gold=80000},8000
2009,102,{925=1;930=15;gold=90000},9500
2010,102,{544=3;5000=15;gold=90000},11000
2011,102,{544=3;930=15;gold=100000},12500
2012,102,{5000=15;59002=3;gold=100000},14000
2013,102,{544=3;930=20;gold=110000},16000
2014,102,{544=3;5000=20;gold=110000},18000
2015,102,{930=20;59002=3;gold=120000},20000
2016,102,{502=10;5000=20;gold=120000},22000
3001,103,{544=3;930=10;gold=50000},500
3002,103,{544=3;5000=10;gold=50000},1000
3003,103,{930=10;59002=3;gold=60000},2000
3004,103,{544=3;5000=10;gold=60000},3000
3005,103,{544=3;930=10;gold=70000},4000
3006,103,{5000=10;59002=3;gold=70000},5000
3007,103,{544=3;930=15;gold=80000},6500
3008,103,{544=3;5000=15;gold=80000},8000
3009,103,{925=1;930=15;gold=90000},9500
3010,103,{544=3;5000=15;gold=90000},11000
3011,103,{544=3;930=15;gold=100000},12500
3012,103,{5000=15;59002=3;gold=100000},14000
3013,103,{544=3;930=20;gold=110000},16000
3014,103,{544=3;5000=20;gold=110000},18000
3015,103,{930=20;59002=3;gold=120000},20000
3016,103,{502=10;5000=20;gold=120000},22000
4001,104,{544=3;930=10;gold=50000},500
4002,104,{544=3;5000=10;gold=50000},1000
4003,104,{930=10;59002=3;gold=60000},2000
4004,104,{544=3;5000=10;gold=60000},3000
4005,104,{544=3;930=10;gold=70000},4000
4006,104,{5000=10;59002=3;gold=70000},5000
4007,104,{544=3;930=15;gold=80000},6500
4008,104,{544=3;5000=15;gold=80000},8000
4009,104,{925=1;930=15;gold=90000},9500
4010,104,{544=3;5000=15;gold=90000},11000
4011,104,{544=3;930=15;gold=100000},12500
4012,104,{5000=15;59002=3;gold=100000},14000
4013,104,{544=3;930=20;gold=110000},16000
4014,104,{544=3;5000=20;gold=110000},18000
4015,104,{930=20;59002=3;gold=120000},20000
4016,104,{502=10;5000=20;gold=120000},22000
