变量名,version,range,periodAward
默认值,0,1,{}
ID,奖励版本号,排名范围(1=第1名/2=前2名/数字=前N名),赛季奖励{itemID=数量}
1,1,,{544=15;gold=1000000;rmb=150}
2,1,2,{544=13;gold=900000;rmb=135}
3,1,3,{544=10;gold=800000;rmb=120}
4,1,7,{544=9;gold=700000;rmb=110}
5,1,10,{544=8;gold=600000;rmb=100}
6,1,30,{544=7;gold=560000;rmb=90}
7,1,60,{544=6;gold=520000;rmb=80}
8,1,100,{544=6;gold=480000;rmb=75}
9,1,200,{544=5;gold=440000;rmb=70}
10,1,500,{544=5;gold=400000;rmb=65}
11,1,1000,{544=4;gold=360000;rmb=60}
14,1,999999,{544=4;gold=320000;rmb=55}
111,2,,{544=15;gold=1000000;rmb=150}
112,2,2,{544=13;gold=900000;rmb=135}
113,2,3,{544=10;gold=800000;rmb=120}
114,2,7,{544=9;gold=700000;rmb=110}
115,2,10,{544=8;gold=600000;rmb=100}
116,2,30,{544=7;gold=560000;rmb=90}
117,2,60,{544=6;gold=520000;rmb=80}
118,2,100,{544=6;gold=480000;rmb=75}
119,2,200,{544=5;gold=440000;rmb=70}
120,2,500,{544=5;gold=400000;rmb=65}
121,2,1000,{544=4;gold=360000;rmb=60}
122,2,999999,{544=4;gold=320000;rmb=55}
1001,101,,{544=30;gold=2000000;rmb=300}
1002,101,2,{544=25;gold=1800000;rmb=270}
1003,101,3,{544=20;gold=1600000;rmb=240}
1004,101,7,{544=18;gold=1400000;rmb=220}
1005,101,10,{544=16;gold=1200000;rmb=200}
1006,101,30,{544=14;gold=1120000;rmb=180}
1007,101,60,{544=12;gold=1040000;rmb=160}
1008,101,100,{544=11;gold=960000;rmb=150}
1009,101,200,{544=10;gold=880000;rmb=140}
1010,101,500,{544=9;gold=800000;rmb=130}
1011,101,1000,{544=8;gold=720000;rmb=120}
1012,101,999999,{544=7;gold=640000;rmb=110}
2001,102,,{544=30;gold=2000000;rmb=300}
2002,102,2,{544=25;gold=1800000;rmb=270}
2003,102,3,{544=20;gold=1600000;rmb=240}
2004,102,7,{544=18;gold=1400000;rmb=220}
2005,102,10,{544=16;gold=1200000;rmb=200}
2006,102,30,{544=14;gold=1120000;rmb=180}
2007,102,60,{544=12;gold=1040000;rmb=160}
2008,102,100,{544=11;gold=960000;rmb=150}
2009,102,200,{544=10;gold=880000;rmb=140}
2010,102,500,{544=9;gold=800000;rmb=130}
2011,102,1000,{544=8;gold=720000;rmb=120}
2012,102,999999,{544=7;gold=640000;rmb=110}
3001,103,,{544=30;gold=2000000;rmb=300}
3002,103,2,{544=25;gold=1800000;rmb=270}
3003,103,3,{544=20;gold=1600000;rmb=240}
3004,103,7,{544=18;gold=1400000;rmb=220}
3005,103,10,{544=16;gold=1200000;rmb=200}
3006,103,30,{544=14;gold=1120000;rmb=180}
3007,103,60,{544=12;gold=1040000;rmb=160}
3008,103,100,{544=11;gold=960000;rmb=150}
3009,103,200,{544=10;gold=880000;rmb=140}
3010,103,500,{544=9;gold=800000;rmb=130}
3011,103,1000,{544=8;gold=720000;rmb=120}
3012,103,999999,{544=7;gold=640000;rmb=110}
4001,104,,{544=30;gold=2000000;rmb=300}
4002,104,2,{544=25;gold=1800000;rmb=270}
4003,104,3,{544=20;gold=1600000;rmb=240}
4004,104,7,{544=18;gold=1400000;rmb=220}
4005,104,10,{544=16;gold=1200000;rmb=200}
4006,104,30,{544=14;gold=1120000;rmb=180}
4007,104,60,{544=12;gold=1040000;rmb=160}
4008,104,100,{544=11;gold=960000;rmb=150}
4009,104,200,{544=10;gold=880000;rmb=140}
4010,104,500,{544=9;gold=800000;rmb=130}
4011,104,1000,{544=8;gold=720000;rmb=120}
4012,104,999999,{544=7;gold=640000;rmb=110}
