变量名,csvID,level,system
默认值,1,0,""""""
ID,队伍配置索引csvID,等级上限,系统来源(union_skill公会技能/explorer探索者/component组件/attr_skills属性技能)
1,,24,union_skill
2,2,24,union_skill
3,3,24,union_skill
4,4,24,union_skill
5,5,24,union_skill
6,6,24,union_skill
7,7,24,union_skill
8,8,24,union_skill
9,9,24,union_skill
10,10,24,union_skill
11,11,24,union_skill
12,12,24,union_skill
13,13,24,union_skill
14,14,24,union_skill
15,15,24,union_skill
16,16,24,union_skill
17,17,24,union_skill
101,,12,explorer
102,2,12,explorer
103,3,12,explorer
104,4,12,explorer
105,5,12,explorer
106,6,12,explorer
107,7,12,explorer
108,8,12,explorer
109,9,12,explorer
201,,12,component
202,2,12,component
203,3,12,component
204,4,12,component
205,5,12,component
206,6,12,component
207,7,12,component
208,8,12,component
209,9,12,component
210,10,12,component
211,11,12,component
212,12,12,component
213,13,12,component
214,14,12,component
215,15,12,component
216,16,12,component
217,17,12,component
218,18,12,component
219,19,12,component
220,20,12,component
221,21,12,component
222,22,12,component
223,23,12,component
224,24,12,component
225,25,12,component
226,26,12,component
227,27,12,component
228,28,12,component
229,29,12,component
230,30,12,component
231,31,12,component
232,32,12,component
233,33,12,component
301,,100,attr_skills
302,2,100,attr_skills
303,3,100,attr_skills
304,4,100,attr_skills
305,5,100,attr_skills
307,7,20,attr_skills
308,8,20,attr_skills
309,9,20,attr_skills
310,10,20,attr_skills
