变量名,seq,attrType3,attrNum2,attrType2,attrNum3,attrNum1,attrType1,level
默认值,0,0,"""""",0,"""""","""""",0,0
ID,属性序列(对应emera.baseAttr),属性类型3,属性数值2,属性类型2,属性数值3,属性数值1,属性类型1,等级
1001,1,,385,8,,385,7,1
1002,1,,396,8,,396,7,2
1003,1,,407,8,,407,7,3
1004,1,,417,8,,417,7,4
1005,1,,428,8,,428,7,5
1006,1,,442,8,,442,7,6
1007,1,,454,8,,454,7,7
1008,1,,465,8,,465,7,8
1009,1,,477,8,,477,7,9
1010,1,,488,8,,488,7,10
1011,1,,506,8,,506,7,11
1012,1,,518,8,,518,7,12
1013,1,,531,8,,531,7,13
1014,1,,543,8,,543,7,14
1015,1,,555,8,,555,7,15
1016,1,,577,8,,577,7,16
1017,1,,590,8,,590,7,17
1018,1,,603,8,,603,7,18
1019,1,,615,8,,615,7,19
1020,1,,628,8,,628,7,20
1021,1,,655,8,,655,7,21
1022,1,,668,8,,668,7,22
1023,1,,681,8,,681,7,23
1024,1,,695,8,,695,7,24
1025,1,,708,8,,708,7,25
1026,1,,739,8,,739,7,26
1027,1,,753,8,,753,7,27
1028,1,,767,8,,767,7,28
1029,1,,781,8,,781,7,29
1030,1,,795,8,,795,7,30
1031,1,,830,8,,830,7,31
1032,1,,844,8,,844,7,32
1033,1,,859,8,,859,7,33
1034,1,,874,8,,874,7,34
1035,1,,889,8,,889,7,35
1036,1,,927,8,,927,7,36
1037,1,,943,8,,943,7,37
1038,1,,958,8,,958,7,38
1039,1,,974,8,,974,7,39
1040,1,,989,8,,989,7,40
1041,1,,1032,8,,1032,7,41
1042,1,,1048,8,,1048,7,42
1043,1,,1064,8,,1064,7,43
1044,1,,1080,8,,1080,7,44
1045,1,,1096,8,,1096,7,45
1046,1,,1143,8,,1143,7,46
1047,1,,1160,8,,1160,7,47
1048,1,,1177,8,,1177,7,48
1049,1,,1194,8,,1194,7,49
1050,1,,1210,8,,1210,7,50
1051,1,,1261,8,,1261,7,51
1052,1,,1278,8,,1278,7,52
1053,1,,1296,8,,1296,7,53
1054,1,,1313,8,,1313,7,54
1055,1,,1331,8,,1331,7,55
1056,1,,1386,8,,1386,7,56
1057,1,,1404,8,,1404,7,57
1058,1,,1422,8,,1422,7,58
1059,1,,1440,8,,1440,7,59
1060,1,,1458,8,,1458,7,60
1061,1,,1517,8,,1517,7,61
1062,1,,1536,8,,1536,7,62
1063,1,,1555,8,,1555,7,63
1064,1,,1573,8,,1573,7,64
1065,1,,1592,8,,1592,7,65
1066,1,,1655,8,,1655,7,66
1067,1,,1675,8,,1675,7,67
1068,1,,1694,8,,1694,7,68
1069,1,,1714,8,,1714,7,69
1070,1,,1733,8,,1733,7,70
1071,1,,1800,8,,1800,7,71
1072,1,,1820,8,,1820,7,72
1073,1,,1840,8,,1840,7,73
1074,1,,1861,8,,1861,7,74
1075,1,,1881,8,,1881,7,75
1076,1,,1951,8,,1951,7,76
