变量名,name,type,strengthSeq,maxLevel,baseAttr,quality,canDecompose,icon,style,recastCostSeq,coreType,linkageNum,linkageLib,effect,decomposeReturn
默认值,"""""",1,0,50,0,0,TRUE,"""""",1,0,0,0,0,{gain=FALSE;drawcard=FALSE},{}
ID,琉石名称,类型(1普通2稀有),强化消耗序列(对应strength_cost),最大等级,基础属性序列(对应base_attr.seq),品质,是否可分解,图标路径,镶嵌位类型(对应inset_plan位置),重铸消耗序列(对应recast_cost),核心位样式(主位视觉),印记数量上限,印记库ID(对应libs.libID),特效配置{drawcard抽取;gain获得},分解返还物品
100001,谜三角·绿,,1,30,1,2,,config/item/emera/icon_lsb_1.png,2,1,,,,,{135=5}
100002,谜三角·蓝,,2,30,11,3,,config/item/emera/icon_lsb_2.png,2,2,,1,3,,{135=10}
100003,谜三角·紫,,3,40,21,4,,config/item/emera/icon_lsb_3.png,2,3,,1,4,,{135=20}
100004,谜三角·橙,,4,40,31,5,,config/item/emera/icon_lsb_4.png,2,4,,2,5,{drawcard=huang_effect_loop;gain=huang_effect_loop},{135=60;136=1}
100005,谜三角·红,,5,,41,6,FALSE,config/item/emera/icon_lsb_5.png,2,5,,3,6,{drawcard=huang_effect_loop;gain=huang_effect_loop},{135=300;136=2}
100006,谜三角·钻彩,,6,,51,7,FALSE,config/item/emera/icon_lsb_6.png,2,6,,3,7,{drawcard=huang_effect_loop;gain=huang_effect_loop},{135=1000;136=3}
100021,滴晶·绿,,1,30,2,2,,config/item/emera/icon_lsd_1.png,3,1,,,,,{135=5}
100022,滴晶·蓝,,2,30,12,3,,config/item/emera/icon_lsd_2.png,3,2,,1,3,,{135=10}
100023,滴晶·紫,,3,40,22,4,,config/item/emera/icon_lsd_3.png,3,3,,1,4,,{135=20}
100024,滴晶·橙,,4,40,32,5,,config/item/emera/icon_lsd_4.png,3,4,,2,5,{drawcard=huang_effect_loop;gain=huang_effect_loop},{135=60;136=1}
100025,滴晶·红,,5,,42,6,FALSE,config/item/emera/icon_lsd_5.png,3,5,,3,6,{drawcard=huang_effect_loop;gain=huang_effect_loop},{135=300;136=2}
100026,滴晶·钻彩,,6,,52,7,FALSE,config/item/emera/icon_lsd_6.png,3,6,,3,7,{drawcard=huang_effect_loop;gain=huang_effect_loop},{135=1000;136=3}
100041,混方·绿,,1,30,3,2,,config/item/emera/icon_lsc_1.png,4,1,,,,,{135=5}
100042,混方·蓝,,2,30,13,3,,config/item/emera/icon_lsc_2.png,4,2,,1,3,,{135=10}
100043,混方·紫,,3,40,23,4,,config/item/emera/icon_lsc_3.png,4,3,,1,4,,{135=20}
100044,混方·橙,,4,40,33,5,,config/item/emera/icon_lsc_4.png,4,4,,2,5,{drawcard=huang_effect_loop;gain=huang_effect_loop},{135=60;136=1}
100045,混方·红,,5,,43,6,FALSE,config/item/emera/icon_lsc_5.png,4,5,,3,6,{drawcard=huang_effect_loop;gain=huang_effect_loop},{135=300;136=2}
100046,混方·钻彩,,6,,53,7,FALSE,config/item/emera/icon_lsc_6.png,4,6,,3,7,{drawcard=huang_effect_loop;gain=huang_effect_loop},{135=1000;136=3}
100061,涡晶·绿,,1,30,4,2,,config/item/emera/icon_lsa_1.png,5,1,,,,,{135=5}
100062,涡晶·蓝,,2,30,14,3,,config/item/emera/icon_lsa_2.png,5,2,,1,3,,{135=10}
100063,涡晶·紫,,3,40,24,4,,config/item/emera/icon_lsa_3.png,5,3,,1,4,,{135=20}
100064,涡晶·橙,,4,40,34,5,,config/item/emera/icon_lsa_4.png,5,4,,2,5,{drawcard=huang_effect_loop;gain=huang_effect_loop},{135=60;136=1}
100065,涡晶·红,,5,,44,6,FALSE,config/item/emera/icon_lsa_5.png,5,5,,3,6,{drawcard=huang_effect_loop;gain=huang_effect_loop},{135=300;136=2}
100066,涡晶·钻彩,,6,,54,7,FALSE,config/item/emera/icon_lsa_6.png,5,6,,3,7,{drawcard=huang_effect_loop;gain=huang_effect_loop},{135=1000;136=3}
100081,耀星·绿,2,1,30,5,2,,config/item/emera/icon_lsf_1.png,,1,1,,,,{135=5}
100082,耀星·蓝,2,2,30,15,3,,config/item/emera/icon_lsf_2.png,,2,1,1,3,,{135=10}
100083,耀星·紫,2,3,40,25,4,,config/item/emera/icon_lsf_3.png,,3,1,1,4,,{135=20}
100084,耀星·橙,2,4,40,35,5,,config/item/emera/icon_lsf_4.png,,4,1,2,5,{drawcard=huang_effect_loop;gain=huang_effect_loop},{135=60;136=1}
100085,耀星·红,2,5,,45,6,FALSE,config/item/emera/icon_lsf_5.png,,5,1,3,6,{drawcard=huang_effect_loop;gain=huang_effect_loop},{135=300;136=2}
100086,耀星·钻彩,2,6,,55,7,FALSE,config/item/emera/icon_lsf_6.png,,6,1,3,7,{drawcard=huang_effect_loop;gain=huang_effect_loop},{135=1000;136=3}
100101,菱晶·绿,2,1,30,6,2,,config/item/emera/icon_lse_1.png,,1,2,,,,{135=5}
100102,菱晶·蓝,2,2,30,16,3,,config/item/emera/icon_lse_2.png,,2,2,1,3,,{135=10}
100103,菱晶·紫,2,3,40,26,4,,config/item/emera/icon_lse_3.png,,3,2,1,4,,{135=20}
100104,菱晶·橙,2,4,40,36,5,,config/item/emera/icon_lse_4.png,,4,2,2,5,{drawcard=huang_effect_loop;gain=huang_effect_loop},{135=60;136=1}
100105,菱晶·红,2,5,,46,6,FALSE,config/item/emera/icon_lse_5.png,,5,2,3,6,{drawcard=huang_effect_loop;gain=huang_effect_loop},{135=300;136=2}
100106,菱晶·钻彩,2,6,,56,7,FALSE,config/item/emera/icon_lse_6.png,,6,2,3,7,{drawcard=huang_effect_loop;gain=huang_effect_loop},{135=1000;136=3}
