变量名,actionName,text,display,targetArg,targetType
默认值,“”,"""""",1,0,0
ID,动作名称,对话文本,显示类型,目标参数,目标类型
101,effect_1,Gold beneath the earth must be dug from the vein; a miser's gold must be unearthed from his soul.,,,
102,effect_1,Whoever wishes for help in times of misfortune should treat others with generosity in ordinary days.,,,
103,effect_2,"If you love something too much, losing it will hurt all the more.",,,
104,effect_1,"Greedy people always think their bowl is too small, so toss all your excess my way.",,,
105,effect_2,"You've come again. The richer one gets, the more one feels money is never enough.",,,
106,effect_3,The abyss here reclaims souls along with everything else.,,,99
201,effect_1,"The rougher the seas, the pricier the fish.",2,,
202,effect_2,"If the sea held no risks, no treasure would be so plentiful. Trading three for one is no loss for you at all.",2,,
203,effect_3,Never trust a Charizard that uses Water Gun.,2,,
204,effect_4,"A lie that keeps the peace beats a truth that stirs trouble, so this time I truly am taking a loss.",2,,
205,effect_5,"There is no deal under heaven more ruinous for me than this one, so what are you still hesitating for?",2,,
206,effect_6,You ask why I still do business with you at a loss? Because I am kind.,2,,
207,effect_7,"At a glance, these three stones refuse to open. I am making quite the concession by agreeing to this trade with you.",2,,99
208,effect_8,Installment payments? Are you trying to bully an honest merchant?,2,,99
301,meigui,A winter hearth is worth more than a red rose.,3,,
302,shuohua,My home is already full of treasures. What business brings you to my humble shop?,3,,
303,shuohua,"Like you, the radiance of glazed gems cannot be hidden.",3,,
304,shuohua,"If you want roses, you must respect thorns. The proprietress talks business, not romance.",3,,
305,erduo,Lopunny's ears are not for sale. Do not touch them.,3,,99
306,baichou,Your generous reputation has already spread across the city-states. I hope our relationship can rise to the next level.,3,100,1
307,qianchou,"With your strength, perhaps you could buy this shop along with its proprietress.",3,1000,1
