变量名,cardID,level,finalDamageReduce,finalDamageDeepen,pvpDamageSub,pvpDamageAdd,natureRestraint,damageReduce,damageDeepen,damageDodge,damageHit,dodge,hit,mp1,speedRate,equipAwake,equipLevel,equipStar,equipAdvance,fetters,star,advance,skillLevels,abilities,nvalue,attributeRandom,suckBlood,mp1Recover,hp,damageAdd,strike,specialDamage,rebound,block,ultimateAdd,strikeDamage,strikeResistance,controlPer,damage,initMp1,specialDefence,finalDamageAdd,cure,immuneControl,defenceIgnore,specialDefenceIgnore,damageSub,ultimateSub,speed,finalDamageSub,defence,breakBlock,blockPower,elementalDamageAdd,elementalDamageDeepen,elementalDamageReduce,elementalDamageSub,ignoreDamageSub,languages,mpAttackRecover,mpBeAttackRecover,shieldPower
默认值,0,80,0,0,1300,1300,0,0,0,0,10000,0,10000,1000,0,5,90,5,16,TRUE,12,17,<80;80;80;80;80;80>,<20;20;20;20;20;20;20;20;20;20>,{hp=31;specialDefence=31;damage=31;defence=31;specialDamage=31;speed=31},<0.7;1>,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,<cn;kr;en;en_us;en_eu;tw>,0,0,0
ID,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,新增,elementalDamageAdd,elementalDamageDeepen,elementalDamageReduce,elementalDamageSub,ignoreDamageSub,languages,mpAttackRecover,mpBeAttackRecover,shieldPower
100001,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,231211.9737,2550,0,52961.06595,0,0,0,15000,150,0,51748.86636,400,15899.39391,0,1400,0,0,0,2700,200,2119.841577,0,15497.2522,0,3000,,,,,,,,,
100002,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,237640.634,2550,0,54419.21224,0,0,0,15000,150,0,52637.50325,400,16381.83545,0,1400,0,0,0,2700,200,2218.557222,0,15884.67711,0,3000,,,,,,,,,
100003,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,245561.8103,2550,0,56223.27463,0,0,0,15000,150,0,54430.30024,400,16981.51599,0,1400,0,0,0,2700,200,2339.661996,0,16480.67845,0,3000,,,,,,,,,
100004,4,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,264493.2606,2700,0,62831.02746,0,500,0,15000,500,0,60605.02089,400,19186.51375,0,1400,0,0,0,3100,200,2625.875053,0,19291.1953,0,3000,,,,,,,,,
100011,11,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,229909.9607,2100,1600,53612.00934,0,0,200,15500,0,0,52679.88228,400,15133.264,0,0,0,0,0,1900,0,2239.623351,0,14940.71361,200,3000,,,,,,,,,
100012,12,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,236361.6286,2100,1600,55405.56486,0,0,200,15500,0,0,53871.78496,400,15509.19754,0,0,0,0,0,1900,0,2339.661996,0,15318.56587,200,3000,,,,,,,,,
100013,13,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,244274.2711,2100,1600,57899.02147,0,0,200,15500,0,0,55717.97673,400,16086.56447,0,0,0,0,0,1900,0,2460.76677,0,15892.23747,200,3000,,,,,,,,,
100014,14,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,263140.3327,2600,2100,65031.51468,0,0,200,15500,0,0,65031.51468,400,17479.18468,0,0,0,0,0,2000,0,2753.318056,0,18387.41934,500,3000,,,,,,<cn;kr;en;en_us;en_eu;tw>,,,
100015,15,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,263140.3327,2400,1600,68014.19985,0,300,200,15500,0,0,62099.00271,400,18492.06911,0,0,0,0,0,2400,0,2753.318056,0,17275.21493,500,3000,,,,,,,,,
100021,21,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,231186.8745,1900,0,49023.48059,0,1800,0,15000,100,0,48757.76097,400,17035.97565,0,0,0,0,0,2000,200,2119.841577,0,17038.00425,0,3500,,,,,,,,,
100022,22,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,237615.5348,1900,0,50101.93872,0,1800,0,15000,100,0,50089.76712,400,17570.0117,0,0,0,0,0,2000,200,2200.137093,0,17570.0117,0,3500,,,,,,,,,
100023,23,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,244301.4619,1900,0,51744.1314,0,1800,0,15000,100,0,51731.9598,400,18346.22486,0,0,0,0,0,2000,200,2319.918867,0,18231.30325,0,3500,,,,,,,,,
100024,24,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,263171.7067,1900,0,60327.82873,0,1400,0,15000,1000,0,57407.90003,400,20431.80657,0,0,0,0,0,2400,200,2605.296053,0,20662.84187,500,3500,,,,,,,,,
100031,31,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,222183.3032,2050,0,46448.40318,0,0,700,15000,0,900,47035.30998,400,13927.02262,0,0,0,0,0,2050,500,1984.285674,0,14319.96634,0,3000,,,,,,,,,
100033,33,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,227429.1716,2050,0,51956.09774,0,0,700,15000,0,900,48458.32276,400,15597.78763,0,0,0,0,0,2050,500,2123.810577,0,14713.05721,0,3000,,,,,,,,,
100041,41,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,228773.0167,1900,600,49294.33214,0,0,1100,15500,0,0,52893.78663,400,15228.57984,0,0,0,0,0,1900,0,2143.553706,0,14089.83538,200,3000,,,,,,,,,
100044,44,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,239001.2119,1900,800,48663.42328,0,0,1100,15500,0,0,61022.24318,400,15985.7767,0,0,0,0,0,1900,0,2725.365447,0,14840.06797,300,3000,,,,,,,,,
100051,51,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,229774.0067,2200,0,51132.23633,0,0,1600,15000,0,0,52043.83799,400,14652.98951,0,0,0,0,0,1900,500,2198.814093,0,14840.06797,300,3000,,,,,,,,,
100052,52,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,238948.9219,2200,0,52643.39268,0,0,1600,15000,0,0,53561.83614,400,15124.381,0,0,0,0,0,1900,500,2279.109609,0,15223.25004,300,3000,,,,,,,,,
