变量名,attrNum6,attrNumType6,attrNum5,attrNumType5,attrNum4,explorerAttrNum,quality,attrNumType3,attrNum2,attrNumType2,techPoint,attrNum1,attrNumType1,attrNum3,attrNumType4,coreExp
默认值,"""""",0,"""""",0,"""""","""""",0,0,"""""",0,0,"""""",0,"""""",0,0
ID,属性数值6,属性类型6,属性数值5,属性类型5,属性数值4,探险器属性数值,品质,属性类型3,属性数值2,属性类型2,天赋点,属性数值1,属性类型1,属性数值3,属性类型4,核心经验
1,0,13,0,10,0,,,8,0,7,,0,1,0,9,1440
2,12,13,48,10,48,,,8,144,7,3,480,1,144,9,1550
3,12,13,49,10,49,,,8,147,7,3,490,1,147,9,1650
4,12,13,50,10,50,0.50%,2,8,150,7,3,499,1,150,9,1760
5,13,13,51,10,51,,,8,153,7,3,509,1,153,9,1870
6,13,13,52,10,52,,,8,156,7,3,518,1,156,9,1980
7,13,13,53,10,53,0.50%,3,8,158,7,3,528,1,158,9,2100
8,13,13,54,10,54,,,8,161,7,3,538,1,161,9,2220
9,14,13,55,10,55,,,8,164,7,3,547,1,164,9,2340
10,14,13,56,10,56,0.50%,4,8,167,7,3,557,1,167,9,2460
11,14,13,57,10,57,,,8,170,7,3,566,1,170,9,2590
12,14,13,58,10,58,,,8,173,7,4,576,1,173,9,2730
13,15,13,59,10,59,0.50%,5,8,176,7,4,586,1,176,9,2860
14,15,13,60,10,60,,,8,179,7,4,595,1,179,9,3000
15,15,13,60,10,60,,,8,181,7,4,605,1,181,9,3130
16,15,13,61,10,61,0.50%,2,8,184,7,4,614,1,184,9,3280
17,16,13,62,10,62,,,8,187,7,4,624,1,187,9,3430
18,16,13,63,10,63,,,8,190,7,4,634,1,190,9,3570
19,16,13,64,10,64,0.50%,3,8,193,7,4,643,1,193,9,3730
20,16,13,65,10,65,,,8,196,7,4,653,1,196,9,3880
21,17,13,66,10,66,,,8,199,7,4,662,1,199,9,4040
22,17,13,67,10,67,0.50%,4,8,202,7,4,672,1,202,9,4200
23,17,13,68,10,68,,,8,204,7,4,682,1,204,9,4360
24,17,13,69,10,69,,,8,207,7,4,691,1,207,9,4530
25,18,13,70,10,70,0.50%,5,8,210,7,4,701,1,210,9,4690
26,18,13,71,10,71,,,8,213,7,4,710,1,213,9,4860
27,18,13,72,10,72,,,8,216,7,4,720,1,216,9,5040
28,18,13,73,10,73,0.50%,2,8,219,7,4,730,1,219,9,5220
29,18,13,74,10,74,,,8,222,7,4,739,1,222,9,5400
30,19,13,75,10,75,,,8,225,7,4,749,1,225,9,5580
31,19,13,76,10,76,0.50%,3,8,228,7,4,758,1,228,9,5770
32,19,13,77,10,77,,,8,230,7,5,768,1,230,9,5960
33,19,13,78,10,78,,,8,233,7,5,778,1,233,9,6140
34,20,13,79,10,79,0.50%,4,8,236,7,5,787,1,236,9,6340
35,20,13,80,10,80,,,8,239,7,5,797,1,239,9,6540
36,20,13,81,10,81,,,8,242,7,5,806,1,242,9,6740
37,20,13,82,10,82,0.50%,5,8,245,7,5,816,1,245,9,6950
38,21,13,83,10,83,,,8,248,7,5,826,1,248,9,7150
39,21,13,84,10,84,,,8,251,7,5,835,1,251,9,7360
40,21,13,84,10,84,0.50%,2,8,253,7,5,845,1,253,9,7570
41,21,13,85,10,85,,,8,256,7,5,854,1,256,9,7780
42,22,13,86,10,86,,,8,259,7,5,864,1,259,9,8010
43,22,13,87,10,87,0.50%,3,8,262,7,5,874,1,262,9,8220
44,22,13,88,10,88,,,8,265,7,5,883,1,265,9,8450
45,22,13,89,10,89,,,8,268,7,5,893,1,268,9,8670
46,23,13,90,10,90,0.50%,4,8,271,7,5,902,1,271,9,8900
47,23,13,91,10,91,,,8,274,7,5,912,1,274,9,9140
48,23,13,92,10,92,,,8,276,7,5,922,1,276,9,9370
49,23,13,93,10,93,0.50%,5,8,279,7,5,931,1,279,9,9610
50,24,13,94,10,94,,,8,282,7,5,941,1,282,9,9840
51,24,13,95,10,95,,,8,285,7,5,950,1,285,9,10090
52,24,13,96,10,96,0.50%,2,8,288,7,6,960,1,288,9,10340
53,24,13,97,10,97,,,8,291,7,6,970,1,291,9,10580
54,24,13,98,10,98,,,8,294,7,6,979,1,294,9,10840
55,25,13,99,10,99,0.50%,3,8,297,7,6,989,1,297,9,11090
56,25,13,100,10,100,,,8,300,7,6,998,1,300,9,11350
57,25,13,101,10,101,,,8,302,7,6,1008,1,302,9,11620
58,25,13,102,10,102,0.50%,4,8,305,7,6,1018,1,305,9,11870
59,26,13,103,10,103,,,8,308,7,6,1027,1,308,9,12150
60,26,13,104,10,104,,,8,311,7,6,1037,1,311,9,12410
61,26,13,105,10,105,0.50%,5,8,314,7,6,1046,1,314,9,13320
62,26,13,106,10,106,,,8,317,7,6,1056,1,317,9,14250
63,27,13,107,10,107,,,8,320,7,6,1066,1,320,9,15170
64,27,13,108,10,108,0.50%,2,8,323,7,6,1075,1,323,9,16290
