变量名,costTech6,costTech1,costTech2,costTech4,costTech3,costTech5
默认值,1,0,0,0,0,0
ID,天赋消耗6,天赋消耗1,天赋消耗2,天赋消耗4,天赋消耗3,天赋消耗5
0,6,2,2,4,3,5
1,6,2,2,4,3,5
2,7,3,3,5,4,6
3,7,3,3,5,4,6
4,8,4,4,6,5,7
5,8,4,4,6,5,7
6,0,5,5,7,6,
7,0,5,5,7,6,
8,0,6,6,8,7,
9,0,6,6,8,7,
10,0,6,6,8,7,
11,0,,,,,
12,0,,,,,
13,0,,,,,
14,0,,,,,
15,0,,,,,
16,0,,,,,
17,0,,,,,
18,0,,,,,
19,0,,,,,
20,0,,,,,
21,0,,,,,
22,0,,,,,
23,0,,,,,
24,0,,,,,
25,0,,,,,
26,0,,,,,
27,0,,,,,
28,0,,,,,
29,0,,,,,
30,0,,,,,
