变量名,attrDesc,addType,preTechLevel2,preTechID2,needCoreLevel,levelLimit,attrNum1,attrAddDesc1,costID,preTechLevel1,preTechID1,addAttrNum,attrAddDesc2,attrNum2,attrType1,explorerID,name,attrType2,icon
默认值,提升所有精灵的生命值、攻击力,1,0,0,0,0,,所有精灵生命值增加,1,0,0,"""""",所有精灵攻击力增加,"""""",0,0,,0,
ID,属性描述,加成类型,前置天赋等级2,前置天赋ID2,需要核心等级,等级上限,属性数值1,属性增加描述1,消耗ID,前置天赋等级1,前置天赋ID1,加成属性数值,属性增加描述2,属性数值2,属性类型1,探险器ID,名称,属性类型2,图标
1,All component stats percentage increased,3,,,1,10,,All component stats increased,,,,0.10%,,,,,Reinforced Components,,city/develop/explore/icon_sxzj.png
2,All Pokémon P.ATK and SP.ATK increased,,,,1,10,0.50%,P.ATK increased,2,7,1,,SP.ATK increased,0.50%,7,,Intense Attack Of The Rack,8,city/develop/explore/icon_wgts.png
3,All Pokémon P.DEF and SP. DEF increased,,,,1,10,0.50%,P.DEF increased,2,7,1,,SP. DEF increased,0.50%,9,,Rack Guard,10,city/develop/explore/icon_wfts.png
4,All Pokémon P.DMG and SP.DMG increased,,,,10,10,30,P.DMG increased,3,7,2,,SP.DMG increased,30,32,,Intense attack reinforced,34,city/develop/explore/icon_wsts.png
5,All Pokémon HP increased,,5,3,10,10,0.50%,HP increased,3,5,2,,,,1,,HP Enhanced,,city/develop/explore/icon_smzts.png
6,All Pokémon DMG Reduction and SP.DMG Reduction increased,,,,10,10,30,P.DMG Reduction increased,3,7,3,,SP.DMG Reduction increased,30,33,,Guard Reinforced,35,city/develop/explore/icon_wsjmts.png
7,All Pokémon P.DEF ignore and SP. DEF ignore increased,,,,20,10,50,P.DEF ignore increased,4,7,4,,SP. DEF ignore increased,50,11,,Intense Attack Recombined,12,city/develop/explore/icon_wfhszj.png
8,All Pokémon CRI Rate and CRI DMG increased,,,,20,10,30,CRI Rate increased,4,5,5,,CRI DMG increased,30,14,,Boosted CRI Attack,15,city/develop/explore/icon_bjlts.png
9,All Pokémon Block rate increased,,,,20,10,50,Block rate increased,4,7,6,,,,17,,Guard Regrouped,,city/develop/explore/icon_dklts.png
10,Poliwhirl Explorer Device's combat skill effect improved,2,,,30,5,1,,5,7,7,,,,7,7,Device Core Upgraded,,city/develop/explore/icon_wxwtxq.png
11,Volcanion Airship's combat skill effect improved,2,5,8,30,5,1,,6,5,7,,,,9,9,Device Core Upgraded,,city/develop/explore/icon_beknefc.png
12,Pseudo-Legendary Aircraft's combat skill effect improved,2,5,8,30,5,1,,6,5,9,,,,8,8,Device Core Upgraded,,city/develop/explore/icon_zshfc.png
13,Doduo Explorer Device's combat skill effect improved,2,,,30,5,1,,5,7,9,,,,6,6,Device Core Upgraded,,city/develop/explore/icon_ddtxq.png
