变量名,detachBind,lerpZ,natureIncluded,category,hideLifebar,dealGroup,effectSeatType,waveGoonDel,noAddWeather,noPassive,triggerBattleTurn,deadDel,selectEnable,followMark,battleTurnFollowMode,forceAllDeadCheck,shiftPosBind,bornAddBuffs,beAttackOffsetPos,extendAttr,posZ,effectSeatOffsetPos,isHide
默认值,TRUE,0,FALSE,0,0,1,1,1,1,0,TRUE,TRUE,1,1,1,FALSE,TRUE,<>,{y=0;x=0},<<1;1>>,,<0;0>,FALSE
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,isHide
1,,,,,,,,,,,,,,,,,,<4121650;2821147;7041000;2391324>,,,,,
2,,,,,2,2,,,,,,,,,,,,<4121650;2821147;7041000;2391324>,,,,,
3,,,,1,1,3,,,,,,,,,,,,<4121650;2821147;7041000;2391324>,,,,,
4,,,,,,4,,,,,,,,,,,,<4121650;2821147;7041000;2391324>,,,,,
5,,,,,,5,,,,,,,,,,,,<4121650;2821147;7041000;2391324>,,,,,
6,,,,1,2,6,,,,,,,,,,,,<4121650;2821147;7041000;2391324>,{x=300;y=-500},,,,
7,,,,,2,7,,,,,,,,,,,,<4121650;2821147;7041000;2391324>,,,,,
8,,,,1,2,8,,,,,,,,,,,,<4121650;2821147;7041000;2391324>,,,1300,,
9,,,TRUE,,,9,,,,,,,,,,,,<4121650;2821147;7041000;2391324>,,,,,
10,,-1,,,1,10,,,,,,,,,,,,<4121650;2821147;7041000;2391324>,,,,,
11,,,,,1,11,,,,,,,,,,,,<4121650;2821147;7041000;2391324>,,,2300,,
12,,,,,1,12,,,,,,,,,,,,<4121650;2821147;7041000;2391324>,,,,,TRUE
13,,,,,2,13,,,,,,,,,,,,<4121650;2821147;7041000;2391324>,,,,,
14,,,,,1,14,,,,,,,,,,,,<4121650;2821147;7041000;2391324>,,,,,
15,,,,,1,15,,,,,,,,,,,,<4121650;2821147;7041000;2391324>,,,,,
16,,,,,1,16,,,,,,,,,,,,<4121650;2821147;7041000;2391324>,,,,,
17,FALSE,,,,,17,,,,,,,,,,TRUE,FALSE,<4121650;2821147;7041000;2391324>,,,,,
18,FALSE,1,,1,1,18,,,,,,,0,5001,2,,FALSE,<4121650;2821147;7041000;2391324;7151659;7151660;7151657>,,<<2;1>>,,,
19,,1,,1,1,19,,,,,,,0,5001,,,,<4121650;2821147;7041000;2391324;7151657>,,<<2;1>>,,,
20,,,,,2,20,,,,,,,,,,,,<4121650;2821147;7041000;2391324>,,,,,
21,FALSE,,,,1,21,,,,,,,,,,,FALSE,<4121650;2821147;7041000;2391324>,,,,,TRUE
22,,,,,1,22,,,,,,,,,,,,<4121650;2821147;7041000;2391324>,,,,,TRUE
23,FALSE,1,,1,1,23,,,,,,,0,1019,2,,FALSE,<4121650;2821147;7041000;2391324;7221381;7221411;7221385>,,<<2;1>>,,,
24,,1,,1,1,24,,,,,,,0,1019,,,,<4121650;2821147;7041000;2391324;7221381;7221411;7221385>,,<<2;1>>,,,
25,FALSE,1,,1,1,25,,,,,,,0,1021,2,,FALSE,<4121650;2821147;7041000;2391324;524751;524755;524791>,,<<2;1>>,,,
26,,1,,1,1,26,,,,,,,0,1021,,,,<4121650;2821147;7041000;2391324;524751;524755;524791>,,<<2;1>>,,,
27,FALSE,1,,1,1,27,,,,,,,0,1022,2,,FALSE,<4121650;2821147;7041000;2391324;524751;524755;524791>,,<<2;1>>,,,
28,,1,,1,1,28,,,,,,,0,1022,,,,<4121650;2821147;7041000;2391324;524751;524755;524791>,,<<2;1>>,,,
29,,1,,,2,29,,,,,,,,2007,2,,,<4121650;2821147;7041000;2391324>,,<<1;1>>,,,
30,,,,,1,30,,,,,,,,,,,,<4121650;2821147;7041000;2391324>,,,2500,,
