变量名,name,desc,cards,equipID,skinID,attrMap,__version
默认值,,,<>,,,{},
ID,名称,描述,关联卡牌id修正(这里程序用的是卡牌id，如果初始形态被删除，需要修改这里的id，需要程序优化),关联装备,关联皮肤,属性提升修正,__version
11,草之誓约,,<281;2301;371>,,,{7=10%;8=10%},
12,森林意志,,<781;1291;2011>,,,{1=10%},
13,冒险同伴,,<11;21>,,,{7=10%;8=10%},
111,火焰掌控,,<1231;2481;1611>,,,{7=10%;8=10%},
112,炎焰之力,,<791;3291;3341>,,,{1=10%},
113,太阳意志,,<1;21>,,,{7=10%;8=10%},
211,水流力量,,<3471;91;3281>,,,{7=10%;8=10%},
212,水之波动,,<801;551;631>,,,{1=10%},
213,覆舟之势,,<1;11>,,,{7=10%;8=10%},
311,虫虫崛起,,<351;71;81>,,,{7=8%;8=8%},
312,森林力量,,<41;191;2681>,,,{1=10%},
313,群体情谊,,<2891;551>,,,{7=8%;8=8%},
411,虫虫崛起,,<31;111;51>,,,{7=8%;8=8%},
412,森林力量,,<71;121;351>,,,{1=10%},
413,群体情谊,,<2891;2681>,,,{7=8%;8=8%},
511,原始组合,,<281;91;271>,,,{7=10%;8=10%},
512,守护情谊,,<471;1441;191>,,,{1=10%},
513,觉醒力量,,<131;301;891>,,,{7=10%;8=10%},
611,原始组合,,<231;461;691>,,,{7=8%;8=8%},
612,守护情谊,,<351;1441;271>,,,{1=10%},
613,觉醒力量,,<371;2891>,,,{7=8%;8=8%},
711,原始组合,,<41;31;2011>,,,{7=8%;8=8%},
712,守护情谊,,<351;451;3511>,,,{1=10%},
713,觉醒力量,,<2271;271>,,,{7=8%;8=8%},
811,毒系同伴,,<101;371;451>,,,{7=8%;8=8%},
812,毒之身躯,,<121;111;2271>,,,{1=10%},
813,神秘力量,,<781;51>,,,{7=8%;8=8%},
911,雷电家族,,<51;551;731>,,,{7=10%;8=10%},
912,自然之力,,<471;2071;591>,,,{1=10%},
913,电光意识,,<1;11;21>,,,{7=10%;8=10%},
1011,森林同伴,,<351;691;301>,,,{7=8%;8=8%},
1012,大地掌控,,<451;61;2611>,,,{1=10%},
1013,觉醒感应,,<2071;481>,,,{7=8%;8=8%},
1111,毒系同伴,,<171;281;371>,,,{7=8%;8=8%},
1112,毒之身躯,,<121;81;481>,,,{1=10%},
1113,神秘力量,,<1441;481>,,,{7=8%;8=8%},
1211,毒系同伴,,<1;481;2681>,,,{7=8%;8=8%},
1212,毒之身躯,,<111;2271;81>,,,{1=10%},
1213,神秘力量,,<2922;2071>,,,{7=8%;8=8%},
1311,龙族克星,,<1441;1841;1081>,,,{7=10%;8=10%},
1312,广域伙伴,,<3431;891;451>,,,{1=10%},
1313,月亮之力,,<3281;1861;2921>,,,{7=10%;8=10%},
1431,狐里狐气,,<3291;2821>,,,{7=10%;8=10%},
1432,优雅气质,,<1391;1771;3681>,,,{1=12%},
1433,多多益善,,<3141;2871;1901;351>,,,{7=10%;8=10%},
1434,引火之躯,,<241;791;1171;2371>,,,{22=500},
1511,妖精同盟,,<3351;3431>,,,{7=10%;8=10%},
1512,普通家庭,,<1441;471>,,,{1=10%},
1513,歌唱偶像,,<1391;131>,,,{7=10%;8=10%},
1611,毒虫出没,,<3771;281;2271>,,,{7=10%;8=10%},
1612,飞行家族,,<3591;3661;2891>,,,{1=12%},
1613,小刚伙伴,,<401;1311;1351>,,,{7=10%;8=10%},
1614,森林对抗,,<1241;111;191>,,,{23=500},
1711,草之誓约,,<81;2271;3281>,,,{7=8%;8=8%},
1712,森林意志,,<1351;1;2011>,,,{1=10%},
1713,冒险同伴,,<371;2681;131>,,,{7=8%;8=8%},
1911,虫虫崛起,,<61;371;1441>,,,{7=8%;8=8%},
1912,森林力量,,<41;2681;481>,,,{1=10%},
1913,群体情谊,,<301;3281>,,,{7=8%;8=8%},
2111,瞬间失忆,,<711;221>,,,{7=10%;8=10%},
2112,初代陪伴,,<91;1;11;21>,,,{1=10%},
2113,优雅至上,,<3671;2071>,,,{7=10%;8=10%},
2211,水流力量,,<631;1351>,,,{7=10%;8=10%},
2212,冲鸭冲鸭,,<341;601>,,,{1=10%},
2213,凝水成冰,,<1861;3011>,,,{7=10%;8=10%},
2311,格斗势力,,<451;2271;3511>,,,{7=8%;8=8%},
2312,拳之力量,,<461;271;2631>,,,{1=10%},
2313,技巧掌控,,<3011;371>,,,{7=8%;8=8%},
2411,怒火冲天,,<1231;3341;1611>,,,{7=10%;8=10%},
2412,狗狗出击,,<1171;1841>,,,{1=12%},
2413,速度七十迈,,<261;351>,,,{7=10%;8=10%},
2414,水火相融,,<3301;791;551>,,,{14=500},
2511,游泳冠军,,<1311;3681;2031>,,,{7=10%;8=10%},
2512,蛙蛙入侵,,<3301;1;2271>,,,{1=12%},
2513,水系能者,,<641;2411;21>,,,{7=10%;8=10%},
2514,肌肉发达,,<3671;3471;461>,,,{14=500},
2611,特异功能,,<1391;1901>,,,{7=10%;8=10%},
2612,恶灵退散,,<391;2921;3561>,,,{1=12%},
2613,心电感应,,<881;91;2891>,,,{7=10%;8=10%},
2614,半梦半醒,,<1421;1441>,,,{22=500},
2711,格斗势力,,<1071;471;3281>,,,{7=10%;8=10%},
2712,拳之力量,,<2631;3511;2271>,,,{1=10%},
2713,技巧掌控,,<2611;301;2821>,,,{7=10%;8=10%},
2811,草之誓约,,<2301;3281;1351>,,,{7=10%;8=10%},
2812,森林意志,,<1;781;2011>,,,{1=10%},
2813,冒险同伴,,<781;2681;2271>,,,{7=10%;8=10%},
3011,岩石壁垒,,<3501;491;801>,,,{7=10%;8=10%},
3012,沙暴之势,,<691;2591;101>,,,{1=10%},
3013,自然组合,,<2481;2011;2611>,,,{7=10%;8=10%},
3111,华丽火焰,,<791;2481;741>,,,{7=10%;8=10%},
3112,独角之姿,,<121;541;491>,,,{1=12%},
3113,高速飞驰,,<241;351>,,,{7=10%;8=10%},
3114,骏马奔腾,,<4671;4661;3251>,,,{14=500},
3211,我行我素,,<471;1351;1641>,,,{7=10%;8=10%},
3212,呆头呆脑,,<3661;1311;221>,,,{1=12%},
3213,咬住尾巴,,<381>,,,{7=10%;8=10%},
3214,拦路者,,<711;3231;1501>,,,{23=500},
3311,雷电家族,,<591;731;2071>,,,{7=10%;8=10%},
3312,钢筋铁骨,,<1901;2961>,,,{1=12%},
3313,横冲直撞,,<1501;2611>,,,{7=10%;8=10%},
3314,悬浮操控,,<3021;2871;3561>,,,{23=500},
3411,一般关系,,<51;3511>,,,{7=10%;8=10%},
3412,鸭鸭军团,,<601;221>,,,{1=10%},
3413,同行伙伴,,<2241;391;91>,,,{7=10%;8=10%},
3511,原始组合,,<61;471;51>,,,{7=8%;8=8%},
3512,守护情谊,,<71;891;3511>,,,{1=10%},
3513,觉醒力量,,<2891;371;1611>,,,{7=8%;8=8%},
3711,毒系同伴,,<81;471;2611>,,,{7=10%;8=10%},
3712,毒之身躯,,<481;2271;281>,,,{1=10%},
3713,神秘力量,,<2721;551;2591>,,,{7=10%;8=10%},
