变量名,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,fishingLevelRange,limitType,limitTimes,showUnable,languages
默认值,,{},0,{coin3=0},0,1,0,20990101,0,<1;100>,<1;100>,0,0,FALSE,<cn;tw;en;vn;th;kr>
商店ID,备注,商品ID表({ID=权重;}),商品个数,消耗积分,起始VIP等级,刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,钓鱼等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
,,,,,,,,,,,,,,,
25,Cultivation Token,{452=10},10,{coin3=500},0,0,,,12,<150;150>,,,,,
26,Energy Potion,{5000=10},20,{coin3=400},0,0,,,13,<150;150>,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
27,50K Gold,{514=10},5,{coin3=200},0,0,,,14,<150;150>,,,,,
,,,,,,,,,,,,,,,
31,Goomy,{23541=10},5,{coin3=2000},0,0,,,0,<150;150>,<10;100>,,,,
32,Cryogonal,{23021=10},5,{coin3=1500},0,0,,,1,<150;150>,,,,,
33,Rhyperior,{20491=10},5,{coin3=1500},0,0,,,2,<150;150>,,,,,
,,,,,,,,,,,,,,,
41,Mudkip,{21311=10},5,{coin3=1500},0,0,,,3,<150;150>,,,,,
42,Zapdos,{20731=10},5,{coin3=1500},0,0,,,4,<150;150>,,,,,
43,Sneasel,{21081=10},5,{coin3=1500},0,0,,,5,<150;150>,,,,,
,,,,,,,,,,,,,,,
34,Machop,{20271=10},5,{coin3=900},0,0,,,6,<150;150>,,,,,
35,Turtwig,{22011=10},5,{coin3=900},0,0,,,7,<150;150>,,,,,
36,Lickitung,{20471=10},5,{coin3=900},0,0,,,8,<150;150>,,,,,
37,Venusaur,{20001=10},5,{coin3=900},0,0,,,9,<150;150>,,,,,
,,,,,,,,,,,,,,,
2001,Registeel,{21931=10},5,{535=2500},0,100,,,0,<1;150>,<1;150>,,,,
2011,Regirock,{21911=10},5,{535=2500},0,100,,,1,<1;150>,<5;150>,,,TRUE,
2021,Regice,{21921=10},5,{535=3200},0,100,,,2,<1;150>,<7;150>,,,TRUE,<cn;kr>
2031,Noibat,{23591=10},5,{535=1800},0,100,,,3,<1;150>,<1;150>,,,,
2035,Golbat,{20161=10},5,{535=1800},0,100,,,4,<1;150>,<3;150>,,,TRUE,<cn;kr>
2041,Litwick,{22991=10},5,{535=1800},0,100,,,5,<1;150>,<3;150>,,,TRUE,
2051,Gothita,{22841=10},5,{535=1000},0,100,,,6,<1;150>,<1;150>,,,,
2061,Farfetch'd,{20341=10},5,{535=1000},0,100,,,7,<1;150>,<1;150>,,,,
2071,Psyduck,{20221=10},5,{535=1000},0,100,,,8,<1;150>,<1;150>,,,,
2081,Kyogre Shard,{21961=1},1,{535=5000},0,100,,,9,<1;150>,<9;150>,3,20,TRUE,<cn>
,,,,,,,,,,,,,,,
3001,Runestone Essence,{529=10},100,{535=600},0,100,,,10,<1;150>,<1;150>,,,,
3011,Energy Potion,{5000=10},20,{535=1000},0,100,,,11,<1;150>,<1;150>,,,,
3012,Crystal Box,{930=10},20,{535=1000},0,100,,,13,<1;150>,<1;150>,,,,
3021,50K Gold,{514=10},10,{535=600},0,100,,,14,<1;150>,<1;150>,,,,
,,,,,,,,,,,,,,,
10001,Appearance Exchange,{2225=1},1,{535=30000},0,100,,,12,<1;150>,<1;150>,4,1,,
,,,,,,,,,,,,,,,
,50K Gold,{514=10},10,{535=600},0,100,,,11,<1;100>,<1;100>,,,,
,,,,,,,,,,,,,,,
,Basic Effort Coin,{451=10},10,{535=200},0,100,,,11,<1;100>,<1;100>,,,,
,Blue Held Item Material,{2102=10},2,{535=200},0,100,,,11,<1;100>,<1;100>,,,,
,Blue Potential Upgrade Material,{850=10},20,{535=200},0,100,,,11,<1;100>,<1;100>,,,,
,Advanced Effort Coin,{452=10},10,{534=200},0,100,,,8,<1;100>,<1;100>,,,,
,Purple Potential Upgrade Material,{850=10},20,{534=200},0,100,,,8,<1;100>,<1;100>,,,,
