变量名,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable
默认值,,{},0,{coin1=0},0,1,0,20990101,0,<1;150>,0,0,FALSE
商店ID,备注,商品ID表({ID=权重;}),商品个数,消耗,起始VIP等级,刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见
1,AB资质-碎片金币1,{20001=100;20011=100;20021=100;20031=100;20041=100;20051=100;20061=100;20071=100;20081=100;20091=100;20101=100;20111=100;20121=100;20131=100;20171=0;20191=100;20231=100;20271=100;20281=100;20301=100;20351=100;20371=100;20451=100;20461=100;20471=100;20481=100;20541=100;20551=100;20691=0;20781=100;20791=100;20801=100;20891=100;21081=0;21351=100;21441=100;21611=100;21861=100;22011=100;22071=100;22271=100;22301=100;22481=100;22591=0;22611=0;22631=100;22681=0;22871=100;22891=0;22921=100;22922=100;22961=0;23011=100;23281=100;23291=100;23341=100;23431=100;23471=100;23501=100;23511=0;23561=100},1,{gold=30000},0,100,,,0,<150;150>,,,
2,AB资质-碎片金币1,{20001=100;20011=100;20021=100;20031=100;20041=100;20051=100;20061=100;20071=100;20081=100;20091=100;20101=100;20111=100;20121=100;20131=100;20171=0;20191=100;20231=100;20271=100;20281=100;20301=100;20351=100;20371=100;20451=100;20461=100;20471=100;20481=100;20541=100;20551=100;20691=0;20781=100;20791=100;20801=100;20891=100;21081=0;21351=100;21441=100;21611=100;21861=100;22011=100;22071=100;22271=100;22301=100;22481=100;22591=0;22611=0;22631=100;22681=0;22871=100;22891=0;22921=100;22922=100;22961=0;23011=100;23281=100;23291=100;23341=100;23431=100;23471=100;23501=100;23511=0;23561=100},2,{gold=60000},0,100,,,0,<150;150>,,,
3,AB资质-钻石金币1,{20001=100;20011=100;20021=100;20031=100;20041=100;20051=100;20061=100;20071=100;20081=100;20091=100;20101=100;20111=100;20121=100;20131=100;20171=0;20191=100;20231=100;20271=100;20281=100;20301=100;20351=100;20371=100;20451=100;20461=100;20471=100;20481=100;20541=100;20551=100;20691=0;20781=100;20791=100;20801=100;20891=100;21081=0;21351=100;21441=100;21611=100;21861=100;22011=100;22071=100;22271=100;22301=100;22481=100;22591=0;22611=0;22631=100;22681=0;22871=100;22891=0;22921=100;22922=100;22961=0;23011=100;23281=100;23291=100;23341=100;23431=100;23471=100;23501=100;23511=0;23561=100},1,{rmb=30},0,100,,,0,<150;150>,,,
4,AB资质-钻石金币2,{20001=100;20011=100;20021=100;20031=100;20041=100;20051=100;20061=100;20071=100;20081=100;20091=100;20101=100;20111=100;20121=100;20131=100;20171=0;20191=100;20231=100;20271=100;20281=100;20301=100;20351=100;20371=100;20451=100;20461=100;20471=100;20481=100;20541=100;20551=100;20691=0;20781=100;20791=100;20801=100;20891=100;21081=0;21351=100;21441=100;21611=100;21861=100;22011=100;22071=100;22271=100;22301=100;22481=100;22591=0;22611=0;22631=100;22681=0;22871=100;22891=0;22921=100;22922=100;22961=0;23011=100;23281=100;23291=100;23341=100;23431=100;23471=100;23501=100;23511=0;23561=100},2,{rmb=60},0,100,,,0,<150;150>,,,
,,,,,,,,,,,,,
1001,B资质-碎片金币1,{20031=100;20041=100;20061=100;20071=100;20081=100;20101=100;20111=100;20121=100;20171=100;20191=100;20231=100;20351=100;20451=100;20541=100;20891=100;21351=100;23561=100},1,{gold=10000},0,100,,,0,,,,
1002,B资质-碎片金币1,{20031=100;20041=100;20061=100;20071=100;20081=100;20101=100;20111=100;20121=100;20171=100;20191=100;20231=100;20351=100;20451=100;20541=100;20891=100;21351=100;23561=100},2,{gold=20000},0,100,,,0,,,,
1003,B资质-钻石金币1,{20031=100;20041=100;20061=100;20071=100;20081=100;20101=100;20111=100;20121=100;20171=100;20191=100;20231=100;20351=100;20451=100;20541=100;20891=100;21351=100;23561=100},1,{rmb=10},0,100,,,0,,,,
1004,B资质-钻石金币2,{20031=100;20041=100;20061=100;20071=100;20081=100;20101=100;20111=100;20121=100;20171=100;20191=100;20231=100;20351=100;20451=100;20541=100;20891=100;21351=100;23561=100},2,{rmb=20},0,100,,,0,,,,
,,,,,,,,,,,,,
1005,A资质-碎片金币1,{20001=100;20011=100;20021=100;20051=100;20091=100;20131=100;20271=100;20281=100;20301=100;20371=100;20461=100;20471=100;20481=100;20551=100;20691=100;20781=100;20791=100;20801=100;21441=100;21611=100;21861=100;22011=100;22071=100;22271=100;22301=100;22481=100;22591=100;22611=100;22631=100;22681=100;22871=100;22891=100;22921=100;22922=100;22961=100;23011=100;23281=100;23291=100;23341=100;23431=100;23471=100;23501=100;23511=0;21851=100;20151=100;20341=100;20221=100;22841=100;21801=100},1,{gold=25000},0,100,,,0,,,,
1006,A资质-碎片金币1,{20001=100;20011=100;20021=100;20051=100;20091=100;20131=100;20271=100;20281=100;20301=100;20371=100;20461=100;20471=100;20481=100;20551=100;20691=100;20781=100;20791=100;20801=100;21441=100;21611=100;21861=100;22011=100;22071=100;22271=100;22301=100;22481=100;22591=100;22611=100;22631=100;22681=100;22871=100;22891=100;22921=100;22922=100;22961=100;23011=100;23281=100;23291=100;23341=100;23431=100;23471=100;23501=100;23511=0;21851=100;20151=100;20341=100;20221=100;22841=100;21801=100},2,{gold=50000},0,100,,,0,,,,
1007,A资质-钻石金币1,{20001=100;20011=100;20021=100;20051=100;20091=100;20131=100;20271=100;20281=100;20301=100;20371=100;20461=100;20471=100;20481=100;20551=100;20691=100;20781=100;20791=100;20801=100;21441=100;21611=100;21861=100;22011=100;22071=100;22271=100;22301=100;22481=100;22591=100;22611=100;22631=100;22681=100;22871=100;22891=100;22921=100;22922=100;22961=100;23011=100;23281=100;23291=100;23341=100;23431=100;23471=100;23501=100;23511=0;21851=100;20151=100;20341=100;20221=100;22841=100;21801=100},1,{rmb=25},0,100,,,0,,,,
1008,A资质-钻石金币2,{20001=100;20011=100;20021=100;20051=100;20091=100;20131=100;20271=100;20281=100;20301=100;20371=100;20461=100;20471=100;20481=100;20551=100;20691=100;20781=100;20791=100;20801=100;21441=100;21611=100;21861=100;22011=100;22071=100;22271=100;22301=100;22481=100;22591=100;22611=100;22631=100;22681=100;22871=100;22891=100;22921=100;22922=100;22961=100;23011=100;23281=100;23291=100;23341=100;23431=100;23471=100;23501=100;23511=0;21851=100;20151=100;20341=100;20221=100;22841=100;21801=100},2,{rmb=50},0,100,,,0,,,,
,,,,,,,,,,,,,
