变量名,name,languages,drawlanguages,name_tw,name_en,name_kr,icon,desc,desc_tw,desc_en,desc_kr,desc1,desc1_tw,desc1_en,desc1_kr,quality,type,donateType,universalFragID,decomposeGain,combID,combCount,stackMax,effBtn,pageTag,sellPrice,autoComb,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_kr,isFinal,rebirthRMB,effect,sortType,sortValue,canCompound,__version
默认值,"""""",<cn;tw;en;en_us;en_eu;vn;th;kr>,<cn;tw;en;en_us;en_eu;vn;th;kr>,,,,config/portrait/jinglingtouxiang/img_25_pkq@.png,该碎片对应的cardID尚未配置，读此默认值,,,,由大木研究所研究制作，根据精灵的资料来重现精灵形态的高科技物品,,,,4,1,1,0,{coin5=5},11,10,9999,<1>,<3>,1000,FALSE,"""""","""""","""""","""""","""""","""""","""""",暂无固定获取途径可获得该碎片,,,,0,100,{drawcard=FALSE;gain=FALSE},0,0,TRUE,
ID,碎片名称,语言区域,抽卡语言区域,碎片名称,碎片名称,碎片名称_韩,碎片图示,描述,描述,描述,描述_韩,卡牌碎片信息,卡牌碎片信息,卡牌碎片信息,卡牌碎片信息_韩,碎片品质,碎片类型(1卡牌碎片2装备碎片3道具碎片4携带道具碎片),公会赠予类型（0-不可赠送；1-可赠送）,对应万能碎片ID,碎片分解价值,产物对应ID,合成数量,堆栈上限,功能按键,特殊页签显示,出售价格,是否自动合成,产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),前三个都没就读描述,前三个都没就读描述,前三个都没就读描述,前三个都没就读描述_韩,是否成品(接口显示用),精灵分解消耗,分别表示在抽卡，恭喜获得,排序类型,排序价值,canCompound,__version
20001,妙蛙种子碎片,,,,,,config/portrait/jinglingtouxiang/img_1_mwzz@.png,集齐%d个碎片可以合成#C0xE77421#妙蛙种子#C0x55504D#,,,,,,,,,,,502,{coin5=5},1,30,,,,,,20103,21501,shop-2,drawCard-gold,,,,,,,,,,,,,,
20011,小火龙碎片,,,,,,config/portrait/jinglingtouxiang/img_4_xhl@.png,集齐%d个碎片可以合成#C0xE77421#小火龙#C0x55504D#,,,,,,,,,,,502,{coin5=5},,30,,,,,,20403,21801,shop-6,drawCard-gold,,,,,,,,,,,,,,
20021,杰尼龟碎片,,,,,,config/portrait/jinglingtouxiang/img_7_jng@.png,集齐%d个碎片可以合成#C0xE77421#杰尼龟#C0x55504D#,,,,,,,,,,,502,{coin5=5},21,30,,,,,,20303,21901,shop-4,drawCard-gold,,,,,,,,,,,,,,
20031,绿毛虫碎片,,,,,,config/portrait/jinglingtouxiang/img_10_lmc@.png,集齐%d个碎片可以合成#C0xE77421#绿毛虫#C0x55504D#,,,,,,,,3,,,502,{coin5=2},31,20,,,,,,drawCard-gold,,,,,,,,,,,,,,,,,
20041,大针蜂碎片,,,,,,config/portrait/jinglingtouxiang/img_15_dzf@.png,集齐%d个碎片可以合成#C0xE77421#大针蜂#C0x55504D#,,,,,,,,3,,,502,{coin5=2},41,20,,,,,,drawCard-gold,,,,,,,,,,,,,,,,,
20051,波波碎片,,,,,,config/portrait/jinglingtouxiang/img_16_bb@.png,集齐%d个碎片可以合成#C0xE77421#波波#C0x55504D#,,,,,,,,,,,502,{coin5=5},51,30,,,,,,20301,21803,drawCard-gold,shop-6,,,,,,,,,,,,,,
20061,小拉达碎片,,,,,,config/portrait/jinglingtouxiang/img_19_xld@.png,集齐%d个碎片可以合成#C0xE77421#小拉达#C0x55504D#,,,,,,,,3,,,502,{coin5=2},61,20,,,,,,drawCard-gold,,,,,,,,,,,,,,,,,
20071,烈雀碎片,,,,,,config/portrait/jinglingtouxiang/img_21_lq@.png,集齐%d个碎片可以合成#C0xE77421#烈雀#C0x55504D#,,,,,,,,3,,,502,{coin5=2},71,20,,,,,,drawCard-gold,,,,,,,,,,,,,,,,,
20081,阿柏蛇碎片,,,,,,config/portrait/jinglingtouxiang/img_23_abs@.png,集齐%d个碎片可以合成#C0xE77421#阿柏蛇#C0x55504D#,,,,,,,,3,,,502,{coin5=2},81,20,,,,,,drawCard-gold,,,,,,,,,,,,,,,,,
20091,皮丘碎片,,,,,,config/portrait/jinglingtouxiang/img_172_pq@.png,集齐%d个碎片可以合成#C0xE77421#皮丘#C0x55504D#,,,,,,,,,,,502,{coin5=5},91,30,,,,,,20202,21404,drawCard-gold,,,,,,,,,,,,,,,
20101,穿山鼠碎片,,,,,,config/portrait/jinglingtouxiang/img_27_css@.png,集齐%d个碎片可以合成#C0xE77421#穿山鼠#C0x55504D#,,,,,,,,3,,,502,{coin5=2},101,20,,,,,,drawCard-gold,,,,,,,,,,,,,,,,,
20111,尼多兰碎片,,,,,,config/portrait/jinglingtouxiang/img_29_ndl@.png,集齐%d个碎片可以合成#C0xE77421#尼多兰#C0x55504D#,,,,,,,,3,,,502,{coin5=2},111,20,,,,,,drawCard-gold,,,,,,,,,,,,,,,,,
20121,尼多朗碎片,,,,,,config/portrait/jinglingtouxiang/img_32_ndl@.png,集齐%d个碎片可以合成#C0xE77421#尼多朗#C0x55504D#,,,,,,,,3,,,502,{coin5=2},121,20,,,,,,drawCard-gold,,,,,,,,,,,,,,,,,
20131,皮宝宝碎片,,,,,,config/portrait/jinglingtouxiang/img_173_pbb@.png,集齐%d个碎片可以合成#C0xE77421#皮宝宝#C0x55504D#,,,,,,,,,,,502,{coin5=5},131,30,,,,,,20502,shop-4,,,,,,,,,,,,,,,,
20141,六尾碎片,<cn>,,,,,config/portrait/jinglingtouxiang/img_37_lw@.png,集齐%d个碎片可以合成#C0xE77421#六尾#C0x55504D#,,,,,,,,5,,,502,{coin5=10},141,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20143,阿罗拉六尾碎片,<cn;kr;tw;en;en_us;en_eu>,,,,,config/portrait/jinglingtouxiang/img_37_alllw@.png,集齐%d个碎片可以合成#C0xE77421#阿罗拉六尾#C0x55504D#,,,,,,,,5,,,502,{coin5=10},143,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20151,宝宝丁碎片,<cn;kr;en;en_us;en_eu;tw>,,,,,config/portrait/jinglingtouxiang/img_174_bbd@.png,集齐%d个碎片可以合成#C0xE77421#宝宝丁#C0x55504D#,,,,,,,,,,,502,{coin5=5},151,30,,,,,,drawCard-gold,22201,,,,,,,,,,,,,,,,
20161,超音蝠碎片,<cn;kr;en;en_us;en_eu;tw>,,,,,config/portrait/jinglingtouxiang/img_41_cyf@.png,集齐%d个碎片可以合成#C0xE77421#超音蝠#C0x55504D#,,,,,,,,5,,,502,{coin5=10},161,50,,,,,,shop-12,drawCard-gold,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
