变量名,qualityNum4,qualityNum3,qualityNum1,qualityNum5,qualityNum2,qualityNum6
默认值,100,100,100,100,100,100
ID（等级）,白色品质指数,绿色品质指数,蓝色品质指数,紫色品质指数,橙色品质指数,红色品质指数
,,,,,,
1,40,27,18,61,18,90
2,40,27,18,62,18,91
3,41,28,19,63,19,93
4,41,28,19,64,19,94
5,42,29,19,65,19,95
6,43,29,19,66,19,97
7,43,29,20,67,20,98
8,44,30,20,68,20,99
9,44,30,20,69,20,101
10,45,31,20,69,20,102
11,46,31,21,71,21,104
12,47,32,21,72,21,106
13,47,32,21,73,21,107
14,48,33,22,74,22,109
15,48,33,22,75,22,110
16,49,33,22,76,22,112
17,50,34,23,77,23,113
18,50,34,23,78,23,114
19,51,35,23,79,23,116
20,52,35,23,80,23,117
21,53,36,24,82,24,121
22,54,37,24,83,24,122
23,54,37,25,84,25,124
24,55,38,25,85,25,125
25,56,38,25,86,25,127
26,56,38,26,87,26,128
27,57,39,26,88,26,130
28,58,39,26,89,26,131
29,58,40,27,90,27,133
30,59,40,27,91,27,134
31,61,42,28,94,28,139
32,62,42,28,95,28,140
33,62,43,28,96,28,142
34,63,43,29,98,29,143
35,64,44,29,99,29,145
36,65,44,29,,29,147
37,65,45,30,101,30,148
38,66,45,30,102,30,150
39,67,45,30,103,30,152
40,67,46,31,104,31,153
41,71,49,32,110,32,162
42,72,49,33,111,33,164
43,73,50,33,113,33,166
44,74,50,33,114,33,167
45,74,51,34,115,34,169
46,75,51,34,116,34,171
47,76,52,35,118,35,173
48,77,52,35,119,35,175
49,78,53,35,120,35,176
50,78,53,36,121,36,178
51,83,57,38,129,38,189
52,84,57,38,130,38,191
53,85,58,39,131,39,193
54,86,58,39,133,39,195
55,87,59,39,134,39,197
56,88,60,40,135,40,199
57,88,60,40,137,40,201
58,89,61,41,138,41,203
59,90,61,41,139,41,205
60,91,62,41,141,41,207
61,97,66,44,149,44,220
62,98,67,44,151,44,222
63,99,67,45,152,45,224
64,99,68,45,154,45,226
65,100,68,46,155,46,228
66,101,69,46,157,46,230
67,102,70,47,158,47,233
68,103,70,47,160,47,235
69,104,71,47,161,47,237
70,105,72,48,163,48,239
71,112,76,51,173,51,254
72,113,77,51,174,51,256
73,114,78,52,176,52,258
74,115,78,52,177,52,261
75,116,79,53,179,53,263
76,117,80,53,181,53,266
77,118,80,54,182,54,268
78,119,81,54,184,54,270
79,120,82,55,185,55,273
80,121,82,55,187,55,275
81,128,87,58,198,58,292
82,129,88,59,200,59,294
83,131,89,59,202,59,297
84,132,90,60,203,60,299
85,133,91,60,205,60,302
86,134,91,61,207,61,304
87,135,92,61,209,61,307
88,136,93,62,210,62,309
89,137,94,62,212,62,312
90,138,94,63,214,63,314
91,147,100,67,226,67,333
92,148,101,67,228,67,336
93,149,102,68,230,68,338
94,150,102,68,232,68,341
95,151,103,69,234,69,344
96,152,104,69,236,69,347
97,154,105,70,237,70,349
98,155,106,70,239,70,352
99,156,106,71,241,71,355
100,157,107,71,243,71,357
101,157,107,71,244,71,358
102,158,108,72,245,72,360
103,158,108,72,246,72,362
104,159,109,72,247,72,364
105,160,109,73,248,73,365
106,160,110,73,249,73,366
107,161,110,73,250,73,368
108,162,111,74,251,74,370
109,163,111,74,252,74,372
110,164,112,74,254,74,373
111,164,112,75,255,75,374
112,165,113,75,256,75,376
113,166,113,75,257,75,378
114,167,114,76,258,76,380
115,167,114,76,259,76,381
116,168,115,76,260,76,382
117,169,115,77,261,77,384
118,170,116,77,262,77,386
119,171,116,77,263,77,388
120,172,117,78,265,78,390
