变量名,name,giftType,award,numMax,type,typeMax,endDate,languages,validRoleCreatedDateRange
默认值,"""""",0,{},1,1,1,20170101,<cn>,<20160101;20990101>
ID,礼包名字仅备注,0常规（1个码用1次）还是1固定类型（1码反复用）,礼包内容,礼包领取上限（单个玩家的上限）,礼包类型归类（俩码取其1领取时填同个ID）,类型领取上限（单人的上限）,截止日期,语言区域,生效的创角时间区间
,,,,,,,,,
100,尊享VIP礼包（仅展示）,,{rmb=1000;gold=2000000;902=50;502=20},1,100,1,,,
,,,,,,,,,
1001,入群礼包,,{rmb=200;gold=100000;19=1;12=10},1,1001,1,,,
1002,新手礼包,,{rmb=200;gold=100000;12=10;800=1},1,1002,1,,,
1003,精英礼包,,{rmb=200;gold=100000;19=2;800=2},1,1003,1,,,
1004,bug礼包,,{rmb=200;12=10},1,1004,10,,,
,,,,,,,,,
2001,公会入群礼包,,{rmb=188;gold=50000;900=10},1,2001,1,20201231,,
2002,公会登录礼包（7天）,,{rmb=200;451=20;2101=5},1,2002,1,20201231,,
2003,公会登录礼包（15天）,,{rmb=300;2102=10;519=3},1,2003,1,20201231,,
2004,公会活动礼包,,{522=2;12=10;gold=50000},20,2004,20,20201231,,
2005,攻略获奖礼包,,{rmb=300;519=3;502=3},5,2005,5,20201231,,
,,,,,,,,,
2006,推广兑换码,,{6071=500;937=1;7363=5;7364=2;133=300;rmb=500000;451=10000;452=5000;500=188},1,2006,999,20701201,,
,,,,,,,,,
2007,炸号兑换码,,{500=50;521=200;7362=2;132=200;6071=200;rmb=200000;2153=1},999,2007,999,20701201,,
2008,反馈兑换码,,{500=20;521=50;7362=2;132=200;6071=200;rmb=100000},999,2008,999,20701201,,
2009,代理直属兑换码,,{937=1;7363=5;7634=2;133=300;rmb=500000;451=10000;452=5000;500=188},999,2009,999,20701201,,
,,,,,,,,,
2010,周年庆补偿礼包,,{92351=300;142=100},999,2010,999,20701201,,
,,,,,,,,,
2011,bug反馈兑换码,,{rmb=100000;500=20;521=50;7362=2;132=200;6071=200},999,2011,999,20701201,,
2012,bug炸号兑换码,,{rmb=200000;500=50;521=200;7363=2;133=200;6071=200;2153=1},999,2012,999,20701201,,
2013,代理专属兑换码,,{rmb=300000;500=188;451=10000;452=5000;7363=5;7364=2;133=300;6071=500;937=1},1,2013,1,20701201,,
,,,,,,,,,
2014,元旦福利,1,{rmb=880000;gold=800000000;500=288;453=5888;452=5888;2153=10;705=5;703=5;coin22=5888;937=2;6116=288;6432=1;6113=1},1,2014,1,20260201,,
,,,,,,,,,
2015,助战兑换补偿,,{173=1;142=188},1,2015,999,20701201,,
2016,助战兑换补偿,,{rmb=18888;gold=1880000;16=188;515=5;502=20;19=3;451=288;6071=50;coin22=50},999,2016,999,20701201,,
2017,助战兑换补偿,,{rmb=28888;gold=2880000;6071=100;19=10;500=10;521=20;603=200;605=200;452=588},999,2017,999,20701201,,
