变量名,feelType,level,needExp,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6,__version
默认值,,,1000,7,0,8,0,1,0,9,0,10,0,13,0,
ID,好感度标示,好感度等级,升级所需经验,属性类型1,属性加成1,属性类型2,属性加成2,属性类型3,属性加成3,属性类型4,属性加成4,属性类型5,属性加成5,属性类型6,属性加成6,__version
1,1,0,16,,,,,,,,,,,,,
2,1,1,16,,30,,30,,,,,,,,,
3,1,2,16,,30,,30,,96,,,,,,,
4,1,3,16,,30,,30,,96,,10,,10,,,
5,1,4,16,,30,,30,,96,,10,,10,,3,
6,1,5,24,,60,,60,,96,,10,,10,,3,
7,1,6,24,,60,,60,,192,,10,,10,,3,
8,1,7,24,,60,,60,,192,,20,,20,,3,
9,1,8,24,,60,,60,,192,,20,,20,,6,
10,1,9,24,,90,,90,,192,,20,,20,,6,
11,1,10,32,,90,,90,,288,,20,,20,,6,
12,1,11,32,,90,,90,,288,,30,,30,,6,
13,1,12,32,,90,,90,,288,,30,,30,,9,
14,1,13,32,,120,,120,,288,,30,,30,,9,
15,1,14,32,,120,,120,,384,,30,,30,,9,
16,1,15,40,,120,,120,,384,,40,,40,,9,
17,1,16,40,,120,,120,,384,,40,,40,,12,
18,1,17,40,,150,,150,,384,,40,,40,,12,
19,1,18,40,,150,,150,,480,,40,,40,,12,
20,1,19,40,,150,,150,,480,,50,,50,,12,
21,1,20,48,,165,,165,,528,,55,,55,,17,
22,1,21,48,,198,,198,,528,,55,,55,,17,
23,1,22,48,,198,,198,,634,,55,,55,,17,
24,1,23,48,,198,,198,,634,,66,,66,,17,
25,1,24,48,,198,,198,,634,,66,,66,,20,
26,1,25,56,,231,,231,,634,,66,,66,,20,
27,1,26,56,,231,,231,,739,,66,,66,,20,
28,1,27,56,,231,,231,,739,,77,,77,,20,
29,1,28,56,,231,,231,,739,,77,,77,,23,
30,1,29,56,,264,,264,,739,,77,,77,,23,
31,1,30,64,,264,,264,,845,,77,,77,,23,
32,1,31,64,,264,,264,,845,,88,,88,,23,
33,1,32,64,,264,,264,,845,,88,,88,,26,
34,1,33,64,,297,,297,,845,,88,,88,,26,
35,1,34,64,,297,,297,,950,,88,,88,,26,
36,1,35,72,,297,,297,,950,,99,,99,,26,
37,1,36,72,,297,,297,,950,,99,,99,,30,
38,1,37,72,,330,,330,,950,,99,,99,,30,
39,1,38,72,,330,,330,,1056,,99,,99,,30,
40,1,39,72,,330,,330,,1056,,110,,110,,30,
41,1,40,80,,330,,330,,1056,,110,,110,,33,
42,1,41,80,,363,,363,,1056,,110,,110,,33,
43,1,42,80,,363,,363,,1162,,110,,110,,33,
44,1,43,80,,363,,363,,1162,,121,,121,,33,
45,1,44,80,,363,,363,,1162,,121,,121,,36,
46,1,45,80,,396,,396,,1162,,121,,121,,36,
