变量名,treeID,depth,name,name_tw,name_en,name_vn,name_kr,icon,iconRate,preTalentIDs,preLevel,costID,levelUp,effectType,skillID,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,desc,desc_tw,desc_en,desc_vn,desc_kr
默认值,,,加成详情,加成详情,加成详情,加成详情,加成详情,city/drawcard/draw/icon_jbc1.png,1,<>,10,,10,,,0,<>,0,<>,0,<>,"""""","""""","""""","""""",""""""
ID,天赋页id,天赋深度,名称,名称,名称,名称,名称,天赋icon,icon大小修正,前置天赋id,前置天赋等级要求,消耗序列id,等级上限,效果类型(1-属性，2-技能),技能id,属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3,效果描述,效果描述,效果描述,效果描述,效果描述
,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,1,输出加成,輸出加成,Damage bonus,404,??? ??,config/card_ability/icon_gj_1.png,,,,1,5,1,,7,<2%;4%;6%;8%;10%>,8,<2%;4%;6%;8%;10%>,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s双攻,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s雙攻,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase %s P. & Sp. ATK",404,? ?? ???? ? ???? ?? ? ?? ??? ??&?? ?? ?? %s ??
102,1,2,输出加成,輸出加成,Damage bonus,404,??? ??,config/card_ability/icon_gj1.png,,<101>,2,2,5,1,,22,<300;600;900;1200;1500>,,,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s伤害加成,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s傷害加成,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase the damage bonus by %s",404,? ?? ???? ? ???? ?? ? ?? ??? ?? ??? %s ??
103,1,2,输出加成,輸出加成,Damage bonus,404,??? ??,config/card_ability/icon_gj2.png,,<101>,2,2,5,1,,7,<3%;6%;9%;12%;15%>,8,<3%;6%;9%;12%;15%>,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s双攻,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s雙攻,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase %s P. & Sp. ATK",404,? ?? ???? ? ???? ?? ? ?? ??? ??&?? ?? ?? %s ??
104,1,3,输出加成,輸出加成,Damage bonus,404,??? ??,config/card_ability/icon_gj1.png,,<102>,2,3,5,1,,14,<400;800;1200;1600;2000>,,,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s暴击率,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s暴擊率,"In the battle between non-players in this server gym, all Pokémon on the battlefield increase their Crit rate by %s",404,? ?? ???? ? ???? ?? ? ?? ??? ???? %s ??
105,1,3,输出加成,輸出加成,Damage bonus,404,??? ??,config/card_ability/icon_gj2.png,,<102;103>,2,3,5,1,,22,<400;800;1200;1600;2000>,,,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s必杀伤害加成,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s必殺傷害加成,"In the battle between non-players in this server gym, all Pokémon on the battlefield will increase Ultimate Skill damage bonus by %s.",404,? ?? ???? ? ???? ?? ? ?? ??? ??? ?? ???  %s ??
106,1,3,输出加成,輸出加成,Damage bonus,404,??? ??,config/card_ability/icon_gj3.png,,<103>,2,3,5,1,,29,<1000;1500;2000;2500;3000>,,,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s属性克制,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s屬性克制,"In the battle between non-players in this server gym, all Pokémon on the battlefield have increased %s type restraint",404,? ?? ???? ? ???? ?? ? ?? ??? ?? ?? ?? %s ??
107,1,4,输出加成,輸出加成,Damage bonus,404,??? ??,config/card_ability/icon_gj1.png,,<104>,3,4,5,1,,15,<1000;1500;2000;2500;3000>,,,,,本服道馆非玩家间的战斗中，所有上阵精灵提升%s暴击伤害,本服道館非玩家間的戰鬥中，所有上陣精靈提升%s暴擊傷害,"In the battle between non-players in in this server gym, all Pokémon on the battlefield increase their Crit damage by %s",404,? ?? ???? ? ???? ?? ? ?? ??? ??? ?? %s ??
