变量名,cost1,cost2,cost3,cost4,cost5,cost6,cost7,cost8
默认值,{},{},{},{},{},{},{},{}
ID,消耗1,消耗2,消耗3,消耗4,消耗5,消耗6,消耗7,消耗8
0,{152=20;gold=300000},{152=20;gold=300000},{152=20;gold=300000},{152=20;gold=300000},{152=20;gold=300000},{152=20;gold=300000},{152=20;gold=300000},{152=20;gold=300000}
1,{152=40;gold=500000},{152=40;gold=500000},{152=40;gold=500000},{152=40;gold=500000},{152=40;gold=500000},{152=40;gold=500000},{152=40;gold=500000},{152=40;gold=500000}
2,{152=60;gold=700000},{152=60;gold=700000},{152=60;gold=700000},{152=60;gold=700000},{152=60;gold=700000},{152=60;gold=700000},{152=60;gold=700000},{152=60;gold=700000}
3,{152=80;gold=900000},{152=80;gold=900000},{152=80;gold=900000},{152=80;gold=900000},{152=80;gold=900000},{152=80;gold=900000},{152=80;gold=900000},{152=80;gold=900000}
4,{152=100;gold=1100000},{152=100;gold=1100000},{152=100;gold=1100000},{152=100;gold=1100000},{152=100;gold=1100000},{152=100;gold=1100000},{152=100;gold=1100000},{152=100;gold=1100000}
5,{152=120;gold=1300000},{152=120;gold=1300000},{152=120;gold=1300000},{152=120;gold=1300000},{152=120;gold=1300000},{152=120;gold=1300000},{152=120;gold=1300000},{152=120;gold=1300000}
6,{152=140;gold=1500000},{152=140;gold=1500000},{152=140;gold=1500000},{152=140;gold=1500000},{152=140;gold=1500000},{152=140;gold=1500000},{152=140;gold=1500000},{152=140;gold=1500000}
7,{152=160;gold=1700000},{152=160;gold=1700000},{152=160;gold=1700000},{152=160;gold=1700000},{152=160;gold=1700000},{152=160;gold=1700000},{152=160;gold=1700000},{152=160;gold=1700000}
8,{152=180;gold=1900000},{152=180;gold=1900000},{152=180;gold=1900000},{152=180;gold=1900000},{152=180;gold=1900000},{152=180;gold=1900000},{152=180;gold=1900000},{152=180;gold=1900000}
9,{152=200;gold=2100000},{152=200;gold=2100000},{152=200;gold=2100000},{152=200;gold=2100000},{152=200;gold=2100000},{152=200;gold=2100000},{152=200;gold=2100000},{152=200;gold=2100000}
10,{152=220;gold=2400000},{152=220;gold=2400000},{152=220;gold=2400000},{152=220;gold=2400000},{152=220;gold=2400000},{152=220;gold=2400000},{152=220;gold=2400000},{152=220;gold=2400000}
11,{152=240;gold=2700000},{152=240;gold=2700000},{152=240;gold=2700000},{152=240;gold=2700000},{152=240;gold=2700000},{152=240;gold=2700000},{152=240;gold=2700000},{152=240;gold=2700000}
12,{152=260;gold=3000000},{152=260;gold=3000000},{152=260;gold=3000000},{152=260;gold=3000000},{152=260;gold=3000000},{152=260;gold=3000000},{152=260;gold=3000000},{152=260;gold=3000000}
