变量名,attrNum1,attrRate1,attrNum2,attrRate2,attrNum3,attrRate3,attrNum4,attrRate4,attrNum5,attrRate5,attrNum6,attrRate6,__version
默认值,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,
ID,属性加成值1,百分比系数1,属性加成值2,百分比系数2,属性加成值3,百分比系数3,属性加成值4,百分比系数4,属性加成值5,百分比系数5,属性加成值6,百分比系数6,__version
0,<450;9;90;36;90;36>,<1.05;1.05;1.05;1.05;1.05;1.05>,<450;9;90;36;90;36>,<1.05;1.05;1.05;1.05;1.05;1.05>,<600;12;120;48;120;48>,<1.07;1.07;1.07;1.07;1.07;1.07>,<900;18;180;72;180;72>,<1.07;1.07;1.07;1.07;1.07;1.07>,<1200;24;240;96;240;96>,<1.1;1.1;1.1;1.1;1.1;1.1>,<1600;32;320;128;320;128>,<1.1;1.1;1.1;1.1;1.1;1.1>,
1,<900;18;180;72;180;72>,<1.1;1.1;1.1;1.1;1.1;1.1>,<900;18;180;72;180;72>,<1.1;1.1;1.1;1.1;1.1;1.1>,<1200;24;240;96;240;96>,<1.15;1.15;1.15;1.15;1.15;1.15>,<1800;36;360;144;360;144>,<1.15;1.15;1.15;1.15;1.15;1.15>,<2400;48;480;192;480;192>,<1.25;1.25;1.25;1.25;1.25;1.25>,<3200;64;640;256;640;256>,<1.25;1.25;1.25;1.25;1.25;1.25>,
2,<1350;27;270;108;270;108>,<1.15;1.15;1.15;1.15;1.15;1.15>,<1350;27;270;108;270;108>,<1.15;1.15;1.15;1.15;1.15;1.15>,<1800;36;360;144;360;144>,<1.23;1.23;1.23;1.23;1.23;1.23>,<2700;54;540;216;540;216>,<1.23;1.23;1.23;1.23;1.23;1.23>,<3600;72;720;288;720;288>,<1.4;1.4;1.4;1.4;1.4;1.4>,<4800;96;960;384;960;384>,<1.4;1.4;1.4;1.4;1.4;1.4>,
3,<1800;36;360;144;360;144>,<1.2;1.2;1.2;1.2;1.2;1.2>,<1800;36;360;144;360;144>,<1.2;1.2;1.2;1.2;1.2;1.2>,<2400;48;480;192;480;192>,<1.31;1.31;1.31;1.31;1.31;1.31>,<3600;72;720;288;720;288>,<1.31;1.31;1.31;1.31;1.31;1.31>,<4800;96;960;384;960;384>,<1.55;1.55;1.55;1.55;1.55;1.55>,<6400;128;1280;512;1280;512>,<1.55;1.55;1.55;1.55;1.55;1.55>,
4,<2250;45;450;180;450;180>,<1.25;1.25;1.25;1.25;1.25;1.25>,<2250;45;450;180;450;180>,<1.25;1.25;1.25;1.25;1.25;1.25>,<3000;60;600;240;600;240>,<1.39;1.39;1.39;1.39;1.39;1.39>,<4500;90;900;360;900;360>,<1.41;1.41;1.41;1.41;1.41;1.41>,<6000;120;1200;480;1200;480>,<1.8;1.8;1.8;1.8;1.8;1.8>,<8000;160;1600;640;1600;640>,<1.8;1.8;1.8;1.8;1.8;1.8>,
5,<2700;54;540;216;540;216>,<1.3;1.3;1.3;1.3;1.3;1.3>,<2700;54;540;216;540;216>,<1.3;1.3;1.3;1.3;1.3;1.3>,<3600;72;720;288;720;288>,<1.47;1.47;1.47;1.47;1.47;1.47>,<5400;108;1080;432;1080;432>,<1.49;1.49;1.49;1.49;1.49;1.49>,<7200;144;1440;576;1440;576>,<1.98;1.98;1.98;1.98;1.98;1.98>,<9600;192;1920;768;1920;768>,<1.98;1.98;1.98;1.98;1.98;1.98>,
6,<3150;63;630;252;630;252>,<1.35;1.35;1.35;1.35;1.35;1.35>,<3150;63;630;252;630;252>,<1.35;1.35;1.35;1.35;1.35;1.35>,<4200;84;840;336;840;336>,<1.55;1.55;1.55;1.55;1.55;1.55>,<6300;126;1260;504;1260;504>,<1.58;1.58;1.58;1.58;1.58;1.58>,<8400;168;1680;672;1680;672>,<2.15;2.15;2.15;2.15;2.15;2.15>,<11200;224;2240;896;2240;896>,<2.15;2.15;2.15;2.15;2.15;2.15>,
7,<3600;72;720;288;720;288>,<1.4;1.4;1.4;1.4;1.4;1.4>,<3600;72;720;288;720;288>,<1.4;1.4;1.4;1.4;1.4;1.4>,<4800;96;960;384;960;384>,<1.63;1.63;1.63;1.63;1.63;1.63>,<7200;144;1440;576;1440;576>,<1.66;1.66;1.66;1.66;1.66;1.66>,<9600;192;1920;768;1920;768>,<2.33;2.33;2.33;2.33;2.33;2.33>,<12800;256;2560;1024;2560;1024>,<2.33;2.33;2.33;2.33;2.33;2.33>,
8,<4050;81;810;324;810;324>,<1.45;1.45;1.45;1.45;1.45;1.45>,<4050;81;810;324;810;324>,<1.45;1.45;1.45;1.45;1.45;1.45>,<5400;108;1080;432;1080;432>,<1.71;1.71;1.71;1.71;1.71;1.71>,<8100;162;1620;648;1620;648>,<1.75;1.75;1.75;1.75;1.75;1.75>,<10800;216;2160;864;2160;864>,<2.5;2.5;2.5;2.5;2.5;2.5>,<14400;288;2880;1152;2880;1152>,<2.5;2.5;2.5;2.5;2.5;2.5>,
9,<4500;90;900;360;900;360>,<1.5;1.5;1.5;1.5;1.5;1.5>,<4500;90;900;360;900;360>,<1.5;1.5;1.5;1.5;1.5;1.5>,<6000;120;1200;480;1200;480>,<1.79;1.79;1.79;1.79;1.79;1.79>,<9000;180;1800;720;1800;720>,<1.83;1.83;1.83;1.83;1.83;1.83>,<12000;240;2400;960;2400;960>,<2.68;2.68;2.68;2.68;2.68;2.68>,<16000;320;3200;1280;3200;1280>,<2.68;2.68;2.68;2.68;2.68;2.68>,
