变量名,name,icon,quality,exclusiveCards,itemsShow,languages,stackShow,strengthMax,strengthSeqID,advanceMax,advanceSeqID,advanceLvLimit,universalItems,attrTypes,attrNumRates,viceAttrRate,strengthAttrSeq,advanceAttrSeq,effect1,effect1LevelAdvSeq,effect2,effect2LevelAdvSeq,rebirthRMB,heldItemExp,fragID,produceGate1,produceGate2,produceGate3,produceDesc,effect,__version
默认值,"""""","""""",3,<>,TRUE,<cn;tw;en;en_us;en_eu;vn;th;kr>,199,20,1,7,1,<>,<>,<1;13;7;9;8;10>,,0.5,1,1,0,<>,0,<>,10,0,0,"""""","""""","""""",可通过特殊运营活动获得,{gain=FALSE;drawcard=FALSE},
ID,名称,图标,品质,专属卡牌<markID;>,控制道具是否显示,语言区域,显示每组的堆叠上限,最大强化等级,强化序列ID,最大进阶突破上限,进阶突破序列ID,突破强化等级限制,进阶万能道具,基础属性类型,基础属性整体修正,副携带属性比例,强化加成序列ID,突破加成序列ID,携带效果1,携带效果1等级突破序列,携带效果2,携带效果2等级突破序列,重生消耗钻石,携带道具增加经验,碎片ID（对应合成的碎片）,产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi;lianjin),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),前三个都没就读描述,分别表示在抽卡，恭喜获得,__version
30001,金假牙,config/item/xddj/icon_jjy.png,5,,FALSE,,,60,5,,,<3;6;9;12;15;18;21>,<2153>,<1;13;7;9;8;10>,<1;1;1;1;1;1>,,5,5,100001,<0;1;2;3;4;5;6;7>,,,999999,520,,,,,,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30101,白金宝珠,config/item/xddj/icon_bjbz.png,2,,,,,60,2,,,<3;6;9;12;15;18;21>,<2151>,<1;13;7;9;8;10>,<1.1;0.9;1;1;1;1>,,2,2,1,<0;1;2;3;4;5;6;7>,,,2,90,,,,,可通过饰品抽卡获得,,
30102,可疑补丁,config/item/xddj/icon_kybd.png,2,,,,,60,2,,2,<3;6;9;12;15;18;21>,<2151>,<1;13;7;9;8;10>,<1;0.9;1.1;1;1;1>,,2,2,3,<0;1;2;3;4;5;6;7>,,,2,90,,,,,可通过饰品抽卡获得,,
30103,美丽鳞片,config/item/xddj/icon_mllp.png,2,,,,,60,2,,3,<3;6;9;12;15;18;21>,<2151>,<1;13;7;9;8;10>,<1;0.9;1;1;1;1.1>,,2,2,5,<0;1;2;3;4;5;6;7>,,,2,90,,,,,可通过饰品抽卡获得,,
30104,泡沫奶油,config/item/xddj/icon_pfny.png,2,,,,,60,2,,4,<3;6;9;12;15;18;21>,<2151>,<1;13;7;9;8;10>,<1;0.9;1;1;1.1;1>,,2,2,7,<0;1;2;3;4;5;6;7>,,,2,90,,,,,可通过饰品抽卡获得,,
30105,力量护腕,config/item/xddj/icon_llhw.png,2,,,,,60,2,,5,<3;6;9;12;15;18;21>,<2151>,<1;13;7;9;8;10>,<1;0.9;1;1.1;1;1>,,2,2,9,<0;1;2;3;4;5;6;7>,,,2,90,,,,,可通过饰品抽卡获得,,
30106,灵界之布,config/item/xddj/icon_ljzb.png,2,,,,,60,2,,6,<3;6;9;12;15;18;21>,<2151>,<1;13;7;9;8;10>,<1;1;1;1;1;1>,,2,2,11,<0;1;2;3;4;5;6;7>,,,2,90,,,,,可通过饰品抽卡获得,,
30107,!!!废弃1,config/item/icon_qzdlq.png,2,,FALSE,<cn>,,60,2,,,<3;6;9;12;15;18;21>,,<1;13;7;9;8;10>,<1;1;1;1;1;1>,,2,2,1,<0;1;2;3;4;5;6;7>,,,,90,,,,,,,
30201,讲究头带,config/item/xddj/icon_jjtj.png,,,,,,60,3,,7,<3;6;9;12;15;18;21>,<2151>,<1;13;7;9;8;10>,<1.05;0.9;1;1.05;1;1>,,3,3,15,<0;1;2;3;4;5;6;7>,,,5,150,,,,,可通过饰品抽卡获得,,
30202,混元之石,config/item/xddj/icon_hyzs.png,,,,,,60,3,,8,<3;6;9;12;15;18;21>,<2151>,<1;13;7;9;8;10>,<1.05;0.9;1;1;1;1.05>,,3,3,17,<0;1;2;3;4;5;6;7>,,,5,150,,,,,可通过饰品抽卡获得,,
30203,饱腹熏香,config/item/xddj/icon_bfxx.png,,,,,,60,3,,9,<3;6;9;12;15;18;21>,<2151>,<1;13;7;9;8;10>,<1;0.9;1;1.05;1;1.05>,,3,3,19,<0;1;2;3;4;5;6;7>,,,5,150,,,,,可通过饰品抽卡获得,,
30204,气势被带,config/item/xddj/icon_qspd.png,,,,,,60,3,,10,<3;6;9;12;15;18;21>,<2151>,<1;13;7;9;8;10>,<1;0.9;1.1;1;1;1>,,3,3,21,<0;1;2;3;4;5;6;7>,,,5,150,,,,,可通过饰品抽卡获得,,
30205,球根,config/item/xddj/icon_qg.png,,,,,,60,3,,11,<3;6;9;12;15;18;21>,<2151>,<1;13;7;9;8;10>,<1;0.9;1;1;1.1;1>,,3,3,23,<0;1;2;3;4;5;6;7>,,,5,150,,,,,可通过饰品抽卡获得,,
30206,讲究眼镜,config/item/xddj/icon_jjyj.png,,,,,,60,3,,12,<3;6;9;12;15;18;21>,<2151>,<1;13;7;9;8;10>,<1.05;0.9;1.05;1;1;1>,,3,3,25,<0;1;2;3;4;5;6;7>,,,5,150,,,,,可通过饰品抽卡获得,,
30207,白玉宝珠,config/item/xddj/icon_bybz.png,,,,,,60,3,,13,<3;6;9;12;15;18;21>,<2151>,<1;13;7;9;8;10>,<1.05;0.9;1;1;1.05;1>,,3,3,27,<0;1;2;3;4;5;6;7>,,,5,150,,,,,可通过饰品抽卡获得,,
30208,先制之爪,config/item/xddj/icon_xzzz.png,,,,,,60,3,,14,<3;6;9;12;15;18;21>,<2151>,<1;13;7;9;8;10>,<1;1;1;1;1;1>,,3,3,29,<0;1;2;3;4;5;6;7>,,,5,150,,,,,可通过饰品抽卡获得,,
30209,焦点镜,config/item/xddj/icon_jdj.png,,,,,,60,3,,15,<3;6;9;12;15;18;21>,<2151>,<1;13;7;9;8;10>,<1;1;1;1;1;1>,,3,3,31,<0;1;2;3;4;5;6;7>,,,5,150,,,,,可通过饰品抽卡获得,,
30301,吃剩的苹果,config/item/xddj/icon_csddx.png,4,,,,,70,4,,16,<3;6;9;12;15;18;21>,<2152>,<1;13;7;9;8;10>,<1.1;0.9;1;1;1;1>,,4,4,33,<0;1;2;3;4;5;6;7>,34,<0;1;2;3;4;5;6;7>,8,280,28001,,,,可通过饰品抽卡获得,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30302,熔岩增幅器,config/item/xddj/icon_ryzfq.png,4,,,,,70,4,,17,<3;6;9;12;15;18;21>,<2152>,<1;13;7;9;8;10>,<1;1;1;1;1;1>,,4,4,35,<0;1;2;3;4;5;6;7>,36,<0;1;2;3;4;5;6;7>,8,280,28002,,,,可通过饰品抽卡获得,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30303,电力增幅器,config/item/xddj/icon_dlzfq.png,4,,,,,70,4,,18,<3;6;9;12;15;18;21>,<2152>,<1;13;7;9;8;10>,<1;1;1;1;1;1>,,4,4,37,<0;1;2;3;4;5;6;7>,38,<0;1;2;3;4;5;6;7>,8,280,28003,,,,可通过饰品抽卡获得,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30304,王者之证,config/item/xddj/icon_wzzz2.png,4,,,,,70,4,,19,<3;6;9;12;15;18;21>,<2152>,<1;13;7;9;8;10>,<1;1;1;1;1;1>,,4,4,39,<0;1;2;3;4;5;6;7>,40,<0;1;2;3;4;5;6;7>,8,280,28004,,,,可通过饰品抽卡获得,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30305,心灵香草,config/item/xddj/icon_xlxc.png,4,,,,,70,4,,20,<3;6;9;12;15;18;21>,<2152>,<1;13;7;9;8;10>,<1;0.9;1;1.05;1;1.05>,,4,4,41,<0;1;2;3;4;5;6;7>,42,<0;1;2;3;4;5;6;7>,8,280,28005,,,,可通过饰品抽卡获得,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30306,气势头带,config/item/xddj/icon_qstj.png,4,,,,,70,4,,21,<3;6;9;12;15;18;21>,<2152>,<1;13;7;9;8;10>,<1.1;0.9;1;1;1;1>,,4,4,43,<0;1;2;3;4;5;6;7>,44,<0;1;2;3;4;5;6;7>,8,280,28006,,,,可通过饰品抽卡获得,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30307,柔软沙子,config/item/xddj/icon_rrsz.png,4,,,,,70,4,,22,<3;6;9;12;15;18;21>,<2152>,<1;13;7;9;8;10>,<1.05;0.95;1;1;1;1>,,4,4,45,<0;1;2;3;4;5;6;7>,46,<0;1;2;3;4;5;6;7>,8,280,28007,,,,可通过饰品抽卡获得,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30308,丝绸围巾,config/item/xddj/icon_jjwj.png,4,,,,,70,4,,23,<3;6;9;12;15;18;21>,<2152>,<1;13;7;9;8;10>,<1.05;0.95;1;1;1;1>,,4,4,47,<0;1;2;3;4;5;6;7>,48,<0;1;2;3;4;5;6;7>,8,280,28008,,,,可通过饰品抽卡获得,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30309,诅咒之符,config/item/xddj/icon_zzzf.png,4,,,,,70,4,,24,<3;6;9;12;15;18;21>,<2152>,<1;13;7;9;8;10>,<1.05;0.95;1;1;1;1>,,4,4,49,<0;1;2;3;4;5;6;7>,50,<0;1;2;3;4;5;6;7>,8,280,28009,,,,可通过饰品抽卡获得,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30310,龙之牙,config/item/xddj/icon_ly.png,4,,,,,70,4,,25,<3;6;9;12;15;18;21>,<2152>,<1;13;7;9;8;10>,<1.05;0.95;1;1;1;1>,,4,4,51,<0;1;2;3;4;5;6;7>,52,<0;1;2;3;4;5;6;7>,8,280,28010,,,,可通过饰品抽卡获得,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30311,硬石头,config/item/xddj/icon_yst.png,4,,,,,70,4,,26,<3;6;9;12;15;18;21>,<2152>,<1;13;7;9;8;10>,<1.05;0.95;1;1;1;1>,,4,4,53,<0;1;2;3;4;5;6;7>,54,<0;1;2;3;4;5;6;7>,8,280,28011,,,,可通过饰品抽卡获得,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30312,黑带,config/item/xddj/icon_qshd.png,4,,,,,70,4,,27,<3;6;9;12;15;18;21>,<2152>,<1;13;7;9;8;10>,<1.05;0.95;1;1;1;1>,,4,4,55,<0;1;2;3;4;5;6;7>,56,<0;1;2;3;4;5;6;7>,8,280,28012,,,,可通过饰品抽卡获得,{drawcard=zi_effect_loop;gain=zi_effect_loop},
30313,金属膜,config/item/xddj/icon_jsm.png,4,,,,,70,4,,28,<3;6;9;12;15;18;21>,<2152>,<1;13;7;9;8;10>,<1;0.9;1.1;1;1;1>,,4,4,59,<0;1;2;3;4;5;6;7>,,,8,280,28013,,,,可通过饰品抽卡获得,{drawcard=zi_effect_loop;gain=zi_effect_loop},
