变量名,skillLevel,starEnd,starStart,advanceEnd,advanceStart,levelEnd,levelStart,room,theme,zawake,hpC,damageC,specialDamageC,defenceC,specialDefenceC,speedC,extraSkill,__version
默认值,0,0,0,0,0,0,0,0,<1>,<0;0;0;0;0;0;0;0>,<1;1.1;1.25;1.5>,<1;1.1;1.25;1.5>,<1;1.1;1.25;1.5>,<1;1.1;1.25;1.5>,<1;1.1;1.25;1.5>,<1;1.1;1.25;1.5>,<>,
ID,技能等级,星级结束,星级起始,进阶结束,进阶起始,等级结束,等级起始,房间ID,主题,究极觉醒,生命系数,物攻系数,特攻系数,物防系数,特防系数,速度系数,额外技能,__version
1,1,9,8,3,2,88,85,1,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
2,1,9,8,3,2,88,85,2,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
3,1,9,8,3,2,88,85,3,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
4,1,9,8,3,2,88,85,4,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
5,2,9,8,3,2,88,85,5,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
6,2,9,8,4,3,88,85,6,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
7,2,9,8,4,3,88,85,7,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
8,2,9,8,4,3,88,85,8,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
9,2,9,8,4,3,88,85,9,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
10,3,9,8,4,3,88,85,10,<1;1001>,,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<1;1.1;1.2;1.4>,<<83000>;<83000>;<83000>;<83000>>,
