变量名,version,award,needPoint,__version
默认值,0,{},,
ID,主题版本ID,达到所需积分可领取的奖励,达到该积分才可领取,__version
1,1,{14=10;529=300;gold=50000},6000,
2,1,{14=10;971=1;gold=50000},12000,
3,1,{14=12;502=2;gold=60000},20000,
4,1,{14=12;529=300;gold=60000},28000,
5,1,{14=14;971=1;gold=70000},36000,
6,1,{14=14;502=2;gold=70000},44000,
7,1,{14=16;529=400;gold=80000},54000,
8,1,{14=16;972=1;gold=80000},64000,
9,1,{14=18;502=3;gold=90000},78000,
10,1,{14=18;529=400;gold=90000},92000,
11,1,{14=20;972=1;gold=100000},106000,
12,1,{14=20;502=3;gold=100000},124000,
13,1,{14=22;529=500;gold=110000},142000,
14,1,{14=22;973=1;gold=110000},160000,
15,1,{14=24;502=5;gold=120000},180000,
101,2,{14=10;124=2;gold=50000},6000,
102,2,{14=10;7302=1;gold=50000},12000,
103,2,{14=12;502=2;gold=60000},20000,
104,2,{14=12;124=2;gold=60000},28000,
105,2,{14=14;7302=1;gold=70000},36000,
106,2,{14=14;502=2;gold=70000},44000,
107,2,{14=16;124=3;gold=80000},54000,
108,2,{14=16;7303=1;gold=80000},64000,
109,2,{14=18;502=3;gold=90000},78000,
110,2,{14=18;124=3;gold=90000},92000,
111,2,{14=20;7303=1;gold=100000},106000,
112,2,{14=20;502=3;gold=100000},124000,
113,2,{14=22;124=4;gold=110000},142000,
114,2,{14=22;7304=1;gold=110000},160000,
115,2,{14=24;502=5;gold=120000},180000,
201,3,{14=10;133=2;gold=50000},6000,
202,3,{14=10;7351=1;gold=50000},12000,
203,3,{14=12;502=2;gold=60000},20000,
204,3,{14=12;133=2;gold=60000},28000,
205,3,{14=14;7351=1;gold=70000},36000,
206,3,{14=14;502=2;gold=70000},44000,
207,3,{14=16;133=3;gold=80000},54000,
208,3,{14=16;7352=1;gold=80000},64000,
209,3,{14=18;502=3;gold=90000},78000,
210,3,{14=18;133=3;gold=90000},92000,
211,3,{14=20;7352=1;gold=100000},106000,
212,3,{14=20;502=3;gold=100000},124000,
213,3,{14=22;133=4;gold=110000},142000,
214,3,{14=22;7353=1;gold=110000},160000,
215,3,{14=24;502=5;gold=120000},180000,
1001,1001,{142=40;529=300;gold=50000},6000,
1002,1001,{142=40;971=1;gold=50000},12000,
1003,1001,{142=48;502=2;gold=60000},20000,
1004,1001,{142=48;529=300;gold=60000},28000,
1005,1001,{142=56;971=1;gold=70000},36000,
1006,1001,{142=56;502=2;gold=70000},44000,
1007,1001,{142=64;529=400;gold=80000},54000,
1008,1001,{142=64;972=1;gold=80000},64000,
1009,1001,{142=72;502=3;gold=90000},78000,
1010,1001,{142=72;529=400;gold=90000},92000,
1011,1001,{142=80;972=1;gold=100000},106000,
1012,1001,{142=80;502=3;gold=100000},124000,
1013,1001,{142=88;529=500;gold=110000},142000,
1014,1001,{142=88;973=1;gold=110000},160000,
1015,1001,{142=96;502=5;gold=120000},180000,
1101,1002,{124=2;142=40;gold=50000},6000,
1102,1002,{142=40;7302=1;gold=50000},12000,
1103,1002,{142=48;502=2;gold=60000},20000,
1104,1002,{124=2;142=48;gold=60000},28000,
1105,1002,{142=56;7302=1;gold=70000},36000,
1106,1002,{142=56;502=2;gold=70000},44000,
1107,1002,{124=3;142=64;gold=80000},54000,
1108,1002,{142=64;7303=1;gold=80000},64000,
1109,1002,{142=72;502=3;gold=90000},78000,
1110,1002,{124=3;142=72;gold=90000},92000,
1111,1002,{142=80;7303=1;gold=100000},106000,
1112,1002,{142=80;502=3;gold=100000},124000,
1113,1002,{124=4;142=88;gold=110000},142000,
1114,1002,{142=88;7304=1;gold=110000},160000,
1115,1002,{142=96;502=5;gold=120000},180000,
1201,1003,{133=2;142=40;gold=50000},6000,
1202,1003,{142=40;7351=1;gold=50000},12000,
1203,1003,{142=48;502=2;gold=60000},20000,
1204,1003,{133=2;142=48;gold=60000},28000,
1205,1003,{142=56;7351=1;gold=70000},36000,
1206,1003,{142=56;502=2;gold=70000},44000,
1207,1003,{133=3;142=64;gold=80000},54000,
1208,1003,{142=64;7352=1;gold=80000},64000,
1209,1003,{142=72;502=3;gold=90000},78000,
1210,1003,{133=3;142=72;gold=90000},92000,
1211,1003,{142=80;7352=1;gold=100000},106000,
1212,1003,{142=80;502=3;gold=100000},124000,
1213,1003,{133=4;142=88;gold=110000},142000,
1214,1003,{142=88;7353=1;gold=110000},160000,
1215,1003,{142=96;502=5;gold=120000},180000,
