变量名,version,periodAward,range,__version
默认值,0,{},,
ID,主题版本ID,排名段奖励内容,排名区间[min;max),__version
1,1,{142=1500;529=6000;gold=2000000;rmb=300},<1;2>,
2,1,{142=1350;529=5400;gold=1800000;rmb=270},<2;3>,
3,1,{142=1200;529=4800;gold=1600000;rmb=240},<3;4>,
4,1,{142=1050;529=4400;gold=1400000;rmb=220},<4;7>,
5,1,{142=900;529=4000;gold=1200000;rmb=200},<7;11>,
6,1,{142=840;529=3600;gold=1120000;rmb=180},<11;31>,
7,1,{142=780;529=3200;gold=1040000;rmb=160},<31;61>,
8,1,{142=720;529=3000;gold=960000;rmb=150},<61;101>,
9,1,{142=660;529=2800;gold=880000;rmb=140},<101;301>,
10,1,{142=600;529=2600;gold=800000;rmb=130},<301;601>,
11,1,{142=540;529=2400;gold=720000;rmb=120},<601;1001>,
12,1,{142=480;529=2200;gold=640000;rmb=110},<1001;100000>,
101,2,{124=30;142=1500;gold=2000000;rmb=300},<1;2>,
102,2,{124=27;142=1350;gold=1800000;rmb=270},<2;3>,
103,2,{124=24;142=1200;gold=1600000;rmb=240},<3;4>,
104,2,{124=22;142=1050;gold=1400000;rmb=220},<4;7>,
105,2,{124=20;142=900;gold=1200000;rmb=200},<7;11>,
106,2,{124=18;142=840;gold=1120000;rmb=180},<11;31>,
107,2,{124=16;142=780;gold=1040000;rmb=160},<31;61>,
108,2,{124=15;142=720;gold=960000;rmb=150},<61;101>,
109,2,{124=14;142=660;gold=880000;rmb=140},<101;301>,
110,2,{124=13;142=600;gold=800000;rmb=130},<301;601>,
111,2,{124=12;142=540;gold=720000;rmb=120},<601;1001>,
112,2,{124=11;142=480;gold=640000;rmb=110},<1001;100000>,
201,3,{133=30;142=1500;gold=2000000;rmb=300},<1;2>,
202,3,{133=27;142=1350;gold=1800000;rmb=270},<2;3>,
203,3,{133=24;142=1200;gold=1600000;rmb=240},<3;4>,
204,3,{133=22;142=1050;gold=1400000;rmb=220},<4;7>,
205,3,{133=20;142=900;gold=1200000;rmb=200},<7;11>,
206,3,{133=18;142=840;gold=1120000;rmb=180},<11;31>,
207,3,{133=16;142=780;gold=1040000;rmb=160},<31;61>,
208,3,{133=15;142=720;gold=960000;rmb=150},<61;101>,
209,3,{133=14;142=660;gold=880000;rmb=140},<101;301>,
210,3,{133=13;142=600;gold=800000;rmb=130},<301;601>,
211,3,{133=12;142=540;gold=720000;rmb=120},<601;1001>,
212,3,{133=11;142=480;gold=640000;rmb=110},<1001;100000>,
1001,1001,{142=1500;529=6000;gold=2000000;rmb=300},<1;2>,
1002,1001,{142=1350;529=5400;gold=1800000;rmb=270},<2;3>,
1003,1001,{142=1200;529=4800;gold=1600000;rmb=240},<3;4>,
1004,1001,{142=1050;529=4400;gold=1400000;rmb=220},<4;7>,
1005,1001,{142=900;529=4000;gold=1200000;rmb=200},<7;11>,
1006,1001,{142=840;529=3600;gold=1120000;rmb=180},<11;31>,
1007,1001,{142=780;529=3200;gold=1040000;rmb=160},<31;61>,
1008,1001,{142=720;529=3000;gold=960000;rmb=150},<61;101>,
1009,1001,{142=660;529=2800;gold=880000;rmb=140},<101;301>,
1010,1001,{142=600;529=2600;gold=800000;rmb=130},<301;601>,
1011,1001,{142=540;529=2400;gold=720000;rmb=120},<601;1001>,
1012,1001,{142=480;529=2200;gold=640000;rmb=110},<1001;100000>,
1101,1002,{124=30;142=1500;gold=2000000;rmb=300},<1;2>,
1102,1002,{124=27;142=1350;gold=1800000;rmb=270},<2;3>,
1103,1002,{124=24;142=1200;gold=1600000;rmb=240},<3;4>,
1104,1002,{124=22;142=1050;gold=1400000;rmb=220},<4;7>,
1105,1002,{124=20;142=900;gold=1200000;rmb=200},<7;11>,
1106,1002,{124=18;142=840;gold=1120000;rmb=180},<11;31>,
1107,1002,{124=16;142=780;gold=1040000;rmb=160},<31;61>,
1108,1002,{124=15;142=720;gold=960000;rmb=150},<61;101>,
1109,1002,{124=14;142=660;gold=880000;rmb=140},<101;301>,
1110,1002,{124=13;142=600;gold=800000;rmb=130},<301;601>,
1111,1002,{124=12;142=540;gold=720000;rmb=120},<601;1001>,
1112,1002,{124=11;142=480;gold=640000;rmb=110},<1001;100000>,
1201,1003,{133=30;142=1500;gold=2000000;rmb=300},<1;2>,
1202,1003,{133=27;142=1350;gold=1800000;rmb=270},<2;3>,
1203,1003,{133=24;142=1200;gold=1600000;rmb=240},<3;4>,
1204,1003,{133=22;142=1050;gold=1400000;rmb=220},<4;7>,
1205,1003,{133=20;142=900;gold=1200000;rmb=200},<7;11>,
1206,1003,{133=18;142=840;gold=1120000;rmb=180},<11;31>,
1207,1003,{133=16;142=780;gold=1040000;rmb=160},<31;61>,
1208,1003,{133=15;142=720;gold=960000;rmb=150},<61;101>,
1209,1003,{133=14;142=660;gold=880000;rmb=140},<101;301>,
1210,1003,{133=13;142=600;gold=800000;rmb=130},<301;601>,
1211,1003,{133=12;142=540;gold=720000;rmb=120},<601;1001>,
1212,1003,{133=11;142=480;gold=640000;rmb=110},<1001;100000>,
