变量名,name,_beizhu,isShow,icon,desc,desc1,quality,use,type,stackMax,specialArgsMap,effBtn,pageTag,sellPrice,autoSell,sortType,sortValue,fragID,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,effect,rebirthRMB,dateType,expireDate,expireTime,timeOut,gateDropC,drawItemsLibC,regain,isLimitDrop,drawItemType,descType,ruleType,showNum
默认值,"""""",,TRUE,,"""""","""""",1,"""""",0,99999999,{},<>,<>,0,0,1,1,0,"""""","""""","""""","""""","""""","""""","""""",暂无固定获取途径可获得该物品,{gain=FALSE;drawcard=FALSE},5,0,20180101,500,1,1,1,{},FALSE,"""""",0,"""""",TRUE
ID,物品名,_备注,是否显示给外网玩家,图标,功能描述,世界观描述,品质作者:1.灰2.绿3.蓝4.紫5.金6.红7.彩,使用跳转,类型,堆栈上限,特殊参数,功能按键1.获取途径2.使用3.打开4.出售,特殊页签显示作者:默认不填写则读取类型，若填写，则无视类型强制页签0-全部1-消耗品2-材料3-碎片,出售价格,是否可自动出售,排序类型,排序优先级,碎片ID(可选，现在给材料用),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi;lianjin),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi;lianjin),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),前三个都没就读描述,分别表示在抽卡，恭喜获得,高级重生需要钻石,有效期类型作者:0.永久有效1.绝对有效期，获取后可保持时间2.终止有效期，有效期直到,有效日期,有效时间-有效期类型为1时填写对应数字表示分钟/秒-有效期类型为2时填写数字如1809122355,过期处理作者:1.过期清理2.过期后消失3.过期后不可使用4.过期后仅标记（用于活动物品排序,最终掉落权值，等于配置权值（包括随机和固定掉落）*该修正值,最终掉落库权值，等于配置权值（drawitemslib中）*该修正值,重复获得道具转换,是否限时掉落,新增,新增,新增,新增
11,甘甜冰水,,,config/item/icon_yl.png,可以给精灵食用，增加100点经验,食用可以增加少量经验值,2,strengthen-attribute,1,,{buy_level=5;buy_rmb=1;exp=100},<1;2>,<1>,,,17,,,10000,20000,activityGate-exp,,,,,,,0.0022,,,,,,,,,,,,
12,劲爽汽水,,,config/item/icon_yl1.png,可以给精灵食用，增加300点经验,食用可以增加少量经验值,2,strengthen-attribute,1,,{buy_level=20;buy_rmb=2;exp=300},<1;2>,<1>,,,17,2,,10000,20000,activityGate-exp,,,,,,,0.0067,,,,,,,,,,,,
13,美味之水,,,config/item/icon_yl2.png,可以给精灵食用，增加1000点经验,食用可以增加中量经验值,3,strengthen-attribute,1,,{buy_level=35;buy_rmb=3;exp=1000},<1;2>,<1>,,,17,3,,10000,20000,activityGate-exp,,,,,,,0.0222,,,,,,,,,,,,
14,哞哞鲜奶,,,config/item/icon_yl3.png,可以给精灵食用，增加3000点经验,食用可以增加大量经验值,3,strengthen-attribute,1,,{buy_level=50;buy_rmb=6;exp=3000},<1;2>,<1>,,,17,4,,10000,20000,activityGate-exp,,,,,,,0.0667,,,,,,,,,,,,
15,果汁牛奶,,,config/item/icon_yl4.png,可以给精灵食用，增加10000点经验,食用可以增加巨量经验值,4,strengthen-attribute,1,,{buy_level=60;buy_rmb=15;exp=10000},<1;2>,<1>,,,17,5,,10000,20000,activityGate-exp,,,,,,,0.2222,,,,,,,,,,,,
16,树果汁,,,config/item/icon_yz.png,可以给精灵食用，增加30000点经验,食用可以增加超量经验值,5,strengthen-attribute,1,,{buy_level=70;buy_rmb=40;exp=30000},<1;2>,<1>,,,17,6,,10000,20000,activityGate-exp,,,,,,,0.6667,,,,,,,,,,,,
19,神奇胶囊,,,config/item/icon_txjn.png,可以改变精灵个体值的神秘之物,,4,strengthen-nvalue,,,,<1;2>,<2>,,,2,,,,,,,,,,可通过日常任务活跃度宝箱和在线礼包获得该物品,,2,,,,,,,,,,,,
51,胆小薄荷,,,config/item/character_item/icon_bh_dx.png,精灵在闻了这种薄荷之后，性格会变得胆小,可在精灵继承界面内性格交换一栏使用,4,strengthen-attribute,18,,{character=6},<2>,<2>,,,16,39,,,,,,,,,通过特殊运营活动可获得该物品,,,,,,,,,,,,,,
52,急躁薄荷,,,config/item/character_item/icon_bh_tz.png,精灵在闻了这种薄荷之后，性格会变得急躁,可在精灵继承界面内性格交换一栏使用,4,strengthen-attribute,18,,{character=7},<2>,<2>,,,16,38,,,,,,,,,通过特殊运营活动可获得该物品,,,,,,,,,,,,,,
53,爽朗薄荷,,,config/item/character_item/icon_bh_jz.png,精灵在闻了这种薄荷之后，性格会变得爽朗,可在精灵继承界面内性格交换一栏使用,4,strengthen-attribute,18,,{character=8},<2>,<2>,,,16,37,,,,,,,,,通过特殊运营活动可获得该物品,,,,,,,,,,,,,,
54,天真薄荷,,,config/item/character_item/icon_bh_sl.png,精灵在闻了这种薄荷之后，性格会变得天真,可在精灵继承界面内性格交换一栏使用,4,strengthen-attribute,18,,{character=9},<2>,<2>,,,16,36,,,,,,,,,通过特殊运营活动可获得该物品,,,,,,,,,,,,,,
55,怕寂寞薄荷,,,config/item/character_item/icon_bh_pjm.png,精灵在闻了这种薄荷之后，性格会变得怕寂寞,可在精灵继承界面内性格交换一栏使用,4,strengthen-attribute,18,,{character=10},<2>,<2>,,,16,35,,,,,,,,,通过特殊运营活动可获得该物品,,,,,,,,,,,,,,
56,勇敢薄荷,,,config/item/character_item/icon_bh_yg.png,精灵在闻了这种薄荷之后，性格会变得勇敢,可在精灵继承界面内性格交换一栏使用,4,strengthen-attribute,18,,{character=11},<2>,<2>,,,16,34,,,,,,,,,通过特殊运营活动可获得该物品,,,,,,,,,,,,,,
57,固执薄荷,,,config/item/character_item/icon_bh_gz.png,精灵在闻了这种薄荷之后，性格会变得固执,可在精灵继承界面内性格交换一栏使用,4,strengthen-attribute,18,,{character=12},<2>,<2>,,,16,33,,,,,,,,,通过特殊运营活动可获得该物品,,,,,,,,,,,,,,
58,顽皮薄荷,,,config/item/character_item/icon_bh_wp.png,精灵在闻了这种薄荷之后，性格会变得顽皮,可在精灵继承界面内性格交换一栏使用,4,strengthen-attribute,18,,{character=13},<2>,<2>,,,16,32,,,,,,,,,通过特殊运营活动可获得该物品,,,,,,,,,,,,,,
59,大胆薄荷,,,config/item/character_item/icon_bh_dd.png,精灵在闻了这种薄荷之后，性格会变得大胆,可在精灵继承界面内性格交换一栏使用,4,strengthen-attribute,18,,{character=14},<2>,<2>,,,16,31,,,,,,,,,通过特殊运营活动可获得该物品,,,,,,,,,,,,,,
60,悠闲薄荷,,,config/item/character_item/icon_bh_yx.png,精灵在闻了这种薄荷之后，性格会变得悠闲,可在精灵继承界面内性格交换一栏使用,4,strengthen-attribute,18,,{character=15},<2>,<2>,,,16,30,,,,,,,,,通过特殊运营活动可获得该物品,,,,,,,,,,,,,,
61,淘气薄荷,,,config/item/character_item/icon_bh_tq.png,精灵在闻了这种薄荷之后，性格会变得淘气,可在精灵继承界面内性格交换一栏使用,4,strengthen-attribute,18,,{character=16},<2>,<2>,,,16,29,,,,,,,,,通过特殊运营活动可获得该物品,,,,,,,,,,,,,,
62,乐天薄荷,,,config/item/character_item/icon_bh_lt.png,精灵在闻了这种薄荷之后，性格会变得乐天,可在精灵继承界面内性格交换一栏使用,4,strengthen-attribute,18,,{character=17},<2>,<2>,,,16,28,,,,,,,,,通过特殊运营活动可获得该物品,,,,,,,,,,,,,,
63,内敛薄荷,,,config/item/character_item/icon_bh_nl.png,精灵在闻了这种薄荷之后，性格会变得内敛,可在精灵继承界面内性格交换一栏使用,4,strengthen-attribute,18,,{character=18},<2>,<2>,,,16,27,,,,,,,,,通过特殊运营活动可获得该物品,,,,,,,,,,,,,,
64,慢吞吞薄荷,,,config/item/character_item/icon_bh_lj.png,精灵在闻了这种薄荷之后，性格会变得慢吞吞,可在精灵继承界面内性格交换一栏使用,4,strengthen-attribute,18,,{character=19},<2>,<2>,,,16,26,,,,,,,,,通过特殊运营活动可获得该物品,,,,,,,,,,,,,,
65,冷静薄荷,,,config/item/character_item/icon_bh_mtt.png,精灵在闻了这种薄荷之后，性格会变得冷静,可在精灵继承界面内性格交换一栏使用,4,strengthen-attribute,18,,{character=20},<2>,<2>,,,16,25,,,,,,,,,通过特殊运营活动可获得该物品,,,,,,,,,,,,,,
66,马虎薄荷,,,config/item/character_item/icon_bh_mh.png,精灵在闻了这种薄荷之后，性格会变得马虎,可在精灵继承界面内性格交换一栏使用,4,strengthen-attribute,18,,{character=21},<2>,<2>,,,16,24,,,,,,,,,通过特殊运营活动可获得该物品,,,,,,,,,,,,,,
67,温和薄荷,,,config/item/character_item/icon_bh_wh.png,精灵在闻了这种薄荷之后，性格会变得温和,可在精灵继承界面内性格交换一栏使用,4,strengthen-attribute,18,,{character=22},<2>,<2>,,,16,23,,,,,,,,,通过特殊运营活动可获得该物品,,,,,,,,,,,,,,
68,温顺薄荷,,,config/item/character_item/icon_bh_zd.png,精灵在闻了这种薄荷之后，性格会变得温顺,可在精灵继承界面内性格交换一栏使用,4,strengthen-attribute,18,,{character=23},<2>,<2>,,,16,22,,,,,,,,,通过特殊运营活动可获得该物品,,,,,,,,,,,,,,
69,自大薄荷,,,config/item/character_item/icon_bh_ws.png,精灵在闻了这种薄荷之后，性格会变得自大,可在精灵继承界面内性格交换一栏使用,4,strengthen-attribute,18,,{character=24},<2>,<2>,,,16,21,,,,,,,,,通过特殊运营活动可获得该物品,,,,,,,,,,,,,,
70,慎重薄荷,,,config/item/character_item/icon_bh_sz.png,精灵在闻了这种薄荷之后，性格会变得慎重,可在精灵继承界面内性格交换一栏使用,4,strengthen-attribute,18,,{character=25},<2>,<2>,,,16,20,,,,,,,,,通过特殊运营活动可获得该物品,,,,,,,,,,,,,,
100,饰品图纸,,,config/item/icon_sptz_purple.png,饰品突破的必备材料之一,,4,strengthen-equipStrengthen,,,,<1;2>,<2>,,,,,,20000,,,,,,,,,0.2222,,,,,,,,,,,,
111,刻印晶石,,,config/item/icon_crys.png,饰品刻印培养的必备材料,,5,strengthen-awake,,,,<1;4>,<2>,100,,,,,,,,,,,,可通过开启石英大会奖励宝箱或者跨服商业街商店获得,,0.6,,,,,,,,,,,,
112,刻印突破玉石,,,config/item/icon_jgbz.png,饰品刻印突破的必备材料,,5,strengthen-awake,,,,<1;4>,<2>,200,,,,,,,,,,,,可通过石英大会排名奖励或者跨服商业街商店获得,,0.6,,,,,,,,,,,,
121,洗练核心,,,config/item/icon_xlcl.png,芯片副属性洗练的必备道具,,5,chipBag,,,,<2>,<2>,,,,,,,,,,,,,,,0,,,,,,,,,,,,
122,绿色晶片,,,config/item/icon_jycl1.png,普通的芯片强化材料，品质一般,请勿长期暴露在空气中,2,chipBag,,,{chipExp=75},<2>,<2>,,,2,,,,,,,,,,,,0.075,,,,,,,,,,,,
123,蓝色晶片,,,config/item/icon_jycl2.png,常见的芯片强化材料，品质中等,请勿长期暴露在空气中,3,chipBag,,,{chipExp=150},<2>,<2>,,,2,,,,,,,,,,,,0.15,,,,,,,,,,,,
124,紫色晶片,,,config/item/icon_jycl3.png,比较难得芯片强化材料，材质稀有,请勿长期暴露在空气中,4,chipBag,,,{chipExp=300},<2>,<2>,,,2,,,,,,,,,,,,0.3,,,,,,,,,,,,
131,绿色锻造之章,,,config/item/icon_qyzzlv.png,普通的契约之章强化材料，可以略微提升契约之章,请勿长期暴露在空气中,2,,,,{contractExp=30},,,,,2,,,,,,,,,,,,0.0375,,,,,,,,,,,,
132,蓝色锻造之章,,,config/item/icon_qyzzlan.png,不错的契约之章强化材料，可以提升契约之章,请勿长期暴露在空气中,3,,,,{contractExp=60},,,,,2,,,,,,,,,,,,0.075,,,,,,,,,,,,
133,紫色锻造之章,,,config/item/icon_qyzzzi.png,稀少的契约之章强化材料，可以大幅提升契约之章,请勿长期暴露在空气中,4,,,,{contractExp=120},,,,,2,,,,,,,,,,,,0.15,,,,,,,,,,,,
135,琉石灰烬,,,config/item/icon_lshj.png,分解琉石获得，可用于琉石等级提升,,3,,,,,,<1>,,,2,,,,,,,,,,,,,,,,,,,,,,,,
136,琉石晶体,,,config/item/icon_lsjt.png,分解橙色及以上品质的琉石获得，可用于琉石印记洗练,,4,,,,,,<1>,,,2,,,,,,,,,,,,,,,,,,,,,,,,
141,基础助战魂玉,,,config/item/icon_zzsj_01.png,提升助战等级比较基础的材料，用作升级时的消耗,请勿长期暴露在空气中,3,,,,,,<2>,,,2,,,,,,,,,,,,0.0375,,,,,,,,,,,,
142,助战魂玉,,,config/item/icon_zzsj_02.png,提升助战等级比较贵重的材料，用作升级时的消耗,请勿长期暴露在空气中,4,,,,,<1>,<2>,,,2,,,hellRandomTower,,,,,,,可通过以太乐园无尽模式内获得,,0.075,,,,,,,,,,,,
143,顶级助战魂玉,,,config/item/icon_zzsj_03.png,提升助战等级顶尖的材料，用作升级时的消耗,请勿长期暴露在空气中,5,,,,,,<2>,,,2,,,,,,,,,,,,0.15,,,,,,,,,,,,
151,徽章碎片,,,config/item/icon_dlcl.png,可用于徽章天赋点亮,,4,,,,,,,,,,,,gymChallenge,,,,,,,挑战道馆可获得,,,,,,,,,,,,,,
152,彩虹喷漆,,,config/item/icon_jxcl.png,可用于徽章觉醒,,5,,,,,,,,,,,,gymChallenge,,,,,,,道馆内挑战可获得,,,,,,,,,,,,,,
153,闪亮贝壳,,,config/item/icon_wzkq.png,可用于徽章内解锁精灵守护位,,5,,,,,,,,,,,,gymChallenge,,,,,,,,,,,,,,,,,,,,,
161,探索感应器,,,config/item/icon_wx.png,可用于奇异陨石等级填充,,4,,,,,,,,,,,,,,,,,,,可通过拟态对战挑战后获得,,0,,,,,,,,,,,,
171,高级的万能精华,,,config/item/icon_wnzz1.png,可在精英精灵助战激活后使用，在万能转化中同比例转化成激活助战的精英精灵的助战精华。,请勿长期暴露在空气中,5,,,,,,<2>,,,2,,,,,,,,,,,,,,,,,,,,,,,,
172,神圣的万能精华,,,config/item/icon_wnzz2.png,可在史诗精灵助战激活后使用，在万能转化中同比例转化成激活助战的史诗精灵的助战精华。,请勿长期暴露在空气中,6,,,,,,<2>,,,2,,,,,,,,,,,,,,,,,,,,,,,,
173,璀璨的万能源晶,,,config/item/icon_wnzzjx.png,可在史诗精灵助战觉醒激活后使用，在万能转化中同比例转化成的激活助战觉醒的史诗精灵的助战源晶。,请勿长期暴露在空气中,6,,,,,,<2>,,,2,,,,,,,,,,,,,,,,,,,,,,,,
200,翡翠护符,,,config/item/plate_4_9_12_2.png,第一属性为草系、虫系、地面系精灵护符部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
201,精致护符,,,config/item/plate_1_11_16_2.png,第一属性为一般系、超能系、恶系精灵护符部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
202,通讯护符,,,config/item/plate_3_8_14_2.png,第一属性为水系、毒系、幽灵系精灵护符部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
203,酒红护符,,,config/item/plate_2_15_18_2.png,第一属性为火系、龙系、妖精系精灵护符部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
204,六芒星护符,,,config/item/plate_6_13_17_2.png,第一属性为冰系、岩石系、钢系精灵护符部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
205,闪耀护符,,,config/item/plate_5_7_10_2.png,第一属性为电系、格斗系、飞行系精灵护符部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
210,翡翠耳环,,,config/item/earring_4_9_12_2.png,第一属性为草系、虫系、地面系精灵耳环部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
211,真质耳环,,,config/item/earring_1_11_16_2.png,第一属性为一般系、超能系、恶系精灵耳环部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
212,星月耳环,,,config/item/earring_3_8_14_2.png,第一属性为水系、毒系、幽灵系精灵耳环部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
213,胭脂耳环,,,config/item/earring_2_15_18_2.png,第一属性为火系、龙系、妖精系精灵耳环部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
214,海洋耳环,,,config/item/earring_6_13_17_2.png,第一属性为冰系、岩石系、钢系精灵耳环部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
215,名贵耳环,,,config/item/earring_5_7_10_2.png,第一属性为电系、格斗系、飞行系精灵耳环部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
220,四叶草戒指,,,config/item/ring_4_9_12_2.png,第一属性为草系、虫系、地面系精灵戒指部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
