变量名,cityTheme,checkEndDate,version,checkYYType,itemID
默认值,"""""",0,0,0,
ID,cityTheme,checkEndDate,version,checkYYType,itemID
1,,20240321,3,60,8111
2,,20240321,3,60,8112
3,,20240321,3,60,8113
4,,20240321,3,60,8114
5,,20240321,3,60,8115
6,,20240321,3,60,8116
7,,20240321,3,60,8117
8,,20240321,2,65,8118
9,,20240321,3,60,8102
10,anniversary,20240321,3,67,6393
11,,20240321,9,73,540
13,,20240321,1,45,6352
14,,20240321,1,45,6353
15,,20240321,1,45,6354
16,,20240321,1,45,6355
17,,20240321,1,45,6356
18,,20240321,1,45,6357
19,,20240321,1,45,6364
20,summerOffering,20240321,1,67,6394
21,,20240321,1,77,6330
22,,20240321,5,78,542
23,,20240321,5,78,543
24,,20240321,4,60,8111
25,,20240321,4,60,8112
26,,20240321,4,60,8113
27,,20240321,4,60,8114
28,,20240321,4,60,8115
29,,20240321,4,60,8116
30,,20240321,4,60,8117
31,,20240321,4,60,8102
32,anniversary,20240321,4,67,6393
33,summerOffering,20240321,2,67,6394
34,,20240321,3,65,8118
35,,20240321,2,45,6352
36,,20240321,2,45,6353
37,,20240321,2,45,6354
38,,20240321,2,45,6355
39,,20240321,2,45,6356
40,,20240321,2,45,6357
41,,20240321,2,45,6364
42,summerOffering,20240321,3,67,6394
43,,20240505,9,73,539
44,,20240401,5,60,8111
45,,20240401,5,60,8112
46,,20240401,5,60,8113
47,,20240401,5,60,8114
48,,20240401,5,60,8115
49,,20240401,5,60,8116
50,,20240401,5,60,8117
51,,20240401,5,60,8102
52,anniversary,20240401,5,67,6393
53,,20240401,1,84,8120
54,,20240408,4,65,8118
55,,20240612,3,45,6352
56,,20240612,3,45,6353
57,,20240612,3,45,6354
58,,20240612,3,45,6355
59,,20240612,3,45,6356
60,,20240612,3,45,6357
61,,20240612,3,45,6364
62,summerOffering,20240801,4,67,6394
63,summerOffering,20240805,4,67,6394
64,summerOffering,20240826,4,67,6394
