变量名,key,text,__version
默认值,"""404404""","""404404""",
ID,key（5000之前是服务器使用）,中文简体,__version
1,sessionError,请重新登录！,
2,todayChanllengeToMuch,今日挑战已达上限，不能再挑战啦！,
3,advanceGoldNotEnough,金币不足，无法突破！,
4,advanceItemsNotEnough,道具不足，无法突破！,
5,advanceLevelNotEnough,等级不足，无法突破！,
6,advanceFragsNotEnough,碎片不足，无法进阶！,
7,advanceMaxErr,已突破到顶级，敬请期待新版本更新！,
8,skillLevelGoldNotEnough,金币不足，技能无法升级！,
9,skillLevelItemsNotEnough,道具不足，技能无法升级！,
10,skillLevelLevelNotEnough,精灵等级不足，技能无法升级！,
11,strategyUnlockLevelNotEnough,等级不足，策略技能无法解锁！,
12,strategyUnlockItemNotEnough,道具不足，策略技能无法解锁！,
13,buyShopTimesLimit,商店限购次数已用完！,
14,zhulianItemsNotEnough,道具不足，无法铸炼！,
15,strategyUpdateMax,策略技能已经到顶级，无法升级！,
16,taskUnFinished,任务未完成！,
17,taskClosed,任务奖励已领取！,
18,fragCombCardExisted,精灵已经存在，无法进行碎片合成！,
19,levelLessNoOpened,主角等级不足，无法开启！,
20,rankChanged,主角排名发生变动，请重新选择对手！,
21,rankBigger,你无法挑战比你弱的对手！,
22,rankTimerNoCD,下次挑战时间未到！,
23,rankEnemyChanged,对手排名发生变动，请重新选择对手！,
24,rankEnemyBattling,对手正在战斗，请重新选择对手！,
25,rankPrevNoFinished,上次战斗未结束，胜负未知，请稍后再来！,
26,pvpShopRefresh,竞技场商店已经刷新，请重新选购！,
27,pvpShopRefreshRMBNotEnough,钻石不足，无法刷新！,
28,drawCardRMBNotEnough,钻石不足，无法抽卡！,
29,drawCardGoldNotEnough,金币不足，无法抽卡！,
30,freeDrawCardTimerNoCD,免费时间未到，无法抽卡！,
31,vipLevelMax,贵族已经到顶级，无法购买！,
32,vipLevelUpRMBNotEnough,钻石不足，贵族无法充值！,
33,pwBuyMax,今日排位赛购买次数已达上限！,
34,buyRMBNotEnough,钻石不足，无法购买！,
35,staminaBuyMax,今日体力购买次数已达上限！,
36,staminaBuyNoNeed,体力已达上限，无需购买！,
37,herogateBuyMax,今日困难关卡重置次数已达上限！,
38,huodongNoOpen,活动未开启！,
39,huodongLevelNotEnough,等级不足，无法开启活动！,
40,huodongChanllengeToMuch,活动挑战次数已达上限！,
41,gateStaminaNotEnough,体力不足，无法挑战关卡！,
42,gateNoOpen,该关卡你无法挑战！,
43,gateCardsError,出战精灵不对！,
44,gateBenchCardsError,替补精灵不对！,
45,fragCombfragNotEnough,碎片不足，无法合成！,
46,lianjinRMBNotEnough,钻石不足，无法炼金！,
47,lianjinMax,今日炼金次数已达上限！,
48,saodangTimesNotEnough,扫荡次数不足，无法扫荡！,
49,saodangGateNoStar,该关卡未三星通关，你无法扫荡！,
50,saodangGateTimesNotEnough,该关卡剩余挑战次数不足，你无法扫荡！,
51,saodangMultiVIPNotEnough,贵族等级不足，无法扫荡多次！,
52,yuanzhengNoOpen,等级不足，无法开启试炼！,
53,yuanzhengShopRefresh,试炼商店已经刷新，请重新选购！,
54,shopCoinNotEnough,积分不足，无法购买！,
55,yuanzhengShopRefreshRMBNotEnough,钻石不足，无法刷新！,
56,kgStaminaNotEnough,活力不足，无法考古！,
57,kgLevelNotEnough,等级不足，无法考古！,
58,kgStaminaBuyNoNeed,活力已达上限，无需购买！,
59,kgStaminaBuyMax,今日活力购买次数已达上限！,
60,kgShopRefresh,考古商店已过期！,
61,yyHuoDongNoActive,该活动无法领取！,
62,yyHuoDongRechargeNoTimes,月卡领取时间已过期！,
63,yyHuoDongAlreadyGet,今日活动奖励已领取！,
64,kgMineRobbing,矿洞被抢夺中，你无法进行任何操作，祈祷防守成功吧！,
65,kgMineNotYours,这不是你的矿洞！,
66,kgMineRefresh,矿洞状态更新，请刷新！,
67,twLevelNotEnough,等级不足，无法进入无限塔！,
68,twFailedMax,无限塔今日失败次数已达上限，无法挑战!,
69,twInTopFloor,已经在历史最高层，无需扫荡！,
70,roleNameExisted,该昵称已被占用！,
71,roleNameTooLong,昵称过长！,
72,roleNameRMBNotEnough,钻石不足，无法改昵称！,
73,roleNameInvalid,昵称不合适！,
74,giftNoExisted,礼包激活码不存在！,
75,giftOpened,礼包已领取！,
76,giftSameMax,同个礼包已达领取上限！,
